"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"30.03.","01:00","Arena 1 Premium","Košarka","Memphis - LA Lakers","NBA"
"30.03.","01:00","Arena 2 Premium","Fudbal","River Plate - Rosario","ARGENTINSKA LIGA"
"30.03.","12:00","Arena 2 Premium","Košarka","Fenerbahce - Mersin","TURSKA LIGA"
"30.03.","12:00","Arena Sport 1","Košarka","Mega Superbet - Zadar","ABA LIGA"
"30.03.","12:30","Arena 1 Premium","Fudbal","Cagliari - Monza","ITALIJANSKA LIGA"
"30.03.","13:00","Arena 3 Premium","Košarka","Zenit - CSKA","VTB LIGA"
"30.03.","13:00","Arena Sport 2","Fudbal","Krasnodar - Fakel","RUSKA LIGA"
"30.03.","13:15","Arena Sport 7","Fudbal","Korona - Radomiak","POLJSKA LIGA"
"30.03.","13:30","Arena Sport 5","Fudbal","Club Brugge - Anderlecht","BELGIJSKA LIGA"
"30.03.","14:00","Arena 2 Premium","Fudbal","Getafe - Villarreal","ŠPANSKA LIGA"
"30.03.","14:00","Arena Sport 1","Rukomet","Krim Ljubljana - Ludwigsburg","EHF LIGA ŠAMPIONA (Ž)"
"30.03.","14:00","Arena Sport 8","Fudbal","Argentina - Brazil","CONMEBOL KVALIFIKACIJE"
"30.03.","14:30","Arena 1 Premium","Fudbal","Preston - Aston Villa","FA CUP"
"30.03.","14:30","Arena Sport 4","Košarka","Galatasaray - Onvo","TURSKA LIGA"
"30.03.","15:00","Arena 3 Premium","Fudbal","Fiorentina - Atalanta","ITALIJANSKA LIGA"
"30.03.","15:00","Arena Sport 3","Fudbal","OFK Beograd - Jedinstvo","MOZZARTBET SUPERLIGA SRBIJE"
"30.03.","15:00","Arena Sport 1x2","Fudbal","Toulouse - Brest","FRANCUSKA LIGA"
"30.03.","15:30","Arena Sport 2","Fudbal","Akhmat - Spartak","RUSKA LIGA"
"30.03.","15:30","Arena Sport 6","Fudbal","Ross County - Dundee United","ŠKOTSKA LIGA"
"30.03.","16:00","Arena Sport 1","Rukomet","Odense - Storhamar","EHF LIGA ŠAMPIONA (Ž)"
"30.03.","16:00","Arena Sport 8","Fudbal","Hajduk - Šibenik","HRVATSKA LIGA"
"30.03.","16:15","Arena 2 Premium","Fudbal","Barcelona - Girona","ŠPANSKA LIGA"
"30.03.","16:30","Arena 1 Premium","Fudbal","Spartak - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"30.03.","16:30","Arena Sport 10","Fudbal","Spartak - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"30.03.","17:00","Arena Sport 4","Košarka","SC Derby - Igokea","ABA LIGA"
"30.03.","17:15","Arena Sport 5","Fudbal","Auxerre - Montpellier","FRANCUSKA LIGA"
"30.03.","17:15","Arena Sport 7","Fudbal","Angers - Rennes","FRANCUSKA LIGA"
