"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"21.07.","02:00","Arena 1 Premium","Fudbal","Independiente - Talleres","ARGENTINSKA LIGA"
"21.07.","16:30","Arena 2 Premium","Fudbal","Orenburg - CSKA",""
"21.07.","16:30","Arena Sport 2","Odbojka na pesku","Leuven, žene finale","Beach Pro Tour"
"21.07.","17:00","Arena Sport 1","Tenis","Washington - Dan 1","WTA 500 - Washington"
"21.07.","17:30","Arena Sport 2","Odbojka na pesku","Leuven, muškarci finale","Beach Pro Tour"
"21.07.","19:00","Arena Sport 1","Tenis","Washington - Dan 1","ATP 500 - Washington"
"21.07.","20:00","Arena 1 Premium","Fudbal","OFK Beograd - Spartak","MOZZARTBET SUPERLIGA"
"21.07.","20:30","Arena 3 Premium","Fudbal","Dinamo Bucuresti - Botosani","RUMUNSKA LIGA"
"21.07.","21:00","Arena 2 Premium","Fudbal","Sporting - Sunderland","PRIJATELJSKE UTAKMICE"
"22.07.","00:00","Arena 1 Premium","Fudbal","Estudiantes - Huracan","ARGENTINSKA LIGA"
"22.07.","00:00","Arena Sport 1","Tenis","Washington - Dan 1","WTA 500 - Washington"
"22.07.","16:30","Arena Sport 2","Tenis","Umag - Dan 3","ATP 250 - Umag"
"22.07.","17:00","Arena Sport 1","Tenis","Washington - Dan 2","ATP 500 - Washington"
"22.07.","18:00","Arena 1 Premium","Fudbal","Lincoln Red Imps - Crvena zvezda",""
"22.07.","19:00","Arena 2 Premium","Fudbal","St Gallen - Villarreal","PRIJATELJSKE UTAKMICE"
"22.07.","19:00","Arena 3 Premium","Tenis","Zachary Svajda - Miomir Kecmanović","ATP 500 - Washington"
"22.07.","19:00","Arena Sport 1","Tenis","Washington - Dan 2","WTA 500 - Washington"
"23.07.","00:00","Arena 1 Premium","Fudbal","Cerro Lago - Cordoba","COPA SUDAMERICANA"
"23.07.","00:00","Arena Sport 1","Tenis","Washington - Dan 2","ATP 500 - Washington"
"23.07.","02:30","Arena 1 Premium","Fudbal","Vasco de Gama - Independiente","COPA SUDAMERICANA"
"23.07.","11:00","Arena Sport 1","Tenis","Kitzbuhel - Dan 3","ATP 250 - Kitzbuhel"
"23.07.","13:30","Arena 1 Premium","Fudbal","Arsenal - Milan","PRIJATELJSKE UTAKMICE"
"23.07.","16:30","Arena 3 Premium","Odbojka","Italija - SAD, četvrfinale 1","Liga Nacija (Ž)"
"23.07.","16:30","Arena Sport 2","Tenis","Umag - Dan 4","ATP 250 - Umag"
"23.07.","17:00","Arena Sport 1","Tenis","Washington - Dan 3","WTA 500 - Washington"
"23.07.","18:15","Arena Sport 3","Bejzbol","Atlanta Braves - San Francisco Giants","Major League Baseball"
"23.07.","19:00","Arena Sport 1","Tenis","Washington - Dan 3","ATP 500 - Washington"
"23.07.","20:00","Arena 3 Premium","Odbojka","Poljska - Kina, četvrfinale 2","Liga Nacija (Ž)"
"23.07.","20:30","Arena 1 Premium","Fudbal","Como - Al Ahli","PRIJATELJSKE UTAKMICE"
"24.07.","00:00","Arena 1 Premium","Fudbal","Fluminense - Palmeiras","BRAZILSKA LIGA"
"24.07.","00:00","Arena 3 Premium","Fudbal","Palestino - Bolivar","COPA SUDAMERICANA"
"24.07.","00:00","Arena Sport 1","Tenis","Washington - Dan 3","WTA 500 - Washington"
"24.07.","02:30","Arena 1 Premium","Fudbal","Gremio - Alianza Lima","COPA SUDAMERICANA"
"24.07.","11:00","Arena Sport 1","Tenis","Kitzbuhel - četvrtfinala","ATP 250 - Kitzbuhel"
"24.07.","16:30","Arena 2 Premium","Odbojka","Japan - Turska, četvrfinale 3","Liga Nacija (Ž)"
"24.07.","16:30","Arena Sport 2","Tenis","Umag - Četvrtfinala","ATP 250 - Umag"
"24.07.","17:00","Arena 3 Premium","Tenis","Washington - Dan 4","ATP 500 - Washington"
"24.07.","19:00","Arena 2 Premium","Fudbal","Novi Pazar - Jagiellonia Bialystok",""
"24.07.","19:00","Arena Sport 1","Tenis","Washington - Dan 4","WTA 500 - Washington"
"24.07.","20:00","Arena 3 Premium","Fudbal","Radnički 1923 - Ki Klasvik",""
"24.07.","20:00","Arena Sport 3","Odbojka","Brazil - Nemačka, četvrfinale 4","Liga Nacija (Ž)"
"24.07.","20:30","Arena Sport 4","Fudbal","Celtic - Ajax","PRIJATELJSKE UTAKMICE"
"25.07.","00:00","Arena 2 Premium","Fudbal","Guarni - Universiadad de Chile","COPA SUDAMERICANA"
"25.07.","00:00","Arena Sport 1","Tenis","Washington - Dan 4","ATP 500 - Washington"
"25.07.","02:30","Arena 1 Premium","Fudbal","Atletico MG - Bucaramanga","COPA SUDAMERICANA"
"25.07.","08:55","Arena 3 Premium","Moto Sport","Belgija: Trening","FORMULA 3"
"25.07.","10:05","Arena 3 Premium","Moto Sport","Belgija: Trening","FORMULA 2"
"25.07.","12:30","Arena 3 Premium","Moto Sport","Belgija: Trening 1","FORMULA 1"
"25.07.","12:30","Arena Sport 1","Tenis","Kitzbuhel - polufinale 1","ATP 250 - Kitzbuhel"
"25.07.","14:00","Arena 3 Premium","Moto Sport","Belgija: Kvalifikacije","FORMULA 3"
"25.07.","14:00","Arena Sport 2","Tenis","Prague - polufinale 1","WTA 250 - Prague"
"25.07.","14:30","Arena Sport 1","Tenis","Kitzbuhel - polufinale 2","ATP 250 - Kitzbuhel"
"25.07.","14:55","Arena 3 Premium","Moto Sport","Belgija: Kvalifikacije","FORMULA 2"
"25.07.","16:00","Arena Sport 2","Tenis","Prague - polufinale 2","WTA 250 - Prague"
"25.07.","16:30","Arena 3 Premium","Moto Sport","Belgija: Sprint Kvalifikacije","FORMULA 1"
"25.07.","18:00","Arena 1 Premium","Fudbal","Krylya Sovetov - Nizhny Novgorod",""
"25.07.","18:00","Arena 2 Premium","Fudbal","Cracovia - Bruk-Bet Termalica","POLJSKA LIGA"
"25.07.","18:00","Arena 3 Premium","Moto Sport","Belgija: Trening","Porsche Supercup"
"25.07.","18:00","Arena Sport 1","Tenis","Washington - Četvrfinale 1","WTA 500 - Washington"
"25.07.","18:30","Arena Sport 2","Tenis","Umag - polufinale 1","ATP 250 - Umag"
"25.07.","20:00","Arena Sport 1","Tenis","Washington - Četvrtfinale 1","ATP 500 - Washington"
"25.07.","20:00","Arena Sport 3","Tenis","Washington - Četvrfinale 2","WTA 500 - Washington"
"25.07.","20:30","Arena 3 Premium","Fudbal","Arka - Radomiak","POLJSKA LIGA"
"25.07.","21:00","Arena Sport 2","Tenis","Umag - polufinale 2","ATP 250 - Umag"
"25.07.","22:00","Arena Sport 1","Tenis","Washington - Četvrtfinale 2","ATP 500 - Washington"
"25.07.","22:00","Arena Sport 3","Tenis","Washington - Četvrfinale 3","WTA 500 - Washington"
"25.07.","22:10","Arena Sport 4","Bejzbol","Milwaukee Bravers - Miami Marlins","Major League Baseball"
"26.07.","00:00","Arena Sport 3","Tenis","Washington - Četvrtfinale 3","ATP 500 - Washington"
"26.07.","01:00","Arena Sport 1","Tenis","Washington - Četvrfinale 4","WTA 500 - Washington"
"26.07.","03:00","Arena Sport 1","Tenis","Washington - Četvrtfinale 4","ATP 500 - Washington"
"26.07.","09:15","Arena 1 Premium","Moto Sport","Belgija: Sprint","FORMULA 3"
"26.07.","10:25","Arena 1 Premium","Moto Sport","Belgija: Kvalifikacije","Porsche Supercup"
"26.07.","12:00","Arena 1 Premium","Moto Sport","Belgija: Sprint","FORMULA 1"
"26.07.","13:30","Arena 1 Premium","Fudbal","Liverpool - Milan","PRIJATELJSKE UTAKMICE"
"26.07.","13:45","Arena Sport 1x2","Moto Sport","Belgija: Sprint","FORMULA 2"
"26.07.","14:00","Arena 2 Premium","Fudbal","Spartak - Baltika",""
"26.07.","14:00","Arena Sport 2","Tenis","Prague - finale","WTA 250 - Prague"
"26.07.","14:30","Arena Sport 1","Tenis","Kitzbuhel - finale","ATP 250 - Kitzbuhel"
"26.07.","14:45","Arena Sport 3","Fudbal","Piast - Gornik","POLJSKA LIGA"
"26.07.","16:00","Arena 2 Premium","Moto Sport","Belgija: Kvalifikacije","FORMULA 1"
"26.07.","16:00","Arena 3 Premium","Odbojka","Polufinale 1","Liga Nacija (Ž)"
"26.07.","16:30","Arena Sport 2","Fudbal","Dinamo - Rostov",""
"26.07.","17:30","Arena Sport 5","Fudbal","Pogon - Motor","POLJSKA LIGA"
"26.07.","18:00","Arena 1 Premium","Fudbal","Kaiserslautern - Roma","PRIJATELJSKE UTAKMICE"
"26.07.","18:00","Arena 2 Premium","Fudbal","Bochum - Bayer Leverkusen","PRIJATELJSKE UTAKMICE"
"26.07.","18:00","Arena 3 Premium","Fudbal","Krasnodar - Lokomotiv",""
"26.07.","18:00","Arena Sport 1","Tenis","Finale Dubla (žene)","WTA 500 - Washington"
"26.07.","18:00","Arena Sport 3","Fudbal","Radnik - TSC","MOZZARTBET SUPERLIGA"
"26.07.","18:00","Arena Sport 8","Basket 3x3","3x3 BG U23 League (2025) ep. 7","BG U23 League"
"26.07.","19:00","Arena Sport 7","Basket 3x3","BIG 3 - Cincinnati","BIG3"
"26.07.","19:05","Arena Sport 6","Bejzbol","New York Yankees - Philadelphia Phillies","Major League Baseball"
"26.07.","19:30","Arena Sport 5","Fudbal","Sochi - Akron",""
"26.07.","20:00","Arena 1 Premium","Fudbal","Crvena zvezda - OFK Beograd","MOZZARTBET SUPERLIGA"
"26.07.","20:00","Arena 3 Premium","Odbojka","Polufinale 2","Liga Nacija (Ž)"
"26.07.","20:00","Arena Sport 2","Tenis","Umag - finale","ATP 250 - Umag"
"26.07.","20:00","Arena Sport 3","Fudbal","Radnički - Mladost","MOZZARTBET SUPERLIGA"
"26.07.","20:00","Arena Sport 10","Fudbal","Crvena zvezda - OFK Beograd","MOZZARTBET SUPERLIGA"
"26.07.","20:15","Arena Sport 9","Fudbal","Lechia - Lech","POLJSKA LIGA"
"26.07.","20:30","Arena Sport 1","Tenis","Washington - polufinale 1","WTA 500 - Washington"
"26.07.","20:30","Arena Sport 4","Fudbal","Como/Al Ahli - Celtic/Ajax","PRIJATELJSKE UTAKMICE"
"26.07.","21:00","Arena 2 Premium","Fudbal","Nottingham Forest - Fulham","PRIJATELJSKE UTAKMICE"
"26.07.","22:00","Arena 1 Premium","Fudbal","Everton - Bournemouth","PRIJATELJSKE UTAKMICE"
"26.07.","22:30","Arena Sport 1","Tenis","Washington - polufinale 2","WTA 500 - Washington"
"27.07.","01:00","Arena 1 Premium","Fudbal","Manchester Utd - West Ham","PRIJATELJSKE UTAKMICE"
"27.07.","01:00","Arena Sport 1","Tenis","Washington - polufinale 1","ATP 500 - Washington"
"27.07.","02:15","Arena 2 Premium","Fudbal","Racing - Estudiantes","ARGENTINSKA LIGA"
"27.07.","03:00","Arena Sport 1","Tenis","Washington - polufinale 2","ATP 500 - Washington"
"27.07.","08:30","Arena 2 Premium","Moto Sport","Belgija: Trka","FORMULA 3"
"27.07.","10:00","Arena 2 Premium","Moto Sport","Belgija: Trka","FORMULA 2"
"27.07.","11:45","Arena 2 Premium","Moto Sport","Belgija: Trka","Porsche Supercup"
