Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
14.02.,00:00,Arena Premium 1,Fudbal,Independiente - Lanus,ARGENTINSKA LIGA
14.02.,02:00,Arena Tenis,Tenis,Cetvrtfinale 3,ATP 500 - Dallas
14.02.,03:00,Arena Premium 1,Košarka,Rising Stars,NBA
14.02.,04:00,Arena Tenis,Tenis,Cetvrtfinale 4,ATP 500 - Dallas
14.02.,11:00,Arena Premium 4,Košarka,Erokspor - Bahcesehir,TURSKA LIGA
14.02.,11:00,Adrenalin,Moto Sport,Švedska - Live Stage 2,WRC
14.02.,12:00,Arena Sport 9,Fudbal,Mašinac - Sloga Partizan,KUP SRBIJE Ž
14.02.,13:00,Arena Premium 3,Fudbal,Hertha - Hannover,NEMAČKA 2. LIGA
14.02.,13:00,Arena Premium 5,Fudbal,E. Braunschweig - Darmstadt,NEMAČKA 2. LIGA
14.02.,13:00,Arena Sport 2,Odbojka,Uralochka - Lokomotiv,RUSKA LIGA (Ž)
14.02.,13:15,Arena Premium 4,Fudbal,Burton - West Ham,FA CUP
14.02.,13:30,Arena Tenis,Tenis,Finale dubl,WTA 1000 - Doha
14.02.,13:30,Arena Sport 5,Košarka,Onvo - Tofas,TURSKA LIGA
14.02.,13:30,Adrenalin,Jedrenje,"Novi Zeland, dan 1",SailGP
14.02.,14:00,Arena Premium 2,Fudbal,Espanyol - Celta,ŠPANSKA LIGA
14.02.,14:00,Arena Sport 1,Fudbal,Montpellier - Le Mans,FRANCUSKA 2. LIGA
14.02.,15:00,Arena Premium 5,Fudbal,Como - Fiorentina,ITALIJANSKA LIGA
14.02.,15:00,Arena Sport 9,Tenis,Polufinale 1,ATP 500 - Rotterdam
14.02.,15:30,Arena Premium 3,Fudbal,Multiprenos,NEMAČKA LIGA
14.02.,15:30,Arena Premium 4,Fudbal,Werder Bremen - Bayern,NEMAČKA LIGA
14.02.,15:30,Arena Sport 2,Fudbal,Bayer Leverkusen - St. Pauli,NEMAČKA LIGA
14.02.,15:30,Arena Sport 3,Fudbal,Frankfurt - B.Monchengladbach,NEMAČKA LIGA
14.02.,15:30,Arena Sport 4,Fudbal,Hoffenheim - Freiburg,NEMAČKA LIGA
14.02.,16:00,Arena Tenis,Tenis,Finale singl,WTA 1000 - Doha
14.02.,16:00,Arena Sport 1,Fudbal,Manchester CIty - Salford,FA CUP
14.02.,16:00,Arena Sport 5,Košarka,Bursaspor - Besiktas,TURSKA LIGA
14.02.,16:00,Arena Sport 6,Fudbal,Derby - Swansea,CHAMPIONSHIP
