Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
27.04.,01:00,Arena Premium 2,Hokej,"Montreal Canadiens - Tampa Bay Lightning, G4",NHL
27.04.,01:30,Arena Premium 1,Fudbal,Atletico MG - Flamengo,BRAZILSKA LIGA
27.04.,11:00,Arena Tenis,Tenis,"Centralni teren, dan 6 prepodnevna sesija",ATP/WTA 1000 - Madrid
27.04.,11:00,Arena Sport 1,Tenis,"Teren 1, dan 6 prepodnevna sesija",ATP/WTA 1000 - Madrid
27.04.,15:00,Arena Premium 2,Rukomet,Žreb,LIGA ŠAMPIONA
27.04.,16:00,Arena Sport 2,Hokej,"Metallurg - AK Bars, PF2 G2",KHL
27.04.,16:00,Arena Sport 10,Fudbal,TSC - Crvena zvezda,SUPERLIGA Ž
27.04.,17:00,Arena Premium 4,Košarka,Krka - Vienna,ABA LIGA
27.04.,18:00,Arena Sport 5,Odbojka,"Dinamo - Zenit Kazan, finale G3",RUSKA LIGA
27.04.,18:00,Arena Sport 6,Odbojka,"Ziraat - Galatasaray, finale G3",TURSKA LIGA
27.04.,18:30,Arena Premium 2,Fudbal,Cagliari - Atalanta,ITALIJANSKA LIGA
27.04.,18:30,Arena Sport 2,Košarka,"CSKA - Enisey, G1",VTB LIGA
27.04.,19:00,Arena Premium 4,Košarka,SC Derby - Zadar,ABA LIGA
27.04.,19:00,Arena Premium 5,Tenis,"Teren 1, dan 6 popodnevna sesija",ATP/WTA 1000 - Madrid
27.04.,19:00,Arena Sport 3,Košarka,"Lokomotiv - Parma, G1",VTB LIGA
27.04.,19:00,Arena Sport 4,Fudbal,Konyaspor - Trabzonspor,TURSKA LIGA
27.04.,19:00,Arena Sport 7,Fudbal,Baltika - Akron,RUSKA LIGA
27.04.,19:00,Arena Sport 10,Rukomet,Bekament BB - Mladost NP,SUPERLIGA SRBIJE Ž
27.04.,20:00,Arena Tenis,Tenis,"Centralni teren, dan 6 popodnevna sesija",ATP/WTA 1000 - Madrid
27.04.,20:00,Arena Sport 9,Futsal,"Smederevo - Vojvodina, polufinale G3",PRVA LIGA
27.04.,20:30,Arena 1X2,Fudbal,Cadiz - Las Palmas,ŠPANSKA 2. LIGA
27.04.,20:45,Arena Premium 2,Fudbal,Lazio - Udinese,ITALIJANSKA LIGA
27.04.,21:00,Arena Premium 1,Fudbal,Manchester United - Brentford,ENGLESKA LIGA
27.04.,21:00,Arena Premium 3,Fudbal,Espanyol - Levante,ŠPANSKA LIGA
27.04.,23:00,Adrenalin,Moto Sport,"Lake Como, Italy",E1
28.04.,04:30,Arena Premium 1,Košarka,"Denver - Minnesota, G5",NBA
28.04.,10:00,Arena Premium 1,Mali fudbal,Novi Beograd,ARENINA LIGA ŠAMPIONA
28.04.,11:00,Arena Premium 5,Tenis,"Teren 1, dan 7 prepodnevna sesija",ATP/WTA 1000 - Madrid
28.04.,11:00,Arena Tenis,Tenis,"Centralni teren, dan 7 prepodnevna sesija",ATP/WTA 1000 - Madrid
28.04.,15:30,Arena Sport 2,Hokej,"Avangard - Lokomotiv, PF1 G3",KHL
28.04.,18:00,Arena Premium 4,Košarka,"Unics - MBA, G2",VTB LIGA
28.04.,18:45,Arena Premium 2,Košarka,Bosna - Igokea,ABA LIGA
28.04.,18:45,Arena Sport 3,Rukomet,Nexe - Kiel,EHF LIGA EVROPE
28.04.,19:00,Arena Sport 1,Tenis,"Teren 1, dan 7 popodnevna sesija",ATP/WTA 1000 - Madrid
28.04.,19:00,Arena Sport 2,Odbojka,"Radnički - Vojvodina, finale G1",SUPERLIGA
28.04.,19:30,Arena Premium 5,Košarka,"Bourg - Besiktas, finale G2",EVROKUP
28.04.,19:45,Arena Premium 3,Košarka,"Fenerbahce - Zalgiris, G1",EVROLIGA
28.04.,20:00,Arena Premium 4,Košarka,"Olympiacos - Monaco, G1",EVROLIGA
28.04.,20:00,Arena Tenis,Tenis,"Centralni teren, dan 7 popodnevna sesija",ATP/WTA 1000 - Madrid
28.04.,20:45,Arena Premium 2,Košarka,"Valencia - Panathinaikos, G1",EVROLIGA
28.04.,20:45,Arena Sport 3,Rukomet,Montpellier - Vardar,EHF LIGA EVROPE
28.04.,20:45,Arena Sport 4,Rukomet,Melsungen  - Porto,EHF LIGA EVROPE
28.04.,20:45,Arena 1X2,Fudbal,Southampton - Ipswich,CHAMPIONSHIP
28.04.,21:00,Arena Premium 1,Fudbal,"PSG - Bayern, polufinale G1",UEFA LIGA ŠAMPIONA
29.04.,00:00,Arena Premium 2,Fudbal,San Lorenzo - Santos,COPA SUDAMERICANA
29.04.,01:00,Arena Premium 1,Košarka,"Boston - Philadelphia, G5",NBA
29.04.,01:30,Arena Premium 3,Hokej,"Buffalo Sabres - Boston Sabres, G5",NHL
29.04.,02:30,Arena Premium 2,Fudbal,Cruzeiro - Boca Juniors,COPA LIBERTADORES
29.04.,10:00,Arena Premium 1,Mali fudbal,Novi Beograd,ARENINA LIGA ŠAMPIONA
29.04.,13:00,Arena Tenis,Tenis,WTA - QF3,ATP/WTA 1000 - Madrid
29.04.,16:00,Arena Tenis,Tenis,ATP - QF1,ATP/WTA 1000 - Madrid
29.04.,18:00,Arena Premium 5,Odbojka,"Dinamo - Zenit Kazan, finale G4",RUSKA LIGA
29.04.,18:30,Arena Premium 2,Košarka,"Crvena zvezda - Zlatibor, G1",KLS
29.04.,18:30,Arena Sport 5,Hokej,"AK Bars - Metallurg, PF2 G3",KHL
29.04.,18:30,Arena Sport 6,Košarka,"CSKA - Enisey, G2",VTB LIGA
29.04.,18:30,Arena Sport 10,Košarka,"Crvena zvezda - Zlatibor, G1",KLS
29.04.,18:45,Arena Premium 4,Rukomet,Szeged - Magdeburg,EHF LIGA ŠAMPIONA
29.04.,18:45,Arena Sport 3,Rukomet,Sporting - Aalborg,EHF LIGA ŠAMPIONA
29.04.,19:00,Arena Sport 1,Košarka,"Lokomotiv - Parma, G2",VTB LIGA
29.04.,19:00,Arena Sport 2,Košarka,"TFT - Široki, finale G2",ABA2 LIGA
29.04.,19:10,Arena Sport 4,Bejzbol,Chicago White Sox - Los Angeles Angels,Major League Baseball
29.04.,20:00,Arena Tenis,Tenis,WTA - QF4,ATP/WTA 1000 - Madrid
29.04.,20:45,Arena Premium 2,Košarka,"Real Madrid - Hapoel Tel Aviv, G1",EVROLIGA
29.04.,20:45,Arena Premium 3,Rukomet,Flensburg - Hannover-Burgdorf,EHF LIGA EVROPE
29.04.,21:00,Arena Premium 1,Fudbal,"Atletico - Arsenal, polufinale G1",UEFA LIGA ŠAMPIONA
29.04.,21:15,Arena Premium 5,Fudbal,Sporting - Tondela,PORTUGALSKA LIGA
29.04.,22:00,Arena Tenis,Tenis,ATP - QF2,ATP/WTA 1000 - Madrid
30.04.,00:00,Arena Premium 2,Fudbal,Platense - Santa Fe,COPA LIBERTADORES
30.04.,02:00,Arena Premium 1,Košarka,TBC,NBA
30.04.,02:30,Arena Premium 2,Fudbal,Estudiantes - Flamengo,COPA LIBERTADORES
30.04.,10:00,Arena Premium 1,Mali fudbal,Stari Grad,ARENINA LIGA ŠAMPIONA
30.04.,13:00,Arena Tenis,Tenis,ATP - QF3,ATP/WTA 1000 - Madrid
30.04.,15:30,Arena Sport 1,Hokej,"Avangard - Lokomotiv, PF1 G4",KHL
30.04.,16:00,Arena Tenis,Tenis,WTA - SF1,ATP/WTA 1000 - Madrid
30.04.,18:00,Arena Sport 3,Odbojka,"Galatasaray - Ziraat, finale G4, (eventualna)",TURSKA LIGA
30.04.,18:30,Arena Premium 2,Košarka,Partizan - Hercegovac/Sloboda,KLS
30.04.,18:45,Arena Sport 2,Rukomet,Veszprem - Fuchse Berlin,EHF LIGA ŠAMPIONA
30.04.,19:00,Arena Premium 5,Košarka,Spartak - Zadar,ABA LIGA
30.04.,19:00,Arena Sport 4,Rukomet,Gummersbach - Goppingen,BUNDESLIGA
30.04.,19:45,Arena Premium 3,Košarka,"Fenerbahce - Zalgiris, G2",EVROLIGA
30.04.,20:00,Arena Premium 4,Košarka,"Olympiacos - Monaco, G2",EVROLIGA
30.04.,20:00,Arena Tenis,Tenis,ATP - QF4,ATP/WTA 1000 - Madrid
30.04.,20:00,Arena Sport 5,Pikado,Aberdeen,Premier League
30.04.,20:00,Arena Sport 9,Futsal,Finale G1,PRVA LIGA
30.04.,20:00,Arena Sport 10,Rukomet,Ruma - Crvena zvezda,SUPERLIGA SRBIJE Ž
30.04.,20:30,Arena Sport 3,Odbojka,Perugia - Lube,ITALIJANSKA LIGA
30.04.,20:45,Arena Premium 2,Košarka,"Valencia - Panathinaikos, G2",EVROLIGA
30.04.,20:45,Arena Sport 4,Rukomet,Nantes - Barca,EHF LIGA ŠAMPIONA
30.04.,21:00,Arena Premium 1,Fudbal,Nottingham Forest - Aston Villa,UEFA LIGA EVROPE
30.04.,21:00,Arena Premium 5,Fudbal,Braga - Freiburg,UEFA LIGA EVROPE
