Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
11.06.,01:00,Arena Premium 1,Odbojka,Brazil - Iran,Liga Nacija
11.06.,06:00,Arena Premium 1,Fudbal,Austrija - Gvatemala,PRIJATELJSKE UTAKMICE
11.06.,11:00,Arena Tenis,Tenis,"Centralni teren, dan 4",ATP 250 - Stuttgart
11.06.,12:30,Arena Sport 1,Tenis,"Centralni teren, dan 4",WTA 500 - London
11.06.,14:00,Arena Premium 2,Odbojka,Slovenija - Poljska,Liga Nacija
11.06.,19:00,Arena Premium 4,Vaterpolo,"Barceloneta - Ferencvaros, polufinale 1",Liga šampiona
11.06.,19:00,Arena Sport 5,Pikado,Grupna faza,SVETSKI KUP
11.06.,20:00,Arena Premium 2,Košarka,"Barcelona - Tenerife, polufinale  G2",ŠPANSKA LIGA
11.06.,20:00,Arena Premium 3,Košarka,"Milano - Venezia, finale G1",ITALIJANSKA LIGA
11.06.,21:00,Arena Premium 1,Fudbal,Meksiko - Južna Afrika,FIFA SVETSKO PRVENSTVO
11.06.,21:00,Arena Premium 4,Vaterpolo,"Pro Recco - Olympiacos, polufinale 2",Liga šampiona
11.06.,22:00,Arena Premium 3,Odbojka,Nemačka - Italija,Liga Nacija
12.06.,01:00,Arena Premium 1,Odbojka,Brazil - Belgija,Liga Nacija
12.06.,02:00,Arena Premium 2,Hokej,"Carolina Hurricanes - Las Vegas Golden Knights, Finale G5",NHL
12.06.,04:00,Arena Premium 1,Fudbal,Južna Koreja - Češka,FIFA SVETSKO PRVENSTVO
12.06.,10:30,Arena Premium 2,Odbojka,Ukrajina - Kuba,Liga Nacija
12.06.,11:00,Arena Tenis,Tenis,Četvrtfinale 1,ATP 250 - Stuttgart
12.06.,12:00,Arena Premium 1,Košarka,"Zenit - Lokomotiv, G5",VTB LIGA
12.06.,12:00,Arena Sport 5,Pikado,Grupna faza II,SVETSKI KUP
12.06.,12:30,Arena Premium 5,Tenis,Četvrtfinale 1,WTA 500 - London
12.06.,13:00,Arena Tenis,Tenis,Četvrtfinale 2,ATP 250 - Stuttgart
12.06.,13:30,Adrenalin,Moto Sport,Barselona: Trening 1,FORMULA 1
12.06.,14:00,Arena Premium 2,Odbojka,Japan - Poljska,Liga Nacija
12.06.,14:30,Arena Premium 5,Tenis,Četvrtfinale 2,WTA 500 - London
12.06.,15:00,Arena Tenis,Tenis,Četvrtfinale 3,ATP 250 - Stuttgart
12.06.,15:00,Adrenalin,Moto Sport,Barselona: Kvalifikacije,FORMULA 3
12.06.,15:55,Adrenalin,Moto Sport,Barselona: Kvalifikacije,FORMULA 2
12.06.,16:30,Arena Premium 5,Tenis,Četvrtfinale 3,WTA 500 - London
12.06.,17:00,Arena Tenis,Tenis,Četvrtfinale 4,ATP 250 - Stuttgart
12.06.,17:00,Adrenalin,Moto Sport,Barselona: Trening 2,FORMULA 1
12.06.,18:30,Arena Premium 5,Tenis,Četvrtifnale 4,WTA 500 - London
12.06.,19:00,Arena Sport 5,Pikado,Grupna faza II - večernja sesija,SVETSKI KUP
12.06.,20:00,Arena Premium 2,Košarka,"Partizan - Dubai, finale G4*",ABA LIGA
12.06.,20:00,Arena Premium 4,Košarka,"Valencia - Joventut, polufinale G2",ŠPANSKA LIGA
12.06.,20:30,Arena Premium 1,Fudbal,Kanada - BiH,FIFA SVETSKO PRVENSTVO
12.06.,20:30,Arena Premium 5,Košarka,"Bayern - Alba, finale G1",NEMAČKA LIGA
12.06.,21:30,Arena Premium 3,Odbojka,Belgija - Srbija,Liga Nacija
13.06.,01:30,Arena Premium 2,Odbojka,Turska - Francuska,Liga Nacija
13.06.,02:30,Arena Premium 1,Fudbal,SAD - Paragvaj,FIFA SVETSKO PRVENSTVO
13.06.,10:00,Arena Sport 3,Tenis,Girls Semifinal 1,ITF - Kuršumlijska banja
13.06.,10:05,Adrenalin,Moto Sport,Barselona: Sprint,FORMULA 3
13.06.,10:30,Arena Premium 2,Odbojka,Kina - Japan,Liga Nacija
13.06.,11:00,Arena Premium 1,Mali fudbal,Super finale,ARENINA LIGA ŠAMPIONA
13.06.,12:00,Arena Tenis,Tenis,Polufinale 1,ATP 250 - Stuttgart
13.06.,12:00,Arena Sport 3,Tenis,Girls Semifinal 2,ITF - Kuršumlijska banja
13.06.,12:30,Adrenalin,Moto Sport,Barselona: Trening 3,FORMULA 1
13.06.,13:00,Arena Sport 5,Pikado,Druga runda,SVETSKI KUP
13.06.,13:15,Arena Premium 2,Basket 3x3,"Beč, grupna faza",FIBA 3x3 World Tour
13.06.,14:00,Arena Premium 1,Odbojka,Kuba - Slovenija,Liga Nacija
13.06.,14:00,Arena Tenis,Tenis,Polufinale 2,ATP 250 - Stuttgart
13.06.,14:00,Arena Sport 3,Tenis,Boys Semifinal 1,ITF - Kuršumlijska banja
13.06.,14:15,Adrenalin,Moto Sport,Barselona: Sprint,FORMULA 2
13.06.,14:30,Arena Sport 1,Tenis,Polufinale 1,WTA 500 - London
13.06.,15:00,Arena Premium 3,Rukomet,"Magdeburg - Fuchse Berlin, polufinale 1",EHF LIGA ŠAMPIONA
13.06.,15:00,Arena Sport 2,Tenis,Polufinale 1,ATP 250 - Libema
13.06.,15:30,Arena Sport 8,Moto Sport,"Italija, Trka 1",SUPERBIKE WORLD CHAMPIONSHIP
13.06.,16:00,Arena Premium 1,Odbojka,Brazil - Srbija,Liga Nacija
13.06.,16:00,Arena Sport 3,Tenis,Boys Semifinal 2,ITF - Kuršumlijska banja
13.06.,16:00,Arena Sport 7,Moto Sport,"Dubrovnik, Croatia",E1
13.06.,16:00,Adrenalin,Moto Sport,Barselona: Kvalifikacije,FORMULA 1
13.06.,16:30,Arena Sport 1,Tenis,Polufinale 2,WTA 500 - London
13.06.,17:00,Arena Premium 2,Košarka,"Finale: Olympiacos - Panathinaikos, G5",GRČKA LIGA
13.06.,17:00,Arena Sport 2,Tenis,Polufinale 2,ATP 250 - Libema
13.06.,18:00,Arena Premium 3,Rukomet,"Aalborg - Barcelona, polufinale 2",EHF LIGA ŠAMPIONA
13.06.,19:00,Arena Premium 4,Košarka,"Fenerbahce - Besiktas, finale G1",TURSKA LIGA
13.06.,19:00,Arena Sport 5,Pikado,Druga runda - večernja sesija,SVETSKI KUP
13.06.,19:45,Arena Sport 8,BOX,Medjunarodni bokserski turnir u Kumanovu - Miroslav Petrović,
13.06.,20:00,Arena Premium 2,Košarka,"Milano - Venezia, finale G2",ITALIJANSKA LIGA
13.06.,20:00,Arena Premium 5,Košarka,"Tenerife - Barcelona, polufinale G3",ŠPANSKA LIGA
