Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
28.06.,01:30,Arena Premium 1,Fudbal,Kolumbija - Portugal,FIFA SVETSKO PRVENSTVO
28.06.,01:30,Arena Premium 2,Fudbal,DR Kongo - Uzbekistan,FIFA SVETSKO PRVENSTVO
28.06.,04:00,Arena Premium 1,Fudbal,Jordan - Argentina,FIFA SVETSKO PRVENSTVO
28.06.,04:00,Arena Premium 2,Fudbal,Alžir - Austrija,FIFA SVETSKO PRVENSTVO
28.06.,08:30,Arena Sport 8,Moto Sport,Akropolj - Live Stage 4,WRC
28.06.,08:40,Adrenalin,Moto Sport,Austrija: Trka,FORMULA 3
28.06.,09:00,Arena Premium 2,Basket 3x3,"Ulaanbaatar, četvrtfinala",FIBA 3x3 World Tour
28.06.,10:10,Adrenalin,Moto Sport,Austrija: Trka,FORMULA 2
28.06.,11:00,Arena Premium 4,Moto Sport,Holandija: Trka,MOTO 3
28.06.,11:30,Arena Premium 2,Basket 3x3,"Ulaanbaatar, polufinala i finala",FIBA 3x3 World Tour
28.06.,11:55,Adrenalin,Moto Sport,Austrija: Trka,Porsche Supercup
28.06.,12:00,Arena Sport 3,Golf,"Open d’Italia, dan 4",DP WORLD TOUR
28.06.,12:15,Arena Premium 4,Moto Sport,Holandija: Trka,MOTO 2
28.06.,13:00,Arena Sport 8,Moto Sport,Akropolj - Live Stage 5,WRC
28.06.,13:30,Arena Premium 2,Odbojka,Iran - Kuba,Liga Nacija
28.06.,14:00,Arena Premium 4,Moto Sport,Holandija: Trka,MOTO GP
28.06.,14:15,Adrenalin,Moto Sport,Austrija: Trka,FORMULA 1
28.06.,16:30,Arena Premium 2,Odbojka,Belgija - Turska,Liga Nacija
28.06.,16:30,Arena Premium 4,Odbojka,Kanada - Brazil,Liga Nacija
28.06.,18:00,Arena Premium 3,Atletika,Pariz,DIJAMANTSKA LIGA
28.06.,18:00,Arena Sport 1,Basket 3x3,SC Rakovica Beograd,BG U23 League
28.06.,18:00,Arena Sport 2,Basket 3x3,"Portonovi FIBA Lite Quest 2K26, drugi dan",Montenegro 3x3 2k26
28.06.,18:00,Arena Sport 10,Basket 3x3,SC Rakovica Beograd,BG U23 League
28.06.,19:00,Arena Premium 5,Fudbal,Čukarički – Olimpija,PRIJATELJSKE UTAKMICE
28.06.,20:30,Arena Premium 2,Odbojka,Srbija - SAD,Liga Nacija
28.06.,20:30,Arena Premium 3,Odbojka,Slovenija - Italija,Liga Nacija
28.06.,21:00,Arena Premium 1,Fudbal,Južna Afrika - Kanada,FIFA SVETSKO PRVENSTVO
28.06.,21:30,Adrenalin,Moto Sport,Sonoma,NASCAR CUP SERIES
