"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"21.12.","07:00","Arena Sport 7","Golf","AfrAsia Bank Mauritius Open","DP WORLD TOUR"
"21.12.","11:00","Arena Premium 3","Košarka","Efes - Galatasaray","TURSKA LIGA"
"21.12.","11:00","Arena Sport 2","Košarka","CSKA - MBA","VTB LIGA"
"21.12.","12:00","Arena Premium 2","Košarka","Mega - Cedevita Olimpija","ABA LIGA"
"21.12.","12:00","Arena Sport 3","Košarka","Olympiacos - Kolossos","GRČKA LIGA"
"21.12.","12:00","Arena Sport 7","Košarka","Sassari - Trapani","ITALIJANSKA LIGA"
"21.12.","12:15","Arena Sport 4","Fudbal","Utrecht - PSV","HOLANDSKA LIGA"
"21.12.","12:30","Arena Premium 1","Fudbal","Cagliari - Pisa","ITALIJANSKA LIGA"
"21.12.","12:30","Arena Premium 4","Košarka","Barcelona - Joventut","ŠPANSKA LIGA"
"21.12.","12:30","Arena Sport 6","Odbojka","Vakifbank - THY","TURSKA LIGA Ž"
"21.12.","13:00","Arena Premium 5","Košarka","SC Derby - Dubai","ABA LIGA"
"21.12.","13:00","Arena Sport 5","Pikado","Runda 2 - Dan 11, prepodnevna sesija","SVETSKO PRVENSTVO"
"21.12.","13:30","Arena Sport 1","Fudbal","E. Braunschweig - Schalke","NEMAČKA 2. LIGA"
"21.12.","13:30","Arena Sport 2","Fudbal","Nurnberg - Hannover","NEMAČKA 2. LIGA"
"21.12.","13:30","Arena Sport 8","Košarka","Bursaspor - Mersin","TURSKA LIGA"
"21.12.","14:00","Arena Premium 2","Fudbal","Girona - Atletico","ŠPANSKA LIGA"
"21.12.","14:00","Arena Sport 10","Basket 3x3","Finale","MTS Karavan U15"
"21.12.","14:00","Arena 1X2","Fudbal","Malaga - Almeria","ŠPANSKA 2. LIGA"
"21.12.","14:30","Arena Premium 4","Fudbal","Hearts - Rangers","ŠKOTSKA LIGA"
"21.12.","14:30","Arena Sport 6","Fudbal","Feynoord - Twente","HOLANDSKA LIGA"
"21.12.","15:00","Arena Premium 3","Fudbal","Sassuolo - Torino","ITALIJANSKA LIGA"
"21.12.","15:00","Arena Sport 3","Košarka","Monaco - Nanterre","FRANCUSKA LIGA"
"21.12.","15:00","Arena Sport 4","Rukomet","RNL - Hamburg","BUNDESLIGA"
"21.12.","15:00","Arena Sport 9","Fudbal","Hajduk - Vukovar","HRVATSKA LIGA"
"21.12.","15:30","Arena Premium 5","Fudbal","Mainz - St. Pauli","NEMAČKA LIGA"
"21.12.","16:00","Arena Sport 1","Košarka","Merkezefendi - Turk Telekom","TURSKA LIGA"
"21.12.","16:15","Arena Premium 2","Fudbal","Villarreal - Barcelona","ŠPANSKA LIGA"
"21.12.","16:30","Arena 1X2","Fudbal","Lugano - Young Boys","ŠVAJCARSKA LIGA"
"21.12.","16:45","Arena Sport 4","Fudbal","Fortuna - AZ Alkmaar","HOLANDSKA LIGA"
"21.12.","17:00","Arena Sport 3","Odbojka","Zenit - Lokomotiv","RUSKA LIGA"
"21.12.","17:30","Arena Premium 3","Fudbal","Aston Villa - Manchester United","ENGLESKA LIGA"
"21.12.","17:30","Arena Premium 4","Fudbal","Heidenheim - Bayern","NEMAČKA LIGA"
"21.12.","17:30","Arena Sport 5","Odbojka","Jedinstvo SP - Ub","SUPERLIGA (Ž)"
"21.12.","17:45","Arena Sport 9","Fudbal","Rijeka - Gorica","HRVATSKA LIGA"
"21.12.","18:00","Arena Tenis","Tenis","Next Gen ATP Finals - Final","ATP - Next Gen"
"21.12.","18:00","Arena Sport 1","Fudbal","Fiorentina - Udinese","ITALIJANSKA LIGA"
"21.12.","18:00","Arena Sport 8","Fudbal","Galatasaray - Kasimpasa","TURSKA LIGA"
"21.12.","18:30","Arena Premium 2","Fudbal","Elche - Rayo Vallecano","ŠPANSKA LIGA"
"21.12.","18:30","Arena Sport 2","Fudbal","PAOK - Panathinaikos","GRČKA LIGA"
"21.12.","18:30","Arena Sport 6","Fudbal","Granada - Albacete","ŠPANSKA 2. LIGA"
