Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
18.05.,00:30,Arena Premium 1,Fudbal,Atletico PR - Flamengo,BRAZILSKA LIGA
18.05.,12:00,Arena Tenis,Tenis,"Centralni teren, dan 1",ATP 500 - Hamburg
18.05.,16:20,Arena Premium 2,Hokej,Finska - SAD,SVETSKO PRVENSTVO
18.05.,16:20,Arena Premium 3,Hokej,Kanada - Danska,SVETSKO PRVENSTVO
18.05.,18:30,Arena Sport 1,Košarka,"Bonn - Wurzburg, G2",NEMAČKA LIGA
18.05.,19:00,Arena Premium 3,Košarka,"Lokomotiv - CSKA, G3",VTB LIGA
18.05.,19:00,Arena Premium 4,Rukomet,Finale G1,SUPERLIGA SRBIJE Ž
18.05.,19:00,Arena Sport 10,Rukomet,Finale G1,SUPERLIGA SRBIJE Ž
18.05.,20:00,Arena Premium 1,Košarka,"Partizan - Crvena zvezda, G1",ABA LIGA
18.05.,20:00,Arena Premium 5,Košarka,"Brescia - Trieste, G2",ITALIJANSKA LIGA
18.05.,20:20,Arena Sport 2,Hokej,Švedska - Češka,SVETSKO PRVENSTVO
18.05.,20:30,Arena Sport 1,Košarka,"Bamberg - Ulm, G2",NEMAČKA LIGA
18.05.,20:45,Arena Premium 4,Košarka,"Milano - Reggio Emilia, G2",ITALIJANSKA LIGA
18.05.,21:00,Arena Premium 2,Fudbal,Arsenal - Burnley,ENGLESKA LIGA
19.05.,01:30,Arena Premium 1,Hokej,"Montreal Canadiens - Buffalo Sabres, G7",NHL
19.05.,10:00,Arena Premium 1,Mali fudbal,Četvrtfinala,ARENINA LIGA ŠAMPIONA
19.05.,12:00,Arena Tenis,Tenis,"Centralni teren, dan 2",ATP 500 - Hamburg
19.05.,16:20,Arena Premium 3,Hokej,Italija - Norveška,SVETSKO PRVENSTVO
19.05.,18:00,Arena Premium 5,Hokej,"Lokomotiv - AK Bars, finale G5",KHL
19.05.,18:30,Arena Premium 2,Košarka,"Zenit - UNICS, G4",VTB LIGA
19.05.,18:30,Arena Sport 1,Košarka,"Alba - Vechta, G2",NEMAČKA LIGA
19.05.,18:30,Arena Sport 3,Fudbal,Ried - WAC,AUSTRIJSKA LIGA
19.05.,19:00,Arena Premium 3,Košarka,"Borac - Spartak, G2",KLS
19.05.,19:00,Arena Sport 10,Košarka,"Borac - Spartak, G2",KLS
19.05.,20:00,Arena Premium 4,Košarka,"Virtus Bologna - Trentino, G2",ITALIJANSKA LIGA
