Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
16.05.,08:40,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO 3
16.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
16.05.,09:25,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO 2
16.05.,10:10,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO GP
16.05.,10:50,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO GP
16.05.,11:15,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO GP
16.05.,12:15,Arena Premium 4,Hokej,Slovačka - Norveška,SVETSKO PRVENSTVO
16.05.,12:45,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO 3
16.05.,13:00,Arena Premium 3,Atletika,Šangaj,DIJAMANTSKA LIGA
16.05.,13:10,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO 3
16.05.,13:30,Arena Premium 1,Fudbal,Celtic - Hearts,ŠKOTSKA LIGA
16.05.,13:40,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO 2
16.05.,14:00,Arena Sport 8,Moto Sport,"Češka, Trka 1",SUPERBIKE WORLD CHAMPIONSHIP
16.05.,14:05,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO 2
16.05.,14:15,Arena Sport 1,Basket 3x3,"Zadar, četvrtfinala",FIBA 3x3 World Tour
16.05.,14:30,Arena Premium 5,Košarka,Bahcesehir - Fenerbahce,TURSKA LIGA
16.05.,15:00,Arena Sport 8,Rukomet,"Thuringer - Viborg, polufinale 1",EHF LIGA EVROPE (Ž)
16.05.,15:00,Adrenalin,Moto Sport,Katalonija: Sprint,MOTO GP
16.05.,15:15,Arena Sport 7,Košarka,"Kolossos - Olympiacos, G2",GRČKA LIGA
16.05.,15:30,Arena Premium 2,Fudbal,Bayern - Koln,NEMAČKA LIGA
16.05.,15:30,Arena Premium 3,Fudbal,Werder Bremen - Dortmund,NEMAČKA LIGA
16.05.,15:30,Arena Premium 4,Fudbal,Freiburg - Leipzig,NEMAČKA LIGA
16.05.,15:30,Arena Sport 2,Fudbal,Frankfurt - Stuttgart,NEMAČKA LIGA
16.05.,15:30,Arena Sport 3,Fudbal,Bayer Leverkusen - HSV,NEMAČKA LIGA
16.05.,15:30,Arena Sport 4,Fudbal,B. Monchengladbach - Hoffenheim,NEMAČKA LIGA
16.05.,15:30,Arena Sport 5,Fudbal,Heidenheim - Mainz,NEMAČKA LIGA
16.05.,15:30,Arena Sport 6,Fudbal,St. Pauli - Wolfsburg,NEMAČKA LIGA
16.05.,15:30,Arena 1X2,Fudbal,Multiprenos,NEMAČKA LIGA
16.05.,16:00,Arena Premium 1,Fudbal,"Chelsea - Manchester City, finale",FA CUP
16.05.,16:15,Arena Sport 9,Hokej,Italija - Kanada,SVETSKO PRVENSTVO
16.05.,16:30,Arena Premium 5,Fudbal,Porto - Santa Clara,PORTUGALSKA LIGA
16.05.,17:00,Arena Tenis,Tenis,Gauff - Svitolina,ATP/WTA 1000 - Rome
16.05.,17:00,Arena Sport 1,Basket 3x3,"Zadar, polufinala i finale",FIBA 3x3 World Tour
16.05.,17:00,Arena Sport 8,Odbojka,"Projekt Warszawa - Perugia, polufinale 1",LIGA ŠAMPIONA
16.05.,17:30,Arena Premium 2,Fudbal,Wisla - Gornik,POLJSKA LIGA
16.05.,18:00,Arena Premium 3,Rukomet,"Dijon - Esztergom, polufinale 2",EHF LIGA EVROPE (Ž)
16.05.,18:00,Arena Sport 7,Američki fudbal,Geulfi Firenze - Belgrade Blue Dragons,CENTRAL EUROPEAN FOOTBALL LEAGUE
16.05.,18:30,Arena Premium 4,Košarka,"Milano - Reggio Emilia, G1",ITALIJANSKA LIGA
16.05.,18:30,Arena Premium 5,Košarka,"Bamberg - Ulm, G1",NEMAČKA LIGA
16.05.,18:30,Arena Sport 4,Fudbal,Racing - Valladolid,ŠPANSKA 2. LIGA
16.05.,18:30,Arena Sport 6,Fudbal,Almeria - Las Palmas,ŠPANSKA 2. LIGA
16.05.,19:00,Arena Premium 1,Košarka,Paris - Asvel,FRANCUSKA LIGA
16.05.,19:00,Arena Tenis,Golf,U.S. PGA CHAMPIONSHIP - Dan 3,MAJORS
16.05.,19:00,Arena Sport 1,Košarka,Nanterre - Cholet,FRANCUSKA LIGA
16.05.,20:00,Arena Sport 5,Fudbal,"Juve Stabia - Monza, polufinale 1 G1",ITALIJANSKA 2. LIGA
16.05.,20:00,Arena Sport 10,Fudbal,MULTIPRENOS,SUPERLIGA 
16.05.,20:15,Arena Sport 7,Hokej,Slovenija - Češka,SVETSKO PRVENSTVO
16.05.,20:30,Arena Premium 4,Košarka,"Brescia - Trieste, G1",ITALIJANSKA LIGA
16.05.,20:30,Arena Premium 5,Odbojka,"Zawiercie - Ziraat, polufinale 2",LIGA ŠAMPIONA
16.05.,20:30,Arena Sport 6,Košarka,"Bonn - Wurzburg, G1",NEMAČKA LIGA
16.05.,21:30,Arena Premium 1,Fudbal,Sporting - Gil Vicente,PORTUGALSKA LIGA
16.05.,21:30,Arena Sport 1,Fudbal,Estoril - Benfica,PORTUGALSKA LIGA
17.05.,00:00,Arena Premium 2,Fudbal,Fluminense - Sao Paulo,BRAZILSKA LIGA
17.05.,00:30,Arena Premium 1,Fudbal,"River Plate - Rosario, polufinale 1",ARGENTINSKA LIGA
17.05.,02:00,Arena Premium 2,Fudbal,Palmeiras - Cruzeiro,BRAZILSKA LIGA
17.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
17.05.,11:00,Adrenalin,Moto Sport,Katalonija: Trka,MOTO 3
17.05.,11:10,Arena Sport 8,Moto Sport,"Češka, Superpole Race",SUPERBIKE WORLD CHAMPIONSHIP
17.05.,12:00,Arena Premium 2,Fudbal,Roma - Lazio,ITALIJANSKA LIGA
17.05.,12:00,Arena Premium 3,Fudbal,Genoa - Milan,ITALIJANSKA LIGA
17.05.,12:00,Arena Premium 4,Fudbal,Pisa - Napoli,ITALIJANSKA LIGA
17.05.,12:00,Arena Premium 5,Košarka,"Zenit - UNICS, G3",VTB LIGA
17.05.,12:00,Arena Tenis,Tenis,WTA Dubl Finale,ATP/WTA 1000 - Rome
17.05.,12:00,Arena Sport 1,Fudbal,Juventus - Fiorentina,ITALIJANSKA LIGA
17.05.,12:00,Arena Sport 2,Fudbal,Como - Parma,ITALIJANSKA LIGA
17.05.,12:15,Adrenalin,Moto Sport,Katalonija: Trka,MOTO 2
17.05.,12:30,Arena Sport 3,Košarka,Real Madrid - Joventut,ŠPANSKA LIGA
17.05.,13:00,Arena Sport 6,Moto Sport,24 Hours Nurburgring,
17.05.,13:30,Arena Premium 1,Fudbal,Manchester United - Nottingham Forest,ENGLESKA LIGA
17.05.,13:30,Arena Sport 4,Hokej,"AK Bars - Lokomotiv, finale G4",KHL
17.05.,14:00,Arena Tenis,Tenis,ATP Dubl Finale,ATP/WTA 1000 - Rome
17.05.,14:00,Adrenalin,Moto Sport,Katalonija: Trka,MOTO GP
17.05.,14:15,Arena Sport 8,Košarka,"Mykonos - Panathinaikos, G2",GRČKA LIGA
17.05.,14:30,Arena Sport 2,Fudbal,Sturm - Rapid,AUSTRIJSKA LIGA
17.05.,14:30,Arena Sport 3,Fudbal,Austria - LASK,AUSTRIJSKA LIGA
