Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
07.05.,00:00,Arena Premium 2,Fudbal,Cusco - Estudiantes,COPA LIBERTADORES
07.05.,02:30,Arena Premium 2,Fudbal,Independiente Rivadavia - Fluminense,COPA LIBERTADORES
07.05.,03:30,Arena Premium 1,Košarka,"San Antonio - Minnesota, G2",NBA
07.05.,10:00,Arena Premium 1,Mali fudbal,Stari Grad,ARENINA LIGA ŠAMPIONA
07.05.,11:00,Arena Tenis,Tenis,"Centralni teren, dan 2 prepodnevna sesija",ATP/WTA 1000 - Rome
07.05.,11:00,Arena Sport 1,Tenis,"Teren 1, dan 2",ATP/WTA 1000 - Rome
07.05.,16:00,Adrenalin,Moto Sport,Portugal - Live Stage 1,WRC
07.05.,18:00,Arena Premium 4,Košarka,"Rytas - Tenerife, PF1",FIBA LIGA ŠAMPIONA
07.05.,18:30,Arena Premium 1,Košarka,"Crvena zvezda - Cedevita Olimpija, G1",ABA LIGA
07.05.,18:30,Arena Sport 3,Košarka,Ludwigsburg - Bayern,NEMAČKA LIGA
07.05.,18:45,Arena Premium 5,Rukomet,Magdeburg - Szeged,EHF LIGA ŠAMPIONA
07.05.,19:00,Arena Tenis,Tenis,"Centralni teren, dan 2 popodnevna sesija",ATP/WTA 1000 - Rome
07.05.,20:00,Arena Premium 2,Košarka,"Hapoel Tel Aviv - Real Madrid, G4",EVROLIGA
07.05.,20:00,Arena Sport 5,Pikado,Leeds,Premier League
07.05.,20:00,Arena Sport 10,Futsal,"Smederevo - Loznica, finale G3",PRVA LIGA
07.05.,20:30,Arena Sport 3,Košarka,"Borac - TFT,  G1",ABA LIGA
07.05.,21:00,Arena Premium 1,Fudbal,Aston Villa - Nottingham Forest,UEFA LIGA EVROPE
07.05.,21:00,Arena Premium 3,Fudbal,Crystal Palace - Shakhtar,UEFA LIGA KONFERENCIJA
07.05.,21:00,Arena Premium 4,Košarka,"Unicaja - AEK, PF2",FIBA LIGA ŠAMPIONA
07.05.,21:00,Arena Premium 5,Fudbal,Freiburg - Braga,UEFA LIGA EVROPE
07.05.,21:00,Arena Sport 2,Fudbal,Strasbourg - Rayo Vallecano,UEFA LIGA KONFERENCIJA
