"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"03.01.","02:00","Arena Premium 3","Hokej","Florida Panthers - New York Rangers","NHL"
"03.01.","10:00","Arena Premium 3","Vaterpolo","Italija - Španija","Trebinje Cup 2026"
"03.01.","11:00","Arena Premium 2","Košarka","Bahcesehir - Petkim Spor","TURSKA LIGA"
"03.01.","12:15","Arena Premium 3","Vaterpolo","Grčka - Francuska","Trebinje Cup 2026"
"03.01.","12:30","Arena Premium 4","Fudbal","Como - Udinese","ITALIJANSKA LIGA"
"03.01.","13:30","Arena Premium 1","Fudbal","Aston Villa - Nottingham Forest","ENGLESKA LIGA"
"03.01.","13:30","Arena Premium 2","Fudbal","Celtic - Rangers","ŠKOTSKA LIGA"
"03.01.","13:30","Arena Sport 1","Košarka","Trabzonspor - Turk Telekom","TURSKA LIGA"
"03.01.","14:00","Arena Premium 3","Fudbal","Celta - Valencia","ŠPANSKA LIGA"
"03.01.","15:00","Arena Premium 4","Fudbal","Genoa - Pisa","ITALIJANSKA LIGA"
"03.01.","15:00","Arena Premium 5","Fudbal","Sassuolo - Parma","ITALIJANSKA LIGA"
"03.01.","16:00","Arena Premium 1","Fudbal","Wolverhampton - West Ham","ENGLESKA LIGA"
"03.01.","16:00","Arena Premium 2","Fudbal","Brighton - Burnley","ENGLESKA LIGA"
"03.01.","16:00","Arena Sport 3","Košarka","Bursaspor - Erokspor","TURSKA LIGA"
"03.01.","16:00","Arena 1X2","Fudbal","Dundee United - Dundee","ŠKOTSKA LIGA"
"03.01.","16:15","Arena Premium 3","Fudbal","Osasuna - Athletic","ŠPANSKA LIGA"
"03.01.","17:00","Arena Premium 5","Košarka","Cedevita Olimpija - Spartak","ABA LIGA"
"03.01.","17:00","Arena Sport 1","Fudbal","Monaco - Lyon","FRANCUSKA LIGA"
"03.01.","17:00","Arena Sport 2","Fudbal","Osmina finala (1D - 3B/E/F)","KUP AFRIČKIH NACIJA"
"03.01.","17:00","Arena Sport 4","Odbojka","Piacenza - Cuneo","ITALIJANSKA LIGA"
"03.01.","18:00","Arena Premium 2","Fudbal","Juventus - Lecce","ITALIJANSKA LIGA"
"03.01.","18:00","Arena Sport 3","Hokej","Detroit Red Wings - Pittsburgh Penguins","NHL"
"03.01.","18:00","Arena Sport 6","Košarka","Joventut - Tenerife","ŠPANSKA LIGA"
"03.01.","18:00","Adrenalin","Moto Sport","Round 2 - Nemačka","SuperEnduro 2026"
"03.01.","18:15","Arena Premium 4","Vaterpolo","Mađarska - Grčka","Trebinje Cup 2026"
"03.01.","18:15","Arena Sport 5","Košarka","Varese - Napoli","ITALIJANSKA LIGA"
"03.01.","18:30","Arena Premium 1","Fudbal","Bournemouth - Arsenal","ENGLESKA LIGA"
"03.01.","18:30","Arena Premium 3","Fudbal","Elche - Villarreal","ŠPANSKA LIGA"
"03.01.","18:30","Arena 1X2","Fudbal","Valladolid - Racing","ŠPANSKA 2. LIGA"
"03.01.","19:00","Arena Premium 5","Košarka","Cluj - FMP","ABA LIGA"
"03.01.","19:00","Arena Sport 1","Fudbal","Nice - Strasbourg","FRANCUSKA LIGA"
"03.01.","19:00","Arena Sport 4","Fudbal","Benfica - Estoril","PORTUGALSKA LIGA"
"03.01.","19:00","Arena Sport 9","Košarka","Krka - SC Derby","ABA LIGA"
"03.01.","20:00","Arena Sport 2","Fudbal","Osmina finala (2A - 2C)","KUP AFRIČKIH NACIJA"
"03.01.","20:00","Arena Sport 6","Fudbal","Le Mans - Saint-Etienne","FRANCUSKA 2. LIGA"
"03.01.","20:30","Arena Premium 1","Košarka","Borac - Partizan","ABA LIGA"
"03.01.","20:30","Arena Premium 4","Vaterpolo","Srbija - Italija","Trebinje Cup 2026"
"03.01.","20:30","Arena Sport 10","Vaterpolo","Srbija - Italija","Trebinje Cup 2026"
"03.01.","20:45","Arena Premium 3","Fudbal","Atalanta - Roma","ITALIJANSKA LIGA"
"03.01.","21:00","Arena Premium 2","Fudbal","Espanyol - Barcelona","ŠPANSKA LIGA"
"03.01.","21:00","Arena Premium 5","Pikado","Finale","SVETSKO PRVENSTVO"
"03.01.","21:00","Arena Sport 1","Fudbal","Lille - Rennes","FRANCUSKA LIGA"
"03.01.","21:30","Arena Sport 3","Hokej","Edmonton Oilers - Philadelphia Flyers","NHL"
"03.01.","22:30","Arena Premium 4","Američki fudbal","Tampa Bay Buccaneers - Carolina Panthers","NFL"
