"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"25.02.","02:00","Arena 1 Premium","Košarka","Oklahoma City - Minnesota","NBA"
"25.02.","10:00","Arena 1 Premium","Mali fudbal","Mali fudbal: Arenina Liga Šampiona Kup: Novi Beograd","ARENINA LIGA ŠAMPIONA"
"25.02.","13:00","Arena Sport 3","Fudbal","Kruševo - Željezničar","KUP BIH"
"25.02.","17:00","Arena Sport 3","Hokej","Lokomotiv - Dinamo Moskva","KHL"
"25.02.","18:00","Arena 3 Premium","Fudbal","Srbija - Belorusija","UEFA LIGA NACIJA Ž"
"25.02.","18:45","Arena Sport 1","Rukomet","Toulouse - Flensburg","EHF LIGA EVROPE"
"25.02.","20:00","Arena Sport 6","Vaterpolo","Olympiacos SFP - Novi Beograd","Liga šampiona"
"25.02.","20:00","Arena Sport 10","Vaterpolo","CN Marseille - Jadran Split","Liga šampiona"
"25.02.","20:30","Arena 1 Premium","Fudbal","MULTIPRENOS","ENGLESKA LIGA"
"25.02.","20:30","Arena Sport 2","Fudbal","Crystal Palace - Aston Villa","ENGLESKA LIGA"
"25.02.","20:30","Arena Sport 3","Fudbal","Wolverhampton - Fulham","ENGLESKA LIGA"
"25.02.","20:30","Arena Sport 4","Fudbal","Brighton - Bournemouth","ENGLESKA LIGA"
"25.02.","20:30","Arena Sport 9","Fudbal","Sarajevo - Zrinjski","KUP BIH"
"25.02.","20:45","Arena Sport 5","Rukomet","Melsungen - Vojvodina","EHF LIGA EVROPE"
"25.02.","20:45","Arena Sport 7","Fudbal","Arminia Bielefeld - Werder Bremen","NEMAČKI KUP"
"25.02.","20:45","Arena Sport 1x2","Odbojka","Milano - Halkbank","LIGA ŠAMPIONA"
"25.02.","21:00","Arena Sport 1","Fudbal","Inter - Lazio","ITALIJANSKI KUP"
"25.02.","21:00","Arena Sport 8","Fudbal","Celtic - Aberdeen","ŠKOTSKA LIGA"
"25.02.","21:15","Arena 3 Premium","Fudbal","Chelsea - Southampton","ENGLESKA LIGA"
"25.02.","21:30","Arena 2 Premium","Fudbal","Barcelona - Atletico","ŠPANSKI KUP"
"25.02.","23:30","Arena Sport 1","Fudbal","Pregled 27. kola","ŠKOTSKA LIGA"
"26.02.","04:00","Arena 1 Premium","Košarka","LA Lakers - Dallas","NBA"
"26.02.","08:30","Arena 1 Premium","Mali fudbal","Mali fudbal: Arenina Liga Šampiona Kup: Novi Beograd","ARENINA LIGA ŠAMPIONA"
"26.02.","12:30","Arena 1 Premium","Fudbal","Najava 25. kola","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","13:00","Arena 1 Premium","Fudbal","Spartak - Jedinstvo","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","13:00","Arena Sport 3","Fudbal","Famos - Borac","KUP BIH"
"26.02.","15:30","Arena Sport 1","Fudbal","Asteras Tripoli - Ofi  1/2","GRČKI KUP"
"26.02.","16:00","Arena 1 Premium","Fudbal","Železničar - Crvena Zvezda","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","16:00","Arena Sport 10","Fudbal","Železničar - Crvena Zvezda","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","17:30","Arena Sport 2","Odbojka","Zenit - Dinamo-LO","RUSKA LIGA"
"26.02.","18:05","Arena 1 Premium","Fudbal","Partizan - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:05","Arena Sport 10","Fudbal","Partizan - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:30","Arena 2 Premium","Fudbal","Radnički - Vojvodina","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:45","Arena Sport 8","Rukomet","Aalborg - Zagreb","EHF LIGA ŠAMPIONA"
"26.02.","19:00","Arena Sport 1","Fudbal","Olympiacos - AEK","GRČKI KUP"
"26.02.","19:30","Arena 3 Premium","Fudbal","IMT - OFK Beograd","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","19:30","Arena Sport 9","Odbojka","BR Volleys - Luneburg","LIGA ŠAMPIONA"
"26.02.","20:00","Arena Sport 10","Vaterpolo","Barceloneta - Oradea","Liga šampiona"
"26.02.","20:00","Unknown Channel","Vaterpolo","RN Savona - Ferencvarosi","Liga šampiona"
"26.02.","20:30","Arena 1 Premium","Fudbal","MULTIPRENOS","ENGLESKA LIGA"
"26.02.","20:30","Arena 2 Premium","Fudbal","Nottingham Forest - Arsenal","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 2","Fudbal","Tottenham - Manchester City","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 4","Fudbal","Manchester United - Ipswich","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 5","Fudbal","Brentford - Everton","ENGLESKA LIGA"
"26.02.","20:45","Arena Sport 6","Fudbal","Leipzig - Wolfsburg","NEMAČKI KUP"
"26.02.","20:45","Arena Sport 8","Rukomet","Kielce - Nantes","EHF LIGA ŠAMPIONA"
"26.02.","21:00","Arena Sport 3","Fudbal","Juventus - Empoli","ITALIJANSKI KUP"
"26.02.","21:00","Arena Sport 7","Fudbal","Kilmarnock - Rangers","ŠKOTSKA LIGA"
"26.02.","21:15","Arena Sport 1","Fudbal","Liverpool - Newcastle","ENGLESKA LIGA"
"26.02.","21:30","Arena 3 Premium","Fudbal","Real Sociedad - Real Madrid","ŠPANSKI KUP"
"27.02.","01:00","Arena 1 Premium","Košarka","New York - Philadelphia","NBA"
"27.02.","17:00","Arena 1 Premium","Fudbal","Napredak - Tekstilac","MOZZARTBET SUPERLIGA SRBIJE"
"27.02.","17:30","Arena Sport 2","Odbojka","Zenit - Dinamo","RUSKA LIGA"
"27.02.","18:00","Arena 3 Premium","Odbojka","Olympiacos - Saint Nazaire","LIGA ŠAMPIONA"
"27.02.","18:30","Arena 2 Premium","Fudbal","Radnički 1923 - Novi Pazar","MOZZARTBET SUPERLIGA SRBIJE"
"27.02.","18:45","Arena Sport 1","Rukomet","Szeged - Barcelona","EHF LIGA ŠAMPIONA"
"27.02.","19:00","Arena 1 Premium","Fudbal","TSC - Čukarički","MOZZARTBET SUPERLIGA SRBIJE"
"27.02.","20:00","Arena 3 Premium","Košarka","Košarka: NBA: NBA Arena #19","NBA"
"27.02.","20:45","Arena 2 Premium","Fudbal","Bologna - Milan","ITALIJANSKA LIGA"
"27.02.","20:45","Arena Sport 1","Rukomet","Fuchse Berlin - Pelister","EHF LIGA ŠAMPIONA"
"27.02.","21:00","Arena 1 Premium","Fudbal","West Ham - Leicester","ENGLESKA LIGA"
"27.02.","21:00","Arena Sport 2","Fudbal","Barrow - Carlisle","LEAGUE TWO"
"28.02.","02:00","Arena 1 Premium","Košarka","Milwaukee - Denver","NBA"
"28.02.","15:00","Arena Sport 3","Hokej","Traktor - AK Bars","KHL"
"28.02.","16:00","Arena Sport 1","Košarka","Tofas - Yalovaspor","TURSKA LIGA"
"28.02.","17:00","Arena 3 Premium","Fudbal","Dinamo Makhachkala - Lokomotiv","RUSKA LIGA"
"28.02.","17:30","Arena Sport 2","Košarka","Polufinale 1","KUP SRBIJE Ž"
"28.02.","18:00","Arena Sport 1","Košarka","Arena Basket ep. 24",""
"28.02.","18:00","Arena Sport 6","Fudbal","Radomiak - Widzew Lodz","POLJSKA LIGA"
"28.02.","18:30","Arena 2 Premium","Košarka","Karsiyaka - Besiktas","TURSKA LIGA"
"28.02.","19:00","Arena 1 Premium","Fudbal","Pregled 25. kola","MOZZARTBET SUPERLIGA SRBIJE"
"28.02.","19:00","Arena Sport 1","Košarka","Mornar - Spartak","ABA LIGA"
"28.02.","19:00","Arena Sport 4","Odbojka","Karađorđe - Mladi radnik","SUPERLIGA"
"28.02.","19:00","Arena Sport 8","Fudbal","Sepsi - CFR Cluj","RUMUNSKA LIGA"
"28.02.","19:30","Arena Sport 3","Atletika","World Indoor Tour Gold Madrid 2025","World Athletics Indoor Tour"
"28.02.","20:00","Arena 1 Premium","Fudbal","Pregled 27. kola","ENGLESKA LIGA"
"28.02.","20:00","Arena Sport 2","Košarka","Polufinale 2","KUP SRBIJE Ž"
"28.02.","20:00","Arena Sport 7","Moto Sport","Qatar 1812 Km","World Endurance Championship"
"28.02.","20:30","Arena Sport 6","Fudbal","Cartagena - Eibar","ŠPANSKA 2. LIGA"
"28.02.","20:45","Arena 2 Premium","Fudbal","Fiorentina - Lecce","ITALIJANSKA LIGA"
"28.02.","20:45","Arena 3 Premium","Fudbal","Monaco - Reims","FRANCUSKA LIGA"
"28.02.","20:45","Arena Sport 5","Fudbal","Sporting - Genk","BELGIJSKA LIGA"
"28.02.","20:45","Arena Sport 9","Fudbal","Patrick Thistle - Livingstone","ŠKOTSKA LIGA"
"28.02.","21:00","Arena 1 Premium","Fudbal","Aston Villa - Cardiff","FA CUP"
"28.02.","21:00","Arena Sport 1","Fudbal","Valladolid - Las Palmas","ŠPANSKA LIGA"
"28.02.","21:00","Arena Sport 4","Fudbal","Sheffield Wed - Sunderland","CHAMPIONSHIP"
"01.03.","02:00","Arena 1 Premium","Košarka","NBA 360","NBA"
"01.03.","04:00","Arena 1 Premium","Košarka","LA Lakers - LA Clippers","NBA"
"01.03.","11:00","Arena 1 Premium","Košarka","CSKA - UNICS","VTB LIGA"
"01.03.","11:00","Arena 3 Premium","Odbojka","Fenerbahce - Halkbank","TURSKA LIGA"
"01.03.","12:00","Arena 2 Premium","Fudbal","Niznhy Novgorod - Akron","RUSKA LIGA"
"01.03.","13:15","Arena 1 Premium","Fudbal","Crystal Palace - Millwall","FA CUP"
"01.03.","13:15","Arena Sport 1","Fudbal","Preston North End - Burnley","FA CUP"
"01.03.","13:30","Arena Sport 3","Fudbal","Leeds Utd - West Brom","CHAMPIONSHIP"
"01.03.","13:30","Arena Sport 4","Košarka","Manisa - Mersin","TURSKA LIGA"
"01.03.","14:00","Arena 2 Premium","Fudbal","Girona - Celta","ŠPANSKA LIGA"
"01.03.","14:00","Arena Sport 7","Fudbal","Amiens - Metz","FRANCUSKA LIGA"
"01.03.","14:00","Arena Sport 8","Basket 3x3","Beograd","BG League"
"01.03.","14:30","Arena 3 Premium","Fudbal","Zenit - CSKA","RUSKA LIGA"
"01.03.","14:45","Arena Sport 9","Fudbal","Stal Mielec - Korona","POLJSKA LIGA"
"01.03.","15:00","Arena Sport 2","Fudbal","Atalanta - Venezia","ITALIJANSKA LIGA"
"01.03.","15:00","Arena Sport 6","Fudbal","Gorica - Rijeka","HRVATSKA LIGA"
"01.03.","16:00","Arena 1 Premium","Fudbal","Bournemouth - Wolves","FA CUP"
"01.03.","16:00","Arena Sport 1","Fudbal","Middlesbrough - Derby County","CHAMPIONSHIP"
"01.03.","16:00","Arena Sport 3","Košarka","Turk Telekom - Bursaspor","TURSKA LIGA"
"01.03.","16:00","Arena Sport 4","Fudbal","Cardiff - Burnley","CHAMPIONSHIP"
"01.03.","16:15","Arena 2 Premium","Fudbal","Rayo Vallecano - Sevilla","ŠPANSKA LIGA"
"01.03.","17:00","Arena 3 Premium","Fudbal","St Etienne - Nice","FRANCUSKA LIGA"
"01.03.","17:00","Arena Sport 2","Fudbal","Akhmat - Rubin","RUSKA LIGA"
"01.03.","17:00","Arena Sport 6","Odbojka","Lokomotiv - Leningradka","RUSKA LIGA"
"01.03.","17:30","Arena Sport 5","Fudbal","Krasnodar - Krylya Sovetov","RUSKA LIGA"
"01.03.","17:30","Arena Sport 7","Odbojka","Ziraat - Galatasaray","TURSKA LIGA"
"01.03.","17:30","Arena Sport 9","Fudbal","Pogon - Lech Poznan","POLJSKA LIGA"
"01.03.","18:00","Arena 1 Premium","Fudbal","Napoli - Inter","ITALIJANSKA LIGA"
"01.03.","18:30","Arena 2 Premium","Fudbal","Betis - Real Madrid","ŠPANSKA LIGA"
"01.03.","18:30","Arena Sport 3","Košarka","Fenerbahce - Darussafaka","TURSKA LIGA"
"01.03.","18:30","Arena Sport 4","Fudbal","St. Mirren - Celtic","ŠKOTSKA LIGA"
"01.03.","18:45","Arena Sport 1","Fudbal","Man City - Plymouth Argyle","FA CUP"
"01.03.","19:00","Arena 3 Premium","Košarka","Buducnost - Cedevita Olimpija","ABA LIGA"
"01.03.","19:00","Arena Sport 2","Fudbal","Lens - Le Havre","FRANCUSKA LIGA"
"01.03.","19:00","Arena Sport 6","Košarka","Radnicki KG - Zlatibor","KLS"
"01.03.","19:00","Unknown Channel","Fudbal","Craiova - Farul","RUMUNSKA LIGA"
"01.03.","20:00","Arena Sport 5","Košarka","Finale","KUP SRBIJE Ž"
"01.03.","20:00","Arena Sport 7","Košarka","Trentino - Tortona","ITALIJANSKA LIGA"
"01.03.","20:15","Arena Sport 9","Fudbal","Zaglebie - Piast","POLJSKA LIGA"
"01.03.","20:45","Arena 2 Premium","Fudbal","Udinese - Parma","ITALIJANSKA LIGA"
"01.03.","21:00","Arena 1 Premium","Fudbal","Atletico - Athletic","ŠPANSKA LIGA"
"01.03.","21:00","Arena Sport 2","Hokej","Pittsburgh Penguins - Boston Bruins","NHL"
"01.03.","21:05","Arena 3 Premium","Fudbal","PSG - Lille","FRANCUSKA LIGA"
"01.03.","23:15","Arena 3 Premium","Fudbal","River Plate - Estudiantes","ARGENTINSKA LIGA"
"02.03.","00:00","Arena 1 Premium","Fudbal","Boca Juniors - Rosario","ARGENTINSKA LIGA"
"02.03.","00:30","Arena Sport 1","Fudbal","Sao Bernardo - Palmeiras","PAULISTA"
"02.03.","02:30","Arena 1 Premium","Košarka","Philadelphia - Golden State","NBA"
"02.03.","12:00","Arena Sport 1","Fudbal","Khimki - Fakel","RUSKA LIGA"
"02.03.","12:30","Arena 2 Premium","Fudbal","Najava 26. kola","MOZZARTBET SUPERLIGA SRBIJE"
"02.03.","12:30","Arena 3 Premium","Fudbal","Monza - Torino","ITALIJANSKA LIGA"
"02.03.","13:00","Arena 2 Premium","Fudbal","OFK Beograd - Radnički","MOZZARTBET SUPERLIGA SRBIJE"
"02.03.","13:30","Arena Sport 2","Fudbal","Hibernian - Hearts","ŠKOTSKA LIGA"
"02.03.","13:30","Arena Sport 8","Košarka","Merkenzefendi - Galatasaray","TURSKA LIGA"
"02.03.","13:30","Arena Sport 9","Fudbal","Gent - Club Brugge","BELGIJSKA LIGA"
"02.03.","14:00","Arena 1 Premium","Fudbal","Tekstilac - Partizan","MOZZARTBET SUPERLIGA SRBIJE"
"02.03.","14:00","Arena Sport 1","Fudbal","Leganes - Getafe","ŠPANSKA LIGA"
"02.03.","14:00","Arena Sport 10","Basket 3x3","Beograd","BG League"
"02.03.","14:30","Arena Sport 4","Fudbal","Spartak - Orenburg","RUSKA LIGA"
"02.03.","14:45","Arena 3 Premium","Fudbal","Newcastle - Brighton","FA CUP"
"02.03.","15:00","Arena 2 Premium","Fudbal","Bologna - Cagliari","ITALIJANSKA LIGA"
"02.03.","15:00","Arena Sport 3","Fudbal","Lyon - Brest","FRANCUSKA LIGA"
"02.03.","15:00","Arena Sport 5","Fudbal","Dinamo - Hajduk","HRVATSKA LIGA"
"02.03.","15:00","Arena Sport 6","Odbojka","Zenit Kazan - Lokomotiv","RUSKA LIGA"
"02.03.","15:00","Arena Sport 7","Fudbal","Genoa - Empoli","ITALIJANSKA LIGA"
"02.03.","16:00","Arena 1 Premium","Fudbal","Crvena Zvezda - IMT","MOZZARTBET SUPERLIGA SRBIJE"
"02.03.","16:00","Arena Sport 8","Košarka","Onvo - Bahcesehir","TURSKA LIGA"
"02.03.","16:00","Unknown Channel","Fudbal","Aberdeen - Dundee Utd","ŠKOTSKA LIGA"
"02.03.","16:15","Arena Sport 1","Fudbal","Barcelona - Real Sociedad","ŠPANSKA LIGA"
"02.03.","16:30","Arena Sport 2","Vaterpolo","Crvena zvezda - Jadran HN","Regionalna vaterpolo liga"
"02.03.","16:30","Arena Sport 4","Košarka","Dubai - Cibona","ABA LIGA"
"02.03.","17:00","Arena 2 Premium","Fudbal","Vojvodina - Spartak","MOZZARTBET SUPERLIGA SRBIJE"
"02.03.","17:00","Arena Sport 3","Košarka","FMP - SC Derby","ABA LIGA"
"02.03.","17:15","Arena Sport 7","Fudbal","Montpellier - Rennes","FRANCUSKA LIGA"
"02.03.","17:15","Arena Sport 9","Fudbal","Auxerre - Strasbourg","FRANCUSKA LIGA"
"02.03.","17:30","Arena 3 Premium","Fudbal","Manchester United - Fulham","FA CUP"
"02.03.","17:30","Arena Sport 6","Fudbal","Rostov - Dynamo","RUSKA LIGA"
"02.03.","18:00","Arena 1 Premium","Košarka","Krka - Partizan","ABA LIGA"
"02.03.","18:00","Arena Sport 2","Fudbal","Roma - Como","ITALIJANSKA LIGA"
"02.03.","18:00","Arena Sport 5","Košarka","Igokea - Mega Superbet","ABA LIGA"
"02.03.","18:15","Arena Sport 1","Košarka","Virtus - Milano","ITALIJANSKA LIGA"
"02.03.","18:30","Arena Sport 4","Fudbal","Mallorca - Alaves","ŠPANSKA LIGA"
"02.03.","18:30","Unknown Channel","Fudbal","Standard - Anderlecht","BELGIJSKA LIGA"
"02.03.","19:00","Arena 2 Premium","Košarka","Boston - Denver","NBA"
"02.03.","20:00","Arena 1 Premium","Košarka","Crvena Zvezda - Zadar","ABA LIGA"
"02.03.","20:00","Arena Sport 3","Košarka","Trapani - Varese","ITALIJANSKA LIGA"
"02.03.","20:00","Arena Sport 5","Košarka","Joker - Tamiš","KLS"
"02.03.","20:45","Arena 3 Premium","Fudbal","Milan - Lazio","ITALIJANSKA LIGA"
"02.03.","20:45","Arena Sport 1","Fudbal","Marseille - Nantes","FRANCUSKA LIGA"
"02.03.","21:00","Arena Sport 2","Fudbal","Osasuna - Valencia","ŠPANSKA LIGA"
"02.03.","21:30","Arena 2 Premium","Košarka","Cleveland - Portland","NBA"
"02.03.","21:30","Arena Sport 4","Hokej","Minnesota Wild	- Boston Bruins","NHL"
"02.03.","22:30","Arena Sport 3","Fudbal","Corinthians - Mirasol","PAULISTA"
"02.03.","23:15","Arena Sport 1","Fudbal","Velez - Huracan","ARGENTINSKA LIGA"
"03.03.","00:00","Arena 1 Premium","Košarka","Charlotte - Washington","NBA"
"03.03.","00:45","Arena 3 Premium","Fudbal","Santos - Bragantino","PAULISTA"
"03.03.","14:00","Arena 1 Premium","Fudbal","Jedinstvo - TSC","MOZZARTBET SUPERLIGA SRBIJE"
"03.03.","16:00","Arena Sport 3","Fudbal","Gloria - Arad","RUMUNSKA LIGA"
"03.03.","16:30","Arena 1 Premium","Fudbal","Novi Pazar - Napredak","MOZZARTBET SUPERLIGA SRBIJE"
"03.03.","18:30","Arena 1 Premium","Fudbal","Mladost - Železničar","MOZZARTBET SUPERLIGA SRBIJE"
"03.03.","19:00","Arena Sport 2","Košarka","Split - Borac","ABA LIGA"
"03.03.","19:00","Arena Sport 5","Fudbal","Rakow - Lechia Gdansk","POLJSKA LIGA"
"03.03.","19:00","Arena Sport 6","Fudbal","Dinamo - Hermannstadt","RUMUNSKA LIGA"
"03.03.","19:30","Arena Sport 3","Vaterpolo","Radnički - Jug AO","Regionalna vaterpolo liga"
"03.03.","20:00","Arena 3 Premium","Fudbal","Čukarički - Radnički 1923","MOZZARTBET SUPERLIGA SRBIJE"
"03.03.","20:30","Arena 1 Premium","Fudbal","Nottingham Forest - Ipswich","FA CUP"
"03.03.","20:30","Arena Sport 4","Fudbal","Mirandes - Tenerife","ŠPANSKA 2. LIGA"
"03.03.","20:45","Arena 2 Premium","Fudbal","Juventus - Verona","ITALIJANSKA LIGA"
