"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"24.11.","00:00","Arena 1 Premium","Košarka","Miami - Dallas","NBA"
"24.11.","00:30","Arena Sport 2","Auto moto","Live Stage 4","WRC RALLY JAPAN"
"24.11.","01:45","Arena 1 Premium","Fudbal","Huracan - Boca Juniors","ARGENTINSKA LIGA"
"24.11.","04:30","Arena 1 Premium","Košarka","LA Lakers - Denver","NBA"
"24.11.","06:00","Arena 3 Premium","Auto moto","Live Stage 5","WRC RALLY JAPAN"
"24.11.","08:00","Arena 2 Premium","Basket 3x3","Četvrtfinala, polufinala i finale","FIBA 3X3 WT HONG KONG FINAL"
"24.11.","12:00","Arena 3 Premium","Fudbal","Krylya Sovetov - Akhmat","RUSKA LIGA"
"24.11.","12:00","Arena Sport 7","Basket 3x3","Zimska liga, stage I","MTS 3X3 LEAGUE"
"24.11.","12:15","Arena Sport 2","Fudbal","Radomiak - Stal","POLJSKA LIGA"
"24.11.","12:30","Arena Sport 1","Fudbal","Genoa - Cagliari","ITALIJANSKA LIGA"
"24.11.","13:30","Arena Sport 6","Fudbal","Mechelen - Beerschot","BELGIJSKA LIGA"
"24.11.","14:00","Arena 1 Premium","Fudbal","Osasuna - Villarreal","ŠPANSKA LIGA"
"24.11.","14:30","Arena Sport 4","Fudbal","Fakel - Dinamo","RUSKA LIGA"
"24.11.","14:45","Arena Sport 5","Fudbal","Rakow - Korona","POLJSKA LIGA"
"24.11.","15:00","Arena 2 Premium","Fudbal","Southampton - Liverpool","ENGLESKA LIGA"
"24.11.","15:00","Arena Sport 1","Fudbal","Torino - Monza","ITALIJANSKA LIGA"
"24.11.","15:00","Arena Sport 2","Fudbal","Lille - Rennes","FRANCUSKA LIGA"
"24.11.","15:00","Arena Sport 3","Fudbal","Como - Fiorentina","ITALIJANSKA LIGA"
"24.11.","16:00","Arena Sport 6","Fudbal","Swansea - Leeds","CHAMPIONSHIP"
"24.11.","16:15","Arena 3 Premium","Fudbal","Sevilla - Rayo Vallecano","ŠPANSKA LIGA"
"24.11.","17:00","Arena Sport 1","Fudbal","Auxerre - Angers","FRANCUSKA LIGA"
"24.11.","17:00","Arena Sport 3","Fudbal","Nizhny Novgord - Dynamo","RUSKA LIGA"
"24.11.","17:00","Arena Sport 4","Fudbal","Nantes - Le Havre","FRANCUSKA LIGA"
"24.11.","17:30","Arena 2 Premium","Fudbal","Ipswich - Man. United","ENGLESKA LIGA"
"24.11.","17:30","Arena Sport 5","Fudbal","Gornik - Piast","POLJSKA LIGA"
"24.11.","18:00","Arena 1 Premium","Fudbal","Napoli - Roma","ITALIJANSKA LIGA"
"24.11.","18:30","Arena 3 Premium","Fudbal","Leganes - Real Madrid","ŠPANSKA LIGA"
"24.11.","18:30","Arena Sport 6","Fudbal","Anderlecht - Gent","BELGIJSKA LIGA"
"24.11.","19:00","Arena Sport 1","Američki fudbal","Chicago Bears - Minnesota Vikings","NFL"
"24.11.","19:00","Arena Sport 3","Američki fudbal","Red Zone","NFL"
"24.11.","20:30","Arena 1 Premium","Fudbal","Athletic - Real Sociedad","ŠPANSKA LIGA"
"24.11.","20:45","Arena 3 Premium","Fudbal","Lazio - Bologna","ITALIJANSKA LIGA"
"24.11.","20:45","Arena Sport 2","Fudbal","Nice - Strasbourg","FRANCUSKA LIGA"
"24.11.","21:00","Arena Sport 5","Fudbal","Elche - Oviedo","ŠPANSKA 2. LIGA"
"24.11.","21:30","Arena 2 Premium","Košarka","Boston - Minnesota","NBA"
"24.11.","22:25","Arena Sport 1","Američki fudbal","Green Bay Packers - San Francisco 49ers","NFL"
"25.11.","02:15","Arena 2 Premium","Američki fudbal","LA Rams - Philadelphia Eagles","NFL"
"25.11.","17:00","Arena Sport 2","Odbojka","Odinstovo - Dinamo Kazan","RUSKA LIGA Ž"
"25.11.","18:30","Arena 2 Premium","Fudbal","Empoli - Udinese","ITALIJANSKA LIGA"
"25.11.","19:00","Arena Sport 2","Fudbal","Puszcza - Widzew","POLJSKA LIGA"
"25.11.","20:45","Arena 2 Premium","Fudbal","Venezia - Lecce","ITALIJANSKA LIGA"
"25.11.","21:00","Arena 1 Premium","Fudbal","Newcastle - West Ham","ENGLESKA LIGA"
"25.11.","21:00","Arena Sport 1","Fudbal","Port Vale - Crewe Alexandra","LEAGUE 2"
"26.11.","01:30","Arena 1 Premium","Košarka","Atlanta - Dallas","NBA"
"26.11.","02:15","Arena 2 Premium","Američki fudbal","LA Chargers - Baltimore Ravens","NFL"
"26.11.","10:00","Arena 1 Premium","Mali fudbal","Novi Beograd","ARENINA LIGA ŠAMPIONA"
"26.11.","17:30","Arena Sport 5","Hokej","Dynamo Msk - Lokomotiv","KHL"
"26.11.","18:30","Arena Sport 2","Fudbal","CSKA - Rubin","RUSKI KUP"
"26.11.","18:45","Arena 3 Premium","Rukomet","Kiel - Vojvodina","LIGA EVROPE"
"26.11.","18:45","Arena Sport 4","Rukomet","Limoges - Benfica","LIGA EVROPE"
"26.11.","19:00","Arena Sport 6","Fudbal","Parla Escuela - Valencia","ŠPANSKI KUP"
"26.11.","20:00","Arena Sport 7","Odbojka","Levallois - Eczacibasi","LIGA ŠAMPIONA Ž"
"26.11.","20:45","Arena Sport 5","Rukomet","Vardar - Melsungen","LIGA EVROPE"
"26.11.","21:00","Arena Sport 6","Fudbal","Sunderland - WBA","CHAMPIONSHIP"
"27.11.","04:00","Arena 1 Premium","Košarka","Phoenix - LA Lakers","NBA"
"27.11.","10:00","Arena 1 Premium","Mali fudbal","Novi Beograd","ARENINA LIGA ŠAMPIONA"
"27.11.","13:00","Arena 1 Premium","Fudbal","Crvena zvezda - Stuttgart","UEFA YOUTH LEAGUE"
"27.11.","13:00","Arena 3 Premium","Odbojka","Lokomotiv - Zenit Kazan","RUSKA LIGA"
"27.11.","16:15","Arena 2 Premium","Fudbal","Akhmat - Zenit","RUSKI KUP"
"27.11.","16:30","Arena 3 Premium","Fudbal","Basaksehir - Petrocub","LIGA KONFERENCIJA"
"27.11.","18:30","Arena 3 Premium","Fudbal","Rostov - Spartak","RUSKI KUP"
"27.11.","19:00","Arena Sport 2","Fudbal","Levante - Malaga","ŠPANSKA 2. LIGA"
"27.11.","19:00","Arena Sport 6","Odbojka","TENT - Schwerin","LIGA ŠAMPIONA Ž"
"27.11.","21:00","Arena Sport 6","Fudbal","Derby County - Swansea","CHAMPIONSHIP"
"28.11.","01:30","Arena 1 Premium","Košarka","Dallas - New York","NBA"
"28.11.","16:30","Arena 1 Premium","Fudbal","Astana - Vitoria","LIGA KONFERENCIJA"
"28.11.","17:30","Arena Sport 4","Fudbal","Lokomotiv - Dinamo","RUSKI KUP"
"28.11.","17:30","Arena Sport 6","Odbojka","Vakifbank - Milano","LIGA ŠAMPIONA Ž"
"28.11.","18:00","Arena 3 Premium","Rukomet","Mađarska - Turska","EVROPSKO PRVENSTVO Ž"
"28.11.","18:30","Arena Sport 1","Američki fudbal","Detroit Lions - Chicago Bears","NFL"
"28.11.","18:45","Arena 1 Premium","Fudbal","St Gallen - TSC","LIGA KONFERENCIJA"
"28.11.","18:45","Arena 2 Premium","Fudbal","Heidenheim - Chelsea","LIGA KONFERENCIJA"
"28.11.","18:45","Arena Sport 3","Fudbal","Borac Banja Luka - LASK","LIGA KONFERENCIJA"
"28.11.","18:45","Arena Sport 5","Fudbal","Anderlecht - Porto","LIGA EVROPE"
"28.11.","18:45","Arena Sport 7","Fudbal","AZ - Galatasaray","LIGA EVROPE"
"28.11.","20:30","Arena Sport 2","Rukomet","Švedska - Severna Makedonija","EVROPSKO PRVENSTVO Ž"
"28.11.","20:30","Arena Sport 6","Rukomet","Norveška - Slovenija","EVROPSKO PRVENSTVO Ž"
"28.11.","21:00","Arena 1 Premium","Fudbal","Tottenham - Roma","LIGA EVROPE"
"28.11.","21:00","Arena 2 Premium","Fudbal","Man. United - Bodo Glimt","LIGA EVROPE"
"28.11.","21:00","Arena 3 Premium","Fudbal","Slavia - Fenerbahce","LIGA EVROPE"
"28.11.","21:00","Arena Sport 4","Fudbal","Real Sociedad - Ajax","LIGA EVROPE"
"28.11.","21:00","Arena Sport 5","Fudbal","Nice - Rangers","LIGA EVROPE"
"28.11.","22:30","Arena Sport 1","Američki fudbal","Dallas Cowboys - NY Giants","NFL"
"29.11.","15:30","Arena Sport 2","Košarka","BKK Radnički - Vojvodina","KLS"
"29.11.","17:00","Arena 3 Premium","Košarka","Pari NN - Zenit","VTB LIGA"
"29.11.","17:00","Arena Sport 1","Košarka","Krka - Mornar","ABA LIGA"
"29.11.","17:00","Arena Sport 3","Košarka","Manisa - Tofas","TURSKA LIGA"
"29.11.","18:00","Arena 2 Premium","Košarka","Charlotte - New York","NBA"
"29.11.","18:00","Arena Sport 2","Rukomet","Rumunija - Češka","EVROPSKO PRVENSTVO Ž"
"29.11.","18:00","Arena Sport 5","Rukomet","Holandija - Island","EVROPSKO PRVENSTVO Ž"
"29.11.","18:30","Arena Sport 4","Rukomet","Crvena zvezda - Dinamo Pančevo","SUPERLIGA"
"29.11.","19:00","Arena Sport 1","Košarka","FMP Soccer Bet - Dubai","ABA LIGA"
"29.11.","20:30","Arena 2 Premium","Košarka","Atlanta - Cleveland","NBA"
"29.11.","20:30","Arena 3 Premium","Rukomet","Crna Gora - Srbija","EVROPSKO PRVENSTVO Ž"
"29.11.","20:30","Arena Sport 5","Fudbal","Piast - Lech","POLJSKA LIGA"
"29.11.","20:45","Arena Sport 3","Fudbal","Cagliari - Verona","ITALIJANSKA LIGA"
"29.11.","20:45","Arena Sport 4","Fudbal","Reims - Lens","FRANCUSKA LIGA"
"29.11.","20:45","Arena Sport 6","Fudbal","Harrogate - Gainsborough","FA CUP"
"29.11.","21:00","Arena 1 Premium","Fudbal","Brighton - Southampton","ENGLESKA LIGA"
"29.11.","21:00","Arena Sport 1","Američki fudbal","Kansas City Chiefs - Las Vegas Raiders","NFL"
"29.11.","21:00","Arena Sport 2","Fudbal","Mallorca - Valencia","ŠPANSKA LIGA"
"30.11.","00:00","Arena 1 Premium","Košarka","Charlotte - Atlanta","NBA"
"30.11.","01:00","Arena 3 Premium","Fudbal","Estudiantes - River Plate","ARGENTINSKA LIGA"
"30.11.","01:30","Arena 1 Premium","Košarka","NBA 360","NBA"
"30.11.","12:00","Arena Sport 1","Fudbal","Akron - Orenburg","RUSKA LIGA"
"30.11.","12:30","Arena Sport 4","Fudbal","Wealdstone - Wycombe","FA CUP"
"30.11.","13:30","Arena Sport 3","Fudbal","Watford - QPR","CHAMPIONSHIP"
"30.11.","13:30","Arena Sport 5","Košarka","Onvo - Galatasaray","TURSKA LIGA"
"30.11.","14:00","Arena 3 Premium","Fudbal","Barcelona - Las Palmas","ŠPANSKA LIGA"
"30.11.","14:30","Arena Sport 1","Fudbal","CSKA - Rubin","RUSKA LIGA"
"30.11.","15:00","Arena Sport 4","Fudbal","Como - Monza","ITALIJANSKA LIGA"
"30.11.","16:00","Arena 2 Premium","Fudbal","Multiprenos","ENGLESKA LIGA"
