"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"23.02.","01:30","Arena Sport 1","Fudbal","San Martin - River Plate","ARGENTINSKA LIGA"
"23.02.","02:30","Arena 1 Premium","Košarka","Denver - LA Lakers","NBA"
"23.02.","08:15","Arena 2 Premium","Atletika","Maraton: Sevilla","Maraton - Sevillja"
"23.02.","12:00","Arena Sport 9","Basket 3x3","Beograd",""
"23.02.","12:15","Arena Sport 5","Fudbal","Lechia - Puszcza","POLJSKA LIGA"
"23.02.","12:30","Arena 1 Premium","Fudbal","Como - Napoli","ITALIJANSKA LIGA"
"23.02.","13:00","Arena Sport 1","Fudbal","St. Johnstone - Hearts","ŠKOTSKA LIGA"
"23.02.","13:30","Arena Sport 2","Fudbal","Club Brugge - Standard","BELGIJSKA LIGA"
"23.02.","14:00","Arena 3 Premium","Fudbal","Athletic - Valladolid","ŠPANSKA LIGA"
"23.02.","14:00","Arena Sport 3","Rukomet","Ludwigsburg - Odense","EHF LIGA ŠAMPIONA (Ž)"
"23.02.","14:45","Arena Sport 5","Fudbal","Cracovia - Jagiellonia","POLJSKA LIGA"
"23.02.","15:00","Arena 1 Premium","Fudbal","Newcastle - Nottingham Forest","ENGLESKA LIGA"
"23.02.","15:00","Arena 2 Premium","Fudbal","Hellas Verona - Fiorentina","ITALIJANSKA LIGA"
"23.02.","15:00","Arena Sport 1","Fudbal","Nantes - Lens","FRANCUSKA LIGA"
"23.02.","15:00","Arena Sport 7","Atletika","Prvenstvo Srbije u dvorani za seniore i seniorke - Dan 2","DVORANSKO PRVENSTVO SRBIJE"
"23.02.","16:00","Arena Sport 3","Rukomet","Buducnost - Rapid Bucuresti","EHF LIGA ŠAMPIONA (Ž)"
"23.02.","16:00","Arena Sport 8","Fudbal","Genk - Gent","BELGIJSKA LIGA"
"23.02.","16:00","Arena Sport 1x2","Odbojka","THY - Vakifbank","TURSKA LIGA Ž"
"23.02.","16:15","Arena 3 Premium","Fudbal","Real Madrid - Girona","ŠPANSKA LIGA"
"23.02.","16:30","Arena Sport 6","Odbojka","TENT - Železničar, finale","KUP SRBIJE (Ž)"
"23.02.","17:00","Arena 2 Premium","Fudbal","Mladost - Napredak","MOZZARTBET SUPERLIGA SRBIJE"
"23.02.","17:15","Arena Sport 2","Fudbal","Nice - Montpellier","FRANCUSKA LIGA"
"23.02.","17:15","Arena Sport 4","Fudbal","Le Havre - Toulouse","FRANCUSKA LIGA"
"23.02.","17:15","Arena Sport 5","Fudbal","Strasbourg - Brest","FRANCUSKA LIGA"
"23.02.","17:30","Arena 1 Premium","Fudbal","Manchester City - Liverpool","ENGLESKA LIGA"
"23.02.","18:00","Arena Sport 1","Fudbal","Empoli - Atalanta","ITALIJANSKA LIGA"
"23.02.","18:30","Arena 3 Premium","Fudbal","Getafe - Betis","ŠPANSKA LIGA"
"23.02.","18:30","Arena Sport 8","Fudbal","Anderlecht - Union SG","BELGIJSKA LIGA"
"23.02.","19:00","Arena 2 Premium","Košarka","Boston - New York","NBA"
"23.02.","19:00","Arena Sport 3","Odbojka","Radnički - Partizan, finale","KUP SRBIJE (M)"
"23.02.","19:00","Arena Sport 6","Hokej","Washington - Edmonton","NHL"
"23.02.","19:30","Arena Sport 4","Košarka","Sloga - Mladost","KLS"
"23.02.","19:45","Arena Sport 5","Fudbal","Borac - Posušje",""
"23.02.","20:00","Arena Sport 2","Fudbal","Jedinstvo - Čukarički","MOZZARTBET SUPERLIGA SRBIJE"
"23.02.","20:45","Arena 1 Premium","Fudbal","Cagliari - Juventus","ITALIJANSKA LIGA"
"23.02.","20:45","Arena 3 Premium","Fudbal","Lyon - PSG","FRANCUSKA LIGA"
"23.02.","21:00","Arena Sport 1","Fudbal","Real Sociedad - Leganes","ŠPANSKA LIGA"
"23.02.","21:30","Arena 2 Premium","Košarka","Golden State - Dallas","NBA"
"23.02.","22:00","Arena Sport 4","Fudbal","Huracan - San Lorenzo","ARGENTINSKA LIGA"
"23.02.","22:30","Arena Sport 2","Fudbal","Sao Bernardo - Sao Paolo","PAULISTA"
"23.02.","22:30","Arena Sport 3","Fudbal","Ponte Preta - Bragantino","PAULISTA"
"24.02.","13:00","Arena 3 Premium","Odbojka","Fenerbahce - Zeren","TURSKA LIGA Ž"
"24.02.","16:30","Arena 1 Premium","Fudbal","Novi Pazar - TSC","MOZZARTBET SUPERLIGA SRBIJE"
"24.02.","16:30","Arena Sport 10","Fudbal","Novi Pazar - TSC","MOZZARTBET SUPERLIGA SRBIJE"
"24.02.","18:30","Arena 1 Premium","Fudbal","Pregled 24. kola","MOZZARTBET SUPERLIGA SRBIJE"
"24.02.","19:00","Arena Sport 3","Fudbal","Motor - Katowice","POLJSKA LIGA"
"24.02.","19:00","Arena Sport 4","Fudbal","Farul - Rapid","RUMUNSKA LIGA"
"24.02.","20:00","Arena 1 Premium","Fudbal","Pregled 26. kola","ENGLESKA LIGA"
"24.02.","20:45","Arena 2 Premium","Fudbal","Roma - Monza","ITALIJANSKA LIGA"
"24.02.","21:00","Arena 1 Premium","Fudbal","Sevilla - Mallorca","ŠPANSKA LIGA"
"24.02.","21:00","Arena Sport 1","Fudbal","Sheffield United - Leeds","CHAMPIONSHIP"
"26.02.","04:00","Arena 1 Premium","Košarka","LA Lakers - Dallas","NBA"
"26.02.","10:00","Arena 2 Premium","Mali fudbal","Mali fudbal: Arenina Liga Šampiona Kup: Novi Beograd","ARENINA LIGA ŠAMPIONA"
"26.02.","12:30","Arena 1 Premium","Fudbal","Najava 25. kola","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","13:00","Arena 1 Premium","Fudbal","Spartak - Jedinstvo","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","13:00","Arena Sport 3","Fudbal","Famos - Borac","KUP BIH"
"26.02.","15:30","Arena Sport 1","Fudbal","Asteras Tripoli - Ofi  1/2","GRČKI KUP"
"26.02.","16:00","Arena 1 Premium","Fudbal","Železničar - Crvena Zvezda","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","16:00","Arena Sport 10","Fudbal","Železničar - Crvena Zvezda","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","17:30","Arena Sport 2","Odbojka","Zenit - Dinamo-LO","RUSKA LIGA"
"26.02.","18:00","Arena Sport 10","Fudbal","Partizan - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:05","Arena 1 Premium","Fudbal","Partizan - Mladost","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:30","Arena 2 Premium","Fudbal","Radnički - Vojvodina","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","18:45","Arena Sport 8","Rukomet","Aalborg - Zagreb","EHF LIGA ŠAMPIONA"
"26.02.","19:00","Arena Sport 1","Fudbal","Olympiacos - AEK","GRČKI KUP"
"26.02.","19:30","Arena 3 Premium","Fudbal","IMT - OFK Beograd","MOZZARTBET SUPERLIGA SRBIJE"
"26.02.","19:30","Arena Sport 9","Odbojka","BR Volleys - Luneburg","LIGA ŠAMPIONA"
"26.02.","20:00","Arena Sport 10","Vaterpolo","Barceloneta - Oradea","Liga šampiona"
"26.02.","20:00","Arena Sport 1x2","Vaterpolo","RN Savona - Ferencvarosi","Liga šampiona"
"26.02.","20:30","Arena 1 Premium","Fudbal","MULTIPRENOS","PREMIJER LIGA"
"26.02.","20:30","Arena 2 Premium","Fudbal","Nottingham Forest - Arsenal","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 2","Fudbal","Tottenham - Manchester City","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 4","Fudbal","Manchester United - Ipswich","ENGLESKA LIGA"
"26.02.","20:30","Arena Sport 5","Fudbal","Brentford - Everton","ENGLESKA LIGA"
"26.02.","20:45","Arena Sport 6","Fudbal","Leipzig - Wolfsburg","NEMAČKI KUP"
