Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
13.07.,01:00,Adrenalin,Moto Sport,Echopark,NASCAR CUP SERIES
13.07.,10:30,Arena Tenis,Tenis,"Centralni teren, dan 1",ATP 250 - Gstaad
13.07.,16:00,Arena Premium 5,Tenis,"Centralni teren, dan 1",ATP 250 - Umag
14.07.,02:00,Arena Premium 2,Bejzbol,Bejzbol: MLB: Home Run Derby,Major League Baseball
14.07.,10:30,Arena Tenis,Tenis,"Centralni teren, dan 2",ATP 250 - Gstaad
14.07.,16:00,Arena Premium 5,Tenis,"Centralni teren, dan 2",ATP 250 - Umag
14.07.,17:30,Arena Premium 3,Atletika,Gyulai Istvan Memorial,World Athletics Continental Tour
14.07.,19:00,Arena Premium 2,Fudbal,Gyor - Víkingur,UEFA LIGA ŠAMPIONA - Kvalifikacije
14.07.,21:00,Arena Premium 1,Fudbal,Polufinale: Francuska - Španija,FIFA SVETSKO PRVENSTVO
15.07.,01:30,Arena Premium 4,Bejzbol,Bejzbol: MLB: All Star,Major League Baseball
15.07.,10:30,Arena Tenis,Tenis,"Centralni teren, dan 3",ATP 250 - Gstaad
15.07.,12:20,Arena Premium 2,Odbojka,Japan - Italija,Liga Nacija
15.07.,16:00,Arena Premium 5,Tenis,"Centralni teren, dan 3",ATP 250 - Umag
15.07.,16:30,Arena Premium 2,Odbojka,Ukrajina - Iran,Liga Nacija
15.07.,20:00,Arena Premium 2,Odbojka,Srbija - Turska,Liga Nacija
15.07.,21:00,Arena Premium 1,Fudbal,Polufinale: Engleska - Argentina,FIFA SVETSKO PRVENSTVO
15.07.,23:00,Arena Premium 2,Odbojka,Francuska - Brazil,Liga Nacija
16.07.,08:30,Arena Premium 2,Odbojka,Belgija - Italija,Liga Nacija
16.07.,10:30,Arena Tenis,Tenis,"Centralni teren, dan 4",ATP 250 - Gstaad
16.07.,12:20,Arena Premium 2,Odbojka,Japan - Kanada,Liga Nacija
16.07.,16:00,Arena Premium 5,Tenis,"Centralni teren, dan 4",ATP 250 - Umag
16.07.,16:00,Arena Sport 8,Golf,THE 154TH OPEN - Dan 1,MAJORS
16.07.,16:30,Arena Premium 2,Odbojka,Iran - Nemačka,Liga Nacija
16.07.,20:00,Arena Premium 1,Odbojka,Srbija - Ukrajina,Liga Nacija
16.07.,20:15,Arena Premium 2,Fudbal,Ferencvaros - Vojvodina,UEFA LIGA EVROPE - Kvalifikacije
17.07.,00:30,Arena Premium 1,Fudbal,Botafogo - Santos,BRAZILSKA LIGA
17.07.,03:00,Arena Premium 1,Odbojka,SAD - Brazil,Liga Nacija
17.07.,10:30,Arena Tenis,Tenis,"Centralni teren, dan 5",ATP 250 - Gstaad
17.07.,12:20,Arena Premium 2,Odbojka,Japan - Belgija,Liga Nacija
17.07.,13:30,Adrenalin,Moto Sport,Belgija: Trening 1,FORMULA 1
17.07.,14:45,Arena 1X2,Odbojka na pesku,"Četvrtfinale 1, žene",Nations Cup
17.07.,15:00,Adrenalin,Moto Sport,Belgija: Kvalifikacije,FORMULA 3
