"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"23.11.","00:00","Arena Premium 4","Fudbal","Velez - Argentinos Jrs.","ARGENTINSKA LIGA"
"23.11.","01:30","Arena Premium 2","Fudbal","Palmeiras - Fluminense","BRAZILSKA LIGA"
"23.11.","05:00","Adrenalin","Moto Sport","Las Vegas: Trka","FORMULA 1"
"23.11.","11:00","Arena Premium 2","Košarka","Petkim Spor - Merkezefendi","TURSKA LIGA"
"23.11.","11:00","Arena Premium 4","Fudbal","Krylya Sovetov - Rostov","RUSKA LIGA"
"23.11.","12:00","Arena Premium 1","Košarka","Mega - Budućnost","ABA LIGA"
"23.11.","12:00","Arena Premium 3","Fudbal","PAOK - Kifisia","GRČKA LIGA"
"23.11.","12:00","Arena Sport 6","Fudbal","Copenhagen - Brondby","DANSKA LIGA"
"23.11.","12:00","Arena Sport 10","Košarka","Mega - Budućnost","ABA LIGA"
"23.11.","12:15","Arena Sport 5","Fudbal","Herenveen - AZ Alkmaar","HOLANDSKA LIGA"
"23.11.","12:30","Arena Premium 5","Fudbal","Verona - Parma","ITALIJANSKA LIGA"
"23.11.","13:00","Arena Premium 2","Fudbal","Sheffield Wed - Sheffield Utd","CHAMPIONSHIP"
"23.11.","13:15","Arena Sport 2","Fudbal","Nizhny Novgorod - Zenit","RUSKA LIGA"
"23.11.","13:30","Arena Sport 1","Fudbal","Nurnberg - Armenia Bielefeld","NEMAČKA 2. LIGA"
"23.11.","13:30","Arena Sport 3","Košarka","Galatasaray - Erokspor","TURSKA LIGA"
"23.11.","13:30","Arena Sport 4","Fudbal","Kaiserslautern - Kiel","NEMAČKA 2. LIGA"
"23.11.","14:00","Arena Premium 3","Fudbal","Oviedo - Rayo Vallecano","ŠPANSKA LIGA"
"23.11.","14:30","Arena Premium 5","Košarka","CSKA - Zenit","VTB LIGA"
"23.11.","14:30","Arena Sport 6","Fudbal","Sturm - LASK","AUSTRIJSKA LIGA"
"23.11.","14:30","Arena Sport 8","Fudbal","Feynoord - NEC","HOLANDSKA LIGA"
"23.11.","15:00","Arena Premium 2","Fudbal","Leeds - Aston Villa","ENGLESKA LIGA"
"23.11.","15:00","Arena Premium 4","Fudbal","Cremonese - Roma","ITALIJANSKA LIGA"
"23.11.","15:00","Arena Tenis","Tenis","Finale","DAVIS CUP"
"23.11.","15:00","Arena Sport 5","Košarka","PAOK - Olympiacos","GRČKA LIGA"
"23.11.","15:00","Arena Sport 7","Rukomet","RNL - Fuchse Berlin","BUNDESLIGA"
"23.11.","15:00","Arena Sport 9","Fudbal","Besiktas - Samsunspor","TURSKA LIGA"
"23.11.","15:00","Arena 1X2","Fudbal","Auxerre - Lyon","FRANCUSKA LIGA"
"23.11.","15:30","Arena Sport 1","Fudbal","Leipzig - Werder Bremen","NEMAČKA LIGA"
"23.11.","16:00","Arena Sport 2","Košarka","Trieste - Milano","ITALIJANSKA LIGA"
"23.11.","16:00","Arena Sport 3","Fudbal","Aberdeen - Hearts","ŠKOTSKA LIGA"
"23.11.","16:00","Arena Sport 4","Košarka","Tofas - Efes","TURSKA LIGA"
"23.11.","16:15","Arena Premium 3","Fudbal","Betis - Girona","ŠPANSKA LIGA"
"23.11.","16:30","Arena Sport 6","Košarka","Ulm - Bayern","NEMAČKA LIGA"
"23.11.","17:00","Arena Premium 4","Košarka","Spartak - Cedevita Olimpija","ABA LIGA"
"23.11.","17:00","Arena Sport 5","Fudbal","Rapid - GAK","AUSTRIJSKA LIGA"
"23.11.","17:15","Arena Sport 7","Fudbal","Toulouse - Angers","FRANCUSKA LIGA"
"23.11.","17:15","Arena 1X2","Fudbal","Nantes - Lorient","FRANCUSKA LIGA"
"23.11.","17:30","Arena Premium 2","Fudbal","Arsenal - Tottenham","ENGLESKA LIGA"
"23.11.","17:30","Arena Sport 1","Fudbal","St. Pauli - Union Berlin","NEMAČKA LIGA"
"23.11.","17:45","Arena Sport 8","Fudbal","Lokomotiv - Krasnodar","RUSKA LIGA"
"23.11.","18:00","Arena Premium 1","Košarka","Vienna - Crvena zvezda","ABA LIGA"
"23.11.","18:00","Arena Sport 3","Fudbal","Lazio - Lecce","ITALIJANSKA LIGA"
"23.11.","18:00","Arena Sport 4","Odbojka","Trentino - Perugia","ITALIJANSKA LIGA"
"23.11.","18:00","Arena Sport 10","Basket 3x3","BG League - Novi Beograd","BG League"
"23.11.","18:00","Adrenalin","Boks","Loznica","Memorijalni Bokserski Turnir"
"23.11.","18:30","Arena Premium 3","Fudbal","Getafe - Atletico","ŠPANSKA LIGA"
"23.11.","18:30","Arena Sport 6","Košarka","Fenerbahce - Bursaspor","TURSKA LIGA"
"23.11.","19:00","Arena Premium 4","Košarka","Philadelphia - Miami","NBA"
"23.11.","19:00","Arena Premium 5","Američki fudbal","Kansas City Chiefs - Indianapolis Colts","NFL"
"23.11.","19:00","Arena Sport 2","Košarka","Gran Canaria - Barcelona","ŠPANSKA LIGA"
"23.11.","19:00","Arena Sport 5","Košarka","Cantu - Virtus Bologna","ITALIJANSKA LIGA"
"23.11.","19:15","Arena Sport 7","Fudbal","Fredrikstad - Viking","NORVEŠKA LIGA"
"23.11.","19:15","Arena 1X2","Američki fudbal","Redzone Week 12","NFL"
"23.11.","20:00","Arena Premium 1","Košarka","Partizan - SC Derby","ABA LIGA"
"23.11.","20:00","Arena Sport 1","Fudbal","AEK - Aris","GRČKA LIGA"
"23.11.","20:00","Arena Sport 4","Vaterpolo","Primorac - Novi Beograd","Regionalna vaterpolo liga"
"23.11.","20:45","Arena Premium 2","Fudbal","Inter - Milan","ITALIJANSKA LIGA"
"23.11.","20:45","Arena Sport 3","Fudbal","Lille - Paris","FRANCUSKA LIGA"
"23.11.","21:00","Arena Premium 3","Fudbal","Elche - Real Madrid","ŠPANSKA LIGA"
"23.11.","21:00","Arena Sport 2","Fudbal","Malaga - Mirandes","ŠPANSKA 2. LIGA"
"23.11.","21:30","Arena Premium 4","Fudbal","Rosario Central - Estudiantes","ARGENTINSKA LIGA"
"23.11.","22:25","Arena Premium 5","Američki fudbal","Dallas Cowboys - Philadelphia Eagles","NFL"
"24.11.","00:00","Arena Premium 1","Fudbal","Boca Juniors - Talleres","ARGENTINSKA LIGA"
"24.11.","00:30","Arena Premium 2","Fudbal","Cruzeiro - Corinthians","BRAZILSKA LIGA"
"24.11.","02:20","Arena Premium 1","Američki fudbal","Los Angeles Rams - Tampa Bay Buccaneers","NFL"
"24.11.","17:00","Arena Premium 5","Odbojka","Proton - Korabelka","RUSKA LIGA (Ž)"
"24.11.","17:30","Arena Sport 2","Hokej","CSKA - SKA","KHL"
"24.11.","18:00","Arena Premium 4","Fudbal","Basaksehir - Trabzonspor","TURSKA LIGA"
"24.11.","18:30","Arena Premium 3","Fudbal","Torino - Como","ITALIJANSKA LIGA"
"24.11.","19:00","Arena Premium 2","Košarka","Borac - Igokea","ABA LIGA"
"24.11.","20:30","Arena Premium 5","Fudbal","Real Sociedad B - Valladolid","ŠPANSKA 2. LIGA"
"24.11.","20:45","Arena Premium 3","Fudbal","Sassuolo - Pisa","ITALIJANSKA LIGA"
"24.11.","20:45","Arena Premium 4","Fudbal","Reims - Montpellier","FRANCUSKA 2. LIGA"
"24.11.","21:00","Arena Premium 1","Fudbal","Manchester United - Everton","ENGLESKA LIGA"
"24.11.","21:00","Arena Premium 2","Fudbal","Espanyol - Sevilla","ŠPANSKA LIGA"
"24.11.","23:00","Arena Premium 3","Fudbal","Mirassol - Ceara","BRAZILSKA LIGA"
"24.11.","23:15","Arena Premium 1","Fudbal","Racing - River Plate","ARGENTINSKA LIGA"
"25.11.","01:30","Arena Premium 1","Košarka","Miami - Dallas","NBA"
"25.11.","02:15","Arena Premium 2","Američki fudbal","San Francisco 49ers - Carolina Panthers","NFL"
"25.11.","10:00","Arena Premium 1","Mali fudbal","Novi Beograd","ARENINA LIGA ŠAMPIONA"
"25.11.","17:00","Arena Premium 1","Košarka","Dubai - Paris","EVROLIGA"
"25.11.","17:00","Arena Sport 4","Odbojka","Fenerbahce - Benfica","LIGA ŠAMPIONA Ž"
"25.11.","17:00","Arena Sport 5","Odbojka","Dinamo Moskva - Lokomotiv","RUSKA LIGA"
"25.11.","18:45","Arena Premium 2","Fudbal","Ajax - Benfica","UEFA LIGA ŠAMPIONA"
"25.11.","18:45","Arena Premium 5","Košarka","Fenerbahce - Virtus Bologna","EVROLIGA"
"25.11.","18:45","Arena Sport 1","Fudbal","Galatasaray - Union SG","UEFA LIGA ŠAMPIONA"
"25.11.","18:45","Arena Sport 2","Rukomet","Partizan - Nexe","EHF LIGA EVROPE"
"25.11.","18:45","Arena Sport 3","Rukomet","Baia Mare - Slovan","EHF LIGA EVROPE"
