Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
13.09.,21:00,Arena Premium 4,Odbojka,Italija - Slovačka,EVROPSKO PRVENSTVO (M)
13.09.,21:00,Adrenalin,Moto Sport,Illinois,NASCAR CUP SERIES
13.09.,21:15,Arena Sport 1,Basket 3x3,Finale,FIBA 3x3 Europe Cup Ž
13.09.,21:45,Arena Sport 1,Basket 3x3,Finale,FIBA 3x3 Europe Cup
13.09.,22:25,Arena Premium 5,Američki fudbal,Minnesota Vikings - Green Bay Packers,NFL
14.09.,00:15,Arena Sport 1,Fudbal,Independiente - San Lorenzo,ARGENTINSKA LIGA
14.09.,02:20,Arena Premium 1,Američki fudbal,New York Giants - Dallas Cowboys,NFL
14.09.,02:30,Arena Premium 2,Fudbal,Huracan - Racing,ARGENTINSKA LIGA
14.09.,11:00,Arena Premium 1,Mali fudbal,Niš,ARENINA LIGA ŠAMPIONA
14.09.,15:00,Arena Premium 4,Odbojka,Ukrajina - Portugal,EVROPSKO PRVENSTVO (M)
14.09.,16:00,Arena Premium 1,Odbojka,Srbija - Holandija,EVROPSKO PRVENSTVO (M)
14.09.,16:00,Arena Sport 10,Fudbal,Radnički 1923 - Spartak,SUPERLIGA Ž
14.09.,18:00,Arena Premium 4,Odbojka,Bugarska - Izrael,EVROPSKO PRVENSTVO (M)
14.09.,18:30,Arena Premium 1,Fudbal,Torino - Roma,ITALIJANSKA LIGA
14.09.,18:30,Arena Premium 2,Fudbal,Como - Parma,ITALIJANSKA LIGA
14.09.,19:00,Arena Sport 1,Fudbal,Gaziantep - Fenerbahce,TURSKA LIGA
14.09.,19:00,Arena 1X2,Fudbal,Midtjylland - Brondby,DANSKA LIGA
14.09.,20:45,Arena Premium 2,Fudbal,Inter - Udinese,ITALIJANSKA LIGA
14.09.,20:45,Arena Premium 5,Fudbal,Red Star - Metz,FRANCUSKA 2. LIGA
14.09.,21:00,Arena Premium 1,Fudbal,Leeds - Newcastle,ENGLESKA LIGA
14.09.,21:00,Arena Premium 3,Fudbal,Villarreal - Betis,ŠPANSKA LIGA
14.09.,21:00,Arena Premium 4,Odbojka,Slovenija - Grčka,EVROPSKO PRVENSTVO (M)
15.09.,02:15,Arena Premium 1,Američki fudbal,Kansas City Chiefs - Denver Broncos,NFL
15.09.,10:00,Arena Premium 1,Mali fudbal,Novi Beograd,ARENINA LIGA ŠAMPIONA
15.09.,11:45,Arena Premium 2,Basket 3x3,Srbija - Kazahstan,FIBA 3x3 U23 World Cup
15.09.,15:10,Arena Premium 2,Basket 3x3,Tonga - Srbija,FIBA 3x3 U23 World Cup
15.09.,16:00,Arena Premium 2,Odbojka,Grčka - Švedska,EVROPSKO PRVENSTVO (M)
15.09.,18:00,Arena Premium 2,Odbojka,Poljska - Ukrajina,EVROPSKO PRVENSTVO (M)
15.09.,18:00,Arena Premium 3,Fudbal,Genoa - Sudtirol,ITALIJANSKI KUP
15.09.,18:00,Arena Premium 4,Fudbal,Rakow - Zaglebie,POLJSKA LIGA
15.09.,19:00,Arena Premium 1,Fudbal,Rayo Vallecano - Espanyol,ŠPANSKA LIGA
15.09.,19:00,Arena Sport 1,Odbojka,Francuska - Nemačka,EVROPSKO PRVENSTVO (M)
15.09.,20:00,Arena Premium 5,Fudbal,Alaves - Valencia,ŠPANSKA LIGA
15.09.,20:00,Arena Sport 3,Fudbal,Ajax - Willem II,HOLANDSKA LIGA
15.09.,20:45,Arena Premium 4,Fudbal,West Ham - Fulham,ENGLESKI LIGA KUP
15.09.,21:00,Arena Premium 2,Fudbal,Liverpool - Tottenham,ENGLESKI LIGA KUP
15.09.,21:00,Arena Premium 3,Fudbal,Ipswich - Arsenal,ENGLESKI LIGA KUP
15.09.,21:00,Arena Sport 1,Odbojka,Češka - Italija,EVROPSKO PRVENSTVO (M)
15.09.,21:00,Arena Sport 2,Fudbal,Fiorentina - Pisa,ITALIJANSKI KUP
15.09.,21:00,Arena 1X2,Fudbal,Reading - Brentford,ENGLESKI LIGA KUP
15.09.,21:30,Arena Premium 1,Fudbal,Elche - Real Madrid,ŠPANSKA LIGA
16.09.,00:00,Arena Premium 1,Fudbal,Platense - Fluminense,COPA LIBERTADORES
16.09.,00:00,Arena Premium 2,Fudbal,Vasco da Gama - Independiente Santa Fe,COPA SUDAMERICANA
16.09.,02:30,Arena Premium 1,Fudbal,Sao Paulo - Boca Juniors,COPA SUDAMERICANA
16.09.,10:00,Arena Premium 1,Mali fudbal,Novi Beograd,ARENINA LIGA ŠAMPIONA
16.09.,16:00,Arena Premium 1,Odbojka,Danska - Srbija,EVROPSKO PRVENSTVO (M)
16.09.,16:00,Arena Premium 2,Odbojka,Turska - Letonija,EVROPSKO PRVENSTVO (M)
16.09.,17:30,Arena Premium 5,Fudbal,Spartak - Fakel,RUSKA LIGA
16.09.,18:00,Arena Sport 3,Odbojka,Poljska - Bugarska,EVROPSKO PRVENSTVO (M)
16.09.,18:00,Arena Sport 9,Rukomet,Temerin - Napredak-12,SUPERLIGA SRBIJE Ž
16.09.,18:45,Arena Premium 1,Fudbal,Omonia - Celta,UEFA LIGA EVROPE
16.09.,18:45,Arena Premium 4,Fudbal,Ararat - Sparta,UEFA LIGA EVROPE
16.09.,18:45,Arena Sport 2,Rukomet,Vardar - Nantes,EHF LIGA ŠAMPIONA
16.09.,19:00,Arena Premium 2,Fudbal,Atletico Madrid - Osasuna,ŠPANSKA LIGA
16.09.,19:00,Arena Premium 3,Fudbal,Deportivo - Sevilla,ŠPANSKA LIGA
16.09.,19:00,Arena Sport 1,Fudbal,Lugano - St. Gallen,ŠVAJCARSKA LIGA
16.09.,19:00,Arena Sport 4,Odbojka,Češka - Slovenija,EVROPSKO PRVENSTVO (M)
16.09.,19:45,Arena Sport 9,Fudbal,Baltika - Zenit,RUSKA LIGA
16.09.,20:45,Arena Premium 5,Fudbal,Everton - Wolverhampton,ENGLESKI LIGA KUP
16.09.,20:45,Arena Sport 2,Rukomet,Fuchse Berlin - Vezsprem,EHF LIGA ŠAMPIONA
16.09.,21:00,Arena Premium 1,Fudbal,Milan - Benfica,UEFA LIGA EVROPE
16.09.,21:00,Arena Premium 4,Fudbal,Manchester United - Brighton,ENGLESKI LIGA KUP
16.09.,21:00,Arena Sport 1,Fudbal,Coventry - Aston Villa,ENGLESKI LIGA KUP
16.09.,21:00,Arena Sport 3,Fudbal,Anderlecht - Lyon,UEFA LIGA EVROPE
16.09.,21:00,Arena Sport 4,Fudbal,Sunderland - AZ Alkmaar,UEFA LIGA EVROPE
16.09.,21:00,Arena Sport 5,Fudbal,Olympiacos - Jagiellonia,UEFA LIGA EVROPE
16.09.,21:00,Arena Sport 6,Fudbal,Sturm - Rennes,UEFA LIGA EVROPE
16.09.,21:00,Arena Sport 7,Fudbal,Leverkusen - Celje,UEFA LIGA EVROPE
16.09.,21:00,Arena Sport 8,Fudbal,Hapoel Beer-Sheva - Dinamo,UEFA LIGA EVROPE
16.09.,21:00,Arena 1X2,Fudbal,Multiprenos,UEFA LIGA EVROPE
16.09.,21:30,Arena Premium 2,Fudbal,Barcelona - Racing,ŠPANSKA LIGA
16.09.,21:30,Arena Premium 3,Fudbal,Levante - Athletic Bilbao,ŠPANSKA LIGA
17.09.,00:00,Arena Premium 1,Fudbal,Atletico Mineiro - Santos,COPA SUDAMERICANA
17.09.,00:00,Arena Premium 2,Fudbal,Quito - Palmeiras,COPA LIBERTADORES
17.09.,00:40,Arena Premium 4,Bejzbol,Los Angeles Dodgers - Cincinnati Reds,Major League Baseball
17.09.,02:30,Arena Premium 1,Fudbal,Corinthians - Estudiantes,COPA LIBERTADORES
17.09.,09:25,Arena Premium 2,Basket 3x3,Srbija - Nemačka,FIBA 3x3 U23 World Cup
17.09.,10:00,Arena Premium 1,Mali fudbal,Stari Grad,ARENINA LIGA ŠAMPIONA
17.09.,11:55,Arena Premium 2,Basket 3x3,Holandija - Srbija,FIBA 3x3 U23 World Cup
17.09.,15:15,Arena Premium 2,Fudbal,Orenburg - Krasnodar,RUSKA LIGA
17.09.,16:00,Arena Premium 1,Odbojka,Srbija - Belgija,EVROPSKO PRVENSTVO (M)
17.09.,16:00,Arena Premium 3,Košarka,UNICS - Zenit,VTB SUPERCUP
17.09.,17:30,Arena Premium 4,Fudbal,Rostov - Dinamo,RUSKA LIGA
17.09.,18:45,Arena Premium 2,Fudbal,Levski - Salzburg,UEFA LIGA EVROPE
17.09.,18:45,Arena Premium 3,Rukomet,Celje - Aalborg,EHF LIGA ŠAMPIONA
17.09.,18:45,Arena Sport 1,Fudbal,OFI - Hoffenheim,UEFA LIGA EVROPE
17.09.,19:00,Arena Premium 5,Fudbal,Betis - Getafe,ŠPANSKA LIGA
17.09.,19:00,Arena Sport 2,Rukomet,Goppingen - RNL,BUNDESLIGA
17.09.,19:00,Arena Sport 3,Košarka,CSKA - Igokea,VTB SUPERCUP
17.09.,19:00,Arena Sport 5,Pikado,Prva runda,Amsterdam Darts Master Final
17.09.,19:00,Arena Sport 6,Odbojka,Finska - Estonija,EVROPSKO PRVENSTVO (M)
17.09.,19:45,Arena Sport 9,Fudbal,Dinamo Makhachkala - CSKA,RUSKA LIGA
17.09.,20:30,Arena Premium 4,Fudbal,Manchester CIty - Norwich,ENGLESKI LIGA KUP
17.09.,20:45,Arena Premium 3,Rukomet,Porto - Partizan,EHF LIGA ŠAMPIONA
17.09.,21:00,Arena Premium 2,Fudbal,Besiktas - Marseille,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 1,Fudbal,Juventus - NEC,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 2,Fudbal,Celtic - Ferencvaros,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 3,Fudbal,Real Sociedad - Bournemouth,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 4,Fudbal,Crystal Palace - Lech,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 6,Odbojka,Italija - Slovenija,EVROPSKO PRVENSTVO (M)
17.09.,21:00,Arena Sport 7,Fudbal,Viktoria Plzen - Union SG,UEFA LIGA EVROPE
17.09.,21:00,Arena Sport 8,Fudbal,Lillestrom - Torreense,UEFA LIGA EVROPE
17.09.,21:00,Arena 1X2,Fudbal,Multiprenos,UEFA LIGA EVROPE
17.09.,21:30,Arena Premium 5,Fudbal,Malaga - Villarreal,ŠPANSKA LIGA
17.09.,22:00,Arena Tenis,Tenis,Četvrtfinale 1,WTA 500 - Guadalajara
17.09.,22:30,Arena Premium 3,Američki fudbal,NFL Arena,NFL
18.09.,00:00,Arena Tenis,Tenis,Četvrtfinale 2,WTA 500 - Guadalajara
18.09.,02:00,Arena Tenis,Tenis,Četvrtfinale 3,WTA 500 - Guadalajara
18.09.,02:15,Arena Premium 1,Američki fudbal,Buffallo Bills - Detroit Lions,NFL
18.09.,02:30,Arena Premium 2,Fudbal,Flamengo - Independiente del Valle,COPA LIBERTADORES
18.09.,02:30,Arena Premium 4,Fudbal,Montevideo City - Cienciano,COPA SUDAMERICANA
18.09.,04:00,Arena Tenis,Tenis,Četvrtfinale 4,WTA 500 - Guadalajara
18.09.,09:00,Adrenalin,Moto Sport,Austrija: Slobodan Trening 1,MOTO 3
18.09.,09:50,Adrenalin,Moto Sport,Austrija: Slobodan Trening 1,MOTO 2
18.09.,10:00,Arena Premium 1,Mali fudbal,Surčin,ARENINA LIGA ŠAMPIONA
18.09.,10:45,Adrenalin,Moto Sport,Austrija: Slobodan Trening 1,MOTO GP
18.09.,13:00,Arena Sport 8,Golf,"BMW PGA CHAMPIONSHIP, dan 2",DP WORLD TOUR
18.09.,13:15,Adrenalin,Moto Sport,Austrija: Trening,MOTO 3
18.09.,14:05,Adrenalin,Moto Sport,Austrija: Trening,MOTO 2
18.09.,15:00,Adrenalin,Moto Sport,Austrija: Trening,MOTO GP
18.09.,16:00,Arena Sport 1,Košarka,Zenit - Anadolu Efes,VTB SUPERCUP
18.09.,16:00,Arena Sport 10,Basket 3x3,Bor,Moje pravo da biram sport – Sport pobeđuje
18.09.,18:00,Arena 1X2,Fudbal,Widzew - Wieczysta,POLJSKA LIGA
18.09.,18:30,Arena Premium 2,Fudbal,Wolfsburg - Darmstadt,NEMAČKA 2. LIGA
18.09.,18:30,Arena Premium 3,Fudbal,Greuter Furth - Magdeburg,NEMAČKA 2. LIGA
18.09.,19:00,Arena Premium 1,Košarka,Crvena zvezda - Aris,PRIJATELJSKA UTAKMICA
18.09.,19:00,Arena Sport 1,Košarka,CSKA - Lokomotiv,VTB SUPERCUP
18.09.,19:00,Arena Sport 5,Pikado,Prva runda,Amsterdam Darts Master Final
18.09.,19:30,Arena Sport 4,Fudbal,Rapid - Tirol,AUSTRIJSKA LIGA
18.09.,20:00,Arena Sport 3,Rukomet,Eisenach - Kiel,BUNDESLIGA
18.09.,20:00,Arena 1X2,Fudbal,Reims - Montpellier,FRANCUSKA 2. LIGA
18.09.,20:30,Arena Premium 3,Fudbal,Bayern - Union Berlin,NEMAČKA LIGA
18.09.,20:30,Arena Sport 2,Fudbal,Wisla Krakow - Slask,POLJSKA LIGA
18.09.,20:45,Arena Premium 2,Fudbal,Monaco - Lens,FRANCUSKA LIGA
18.09.,20:45,Arena Premium 5,Fudbal,Monza - Sassuolo,ITALIJANSKA LIGA
18.09.,21:00,Arena Premium 1,Fudbal,Brentford - Chelsea,ENGLESKA LIGA
18.09.,21:00,Arena Premium 4,Fudbal,Espanyol - Elche,ŠPANSKA LIGA
18.09.,21:00,Arena Sport 1,Fudbal,Bristol - Watford,CHAMPIONSHIP
18.09.,23:00,Arena Tenis,Tenis,Polufinale 1,WTA 500 - Guadalajara
19.09.,02:00,Arena Tenis,Tenis,Polufinale 2,WTA 500 - Guadalajara
19.09.,02:15,Arena Premium 2,Fudbal,Racing - Sarmiento,ARGENTINSKA LIGA
19.09.,08:40,Adrenalin,Moto Sport,Austrija: Slobodan Trening 2,MOTO 3
19.09.,09:25,Adrenalin,Moto Sport,Austrija: Slobodan Trening 2,MOTO 2
19.09.,10:10,Adrenalin,Moto Sport,Austrija: Slobodan Trening 2,MOTO GP
19.09.,10:50,Adrenalin,Moto Sport,Austrija: Kvalifikacije 1,MOTO GP
19.09.,11:15,Adrenalin,Moto Sport,Austrija: Kvalifikacije 2,MOTO GP
19.09.,12:00,Arena Sport 10,Fudbal,5. kolo,SUPERLIGA Ž
19.09.,12:45,Adrenalin,Moto Sport,Austrija: Kvalifikacije 1,MOTO 3
19.09.,13:00,Arena Premium 3,Fudbal,Wolverhampton - WBA,CHAMPIONSHIP
19.09.,13:00,Arena Premium 5,Fudbal,Karlsruhe - Nurnberg,NEMAČKA 2. LIGA
19.09.,13:00,Arena Sport 1,Fudbal,Dresden - Hertha,NEMAČKA 2. LIGA
19.09.,13:00,Arena Sport 2,Fudbal,Kiel - Osnabruck,NEMAČKA 2. LIGA
19.09.,13:00,Arena Sport 3,Fudbal,Kaiserslautern - E. Branusnschweig,NEMAČKA 2. LIGA
19.09.,13:00,Arena Sport 5,Pikado,"Druga runda, prepodnevna sesija",Amsterdam Darts Master Final
19.09.,13:00,Arena Sport 8,Golf,"BMW PGA CHAMPIONSHIP, dan 3",DP WORLD TOUR
19.09.,13:10,Adrenalin,Moto Sport,Austrija: Kvalifikacije 2,MOTO 3
19.09.,13:30,Arena Premium 1,Fudbal,Millwall - West Ham,CHAMPIONSHIP
19.09.,13:30,Arena Premium 2,Fudbal,Tottenham - Aston Villa,ENGLESKA LIGA
19.09.,13:40,Adrenalin,Moto Sport,Austrija: Kvalifikacije 1,MOTO 2
19.09.,14:00,Arena Premium 4,Fudbal,Osasuna - Rayo Vallecano,ŠPANSKA LIGA
19.09.,14:05,Adrenalin,Moto Sport,Austrija: Kvalifikacije 2,MOTO 2
19.09.,15:00,Arena Sport 1,Fudbal,Bologna - Torino,ITALIJANSKA LIGA
19.09.,15:00,Arena Sport 2,Fudbal,Udinese - Cagliari,ITALIJANSKA LIGA
19.09.,15:00,Adrenalin,Moto Sport,Austrija: Sprint,MOTO GP
19.09.,15:30,Arena Premium 5,Fudbal,Multiprenos,NEMAČKA LIGA
19.09.,15:30,Arena Sport 3,Fudbal,Frankfurt - Freiburg,NEMAČKA LIGA
19.09.,15:30,Arena Sport 4,Fudbal,B. Monchengladbach - Mainz,NEMAČKA LIGA
19.09.,15:30,Arena Sport 9,Fudbal,HSV - Koln,NEMAČKA LIGA
19.09.,16:00,Arena Premium 1,Fudbal,Brighton - Arsenal,ENGLESKA LIGA
19.09.,16:00,Arena Premium 2,Fudbal,Newcastle - Hull,ENGLESKA LIGA
19.09.,16:00,Arena Premium 3,Fudbal,Everton - Ipswich,ENGLESKA LIGA
19.09.,16:00,Arena Sport 6,Košarka,Roanne - Asvel,FRANCUSKI SUPERKUP
19.09.,16:00,Arena Sport 7,Rukomet,Budućnost - Brest,EHF LIGA ŠAMPIONA (Ž)
19.09.,16:15,Arena Premium 4,Fudbal,Athletic Bilbao - Alaves,ŠPANSKA LIGA
19.09.,17:15,Arena Sport 2,Fudbal,Paris - Strasbourg,FRANCUSKA LIGA
19.09.,18:00,Arena Premium 2,Fudbal,Roma - Inter,ITALIJANSKA LIGA
19.09.,18:00,Arena Premium 3,Košarka,"Joventut - Baskonia, SF2",ŠPANSKI SUPERKUP
19.09.,18:00,Arena Sport 7,Rukomet,Podravka - Metz,EHF LIGA ŠAMPIONA (Ž)
19.09.,18:00,Arena 1X2,Rukomet,Krim - Esbjerg,EHF LIGA ŠAMPIONA (Ž)
19.09.,18:30,Arena Premium 4,Fudbal,Nottingham Forest - Coventry,ENGLESKA LIGA
19.09.,18:30,Arena Premium 5,Fudbal,Stuttgart - Borussia Dormund,NEMAČKA LIGA
19.09.,18:30,Arena Sport 4,Fudbal,Celta - Racing,ŠPANSKA LIGA
19.09.,18:45,Arena Sport 3,Fudbal,Kilmarnock - Hearts,ŠKOTSKA LIGA
19.09.,19:00,Arena Sport 1,Fudbal,Trabzonspor - Galatasaray,TURSKA LIGA
19.09.,19:00,Arena Sport 5,Pikado,"Druga runda, popodnevna sesija",Amsterdam Darts Master Final
19.09.,19:00,Arena Sport 8,Košarka,Paris - Nanterre,FRANCUSKI SUPERKUP
19.09.,20:00,Arena Sport 7,Fudbal,Metz - Saint-Etienne,FRANCUSKA 2. LIGA
19.09.,20:00,Arena 1X2,Fudbal,Ajax - Excelsior,HOLANDSKA LIGA
19.09.,20:45,Arena Premium 2,Fudbal,Venezia - Lazio,ITALIJANSKA LIGA
19.09.,20:45,Arena Premium 4,Fudbal,Lyon - Rennes,FRANCUSKA LIGA
19.09.,20:45,Arena Premium 5,Fudbal,Le Mans - Lorient,FRANCUSKA LIGA
19.09.,20:45,Arena Sport 2,Fudbal,Angers - Troyes,FRANCUSKA LIGA
19.09.,20:45,Arena Sport 3,Fudbal,Toulouse - Le Havre,FRANCUSKA LIGA
19.09.,21:00,Arena Premium 1,Fudbal,Sevilla - Barcelona,ŠPANSKA LIGA
19.09.,21:00,Arena Premium 3,Košarka,"Valencia - Barcelona, SF1",ŠPANSKI SUPERKUP
19.09.,22:10,Arena Sport 1,Bejzbol,Boston Red Sox - Tampa Bay Rays,Major League Baseball
