"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"30.08.","08:00","Arena Sport 10","Konjički Sport","Kovilovo Show Jump - dan 3",""
"30.08.","11:30","Adrenalin","Moto Sport","Holandija: Trening 3","FORMULA 1"
"30.08.","12:00","Arena 3 Premium","Odbojka","Italija - Nemačka","Svetsko prvenstvo (Ž)"
"30.08.","12:30","Arena 4 Premium","Košarka","Litvanija - Nemačka","EUROBASKET"
"30.08.","12:30","Arena Sport 2","Moto Sport","Paragvaj - Live Stage 1","WRC"
"30.08.","12:30","Arena Sport 8","Basket 3x3","Debrecen, grupna faza","FIBA 3x3 World Tour"
"30.08.","12:40","Adrenalin","Moto Sport","Paragvaj - Live Stage 1","WRC"
"30.08.","13:00","Arena 5 Premium","Fudbal","Bouchum - Munster","NEMAČKA 2. LIGA"
"30.08.","13:00","Arena Sport 3","Fudbal","Orenburg - Rubin","RUSKA LIGA"
"30.08.","13:00","Arena Sport 4","Fudbal","Kiel - Hannover","NEMAČKA 2. LIGA"
"30.08.","13:30","Arena 2 Premium","Fudbal","Chelsea - Fulham","ENGLESKA LIGA"
"30.08.","13:30","Arena Sport 2","Fudbal","Middlesbrough - Sheffield Utd","CHAMPIONSHIP"
"30.08.","13:45","Arena Sport 6","Košarka","Češka - Estonija","EUROBASKET"
"30.08.","14:00","Arena 1 Premium","Košarka","Italija - Gruzija","EUROBASKET"
"30.08.","14:00","Arena 3 Premium","Košarka","Island - Belgija","EUROBASKET"
"30.08.","14:00","Arena Sport 1","Fudbal","Reims - Le Mans","FRANCUSKA 2. LIGA"
"30.08.","15:00","Adrenalin","Moto Sport","Holandija: Kvalifikacije","FORMULA 1"
"30.08.","15:15","Arena Sport 9","Fudbal","Zenit - Nizhny Novgorod","RUSKA LIGA"
"30.08.","15:30","Arena 4 Premium","Fudbal","Multiprenos","NEMAČKA LIGA"
"30.08.","15:30","Arena Sport 3","Odbojka","Poljska - Belgija","Svetsko prvenstvo (Ž)"
"30.08.","15:30","Arena Sport 4","Fudbal","Stuttgart - B.Monchengladbach","NEMAČKA LIGA"
"30.08.","15:30","Arena Sport 5","Fudbal","Leipzig - Heidenheim","NEMAČKA LIGA"
"30.08.","15:30","Arena Sport 7","Fudbal","Werder Bremen - Bayer Leverkusen","NEMAČKA LIGA"
