Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
25.09.,02:15,Arena Premium 1,Američki fudbal,Green Bay Packers - Atlanta Falcons,NFL
25.09.,06:15,Adrenalin,Moto Sport,Azerbejdžan: Sprint,FORMULA 2
25.09.,07:00,Arena Tenis,Tenis,Četvrtfinale 1,WTA 500 - Singapore
25.09.,09:00,Arena Tenis,Tenis,Četvrtfinale 2,WTA 500 - Singapore
25.09.,10:00,Arena Premium 1,Mali fudbal,Surčin,ARENINA LIGA ŠAMPIONA
25.09.,10:30,Adrenalin,Moto Sport,Azerbejdžan: Trening 3,FORMULA 1
25.09.,12:15,Adrenalin,Moto Sport,Azerbejdžan: Trka 1,FORMULA 2
25.09.,12:30,Arena Tenis,Tenis,Četvrtfinale 3,WTA 500 - Singapore
25.09.,13:30,Arena Sport 1,Basket 3x3,Požarevac,Moje pravo da biram sport – Sport pobeđuje
25.09.,14:00,Adrenalin,Moto Sport,Azerbejdžan: Kvalifikacije,FORMULA 1
25.09.,14:30,Arena Tenis,Tenis,Četvrtfinale 4,WTA 500 - Singapore
25.09.,15:30,Arena Premium 5,Rukomet,Hrvatska - Srbija,TROFEJ MAKEDONIJA
25.09.,16:00,Arena Premium 2,Fudbal,Srbija U18 - Rusija U18,PRIJATELJSKE UTAKMICE
25.09.,16:00,Arena Sport 10,Fudbal,Mašinac - Milutinac,SUPERLIGA Ž
25.09.,17:00,Arena Premium 3,Odbojka,Slovenija - Poljska,EVROPSKO PRVENSTVO (M)
25.09.,17:30,Arena Premium 5,Rukomet,Severna Makedonija - Crna Gora,TROFEJ MAKEDONIJA
25.09.,18:00,Arena Premium 1,Fudbal,Srbija U21 - Irak U23,PRIJATELJSKE UTAKMICE
25.09.,18:00,Arena Premium 2,Fudbal,Gruzija - Severna Irska,UEFA LIGA NACIJA
25.09.,18:00,Arena Sport 1,Košarka,Tofas - Bandirma,TURSKA LIGA
25.09.,18:30,Arena Sport 3,Vaterpolo,Radnički - Šabac,Regionalna vaterpolo liga
25.09.,19:00,Arena Premium 4,Košarka,Besiktas - Valencia,EVROLIGA
25.09.,19:00,Arena Sport 4,Košarka,Zenit - Uralmash,VTB LIGA
25.09.,19:45,Arena Premium 5,Košarka,Fenerbahce - Virtus Bologna,EVROLIGA
25.09.,20:00,Arena Sport 5,Košarka,Dijon - Strasbourg,FRANCUSKA LIGA
25.09.,20:45,Arena Premium 1,Košarka,Partizan - Milano,EVROLIGA
25.09.,20:45,Arena Premium 2,Fudbal,Italija - Belgija,UEFA LIGA NACIJA
25.09.,20:45,Arena Premium 3,Fudbal,Turska - Francuska,UEFA LIGA NACIJA
25.09.,20:45,Arena Sport 1,Fudbal,Poljska - Bosna i Hercegovina,UEFA LIGA NACIJA
25.09.,20:45,Arena Sport 2,Fudbal,Švedska - Rumunija,UEFA LIGA NACIJA
25.09.,20:45,Arena Sport 3,Fudbal,Crna Gora - Kipar,UEFA LIGA NACIJA
25.09.,21:00,Arena Premium 4,Odbojka,Finska - Francuska,EVROPSKO PRVENSTVO (M)
26.09.,07:00,Arena Premium 5,Tenis,Polufinale 1,WTA 250 - Seoul
26.09.,08:00,Arena Premium 2,Basket 3x3,"Deqing, grupna faza",FIBA 3x3 World Tour
26.09.,08:30,Arena Tenis,Tenis,Polufinale 1,WTA 500 - Singapore
26.09.,09:00,Arena Premium 5,Tenis,Polufinale 2,WTA 250 - Seoul
26.09.,09:00,Adrenalin,Moto Sport,Azerbejdžan: Trka 2,FORMULA 2
26.09.,12:00,Arena Premium 3,Košarka,Turk Telekom - Karsiyaka,TURSKA LIGA
26.09.,12:00,Arena Sport 10,Fudbal,Napredak Junior - TSC,SUPERLIGA Ž
26.09.,12:15,Adrenalin,Moto Sport,Azerbejdžan: Trka,FORMULA 1
26.09.,12:30,Arena Tenis,Tenis,Polufinale 2,WTA 500 - Singapore
26.09.,13:30,Arena Premium 1,Fudbal,Konferencija za medije Fudbalske reprezentacije Srbije,
26.09.,15:00,Arena Premium 1,Fudbal,Slovenija - Škotska,UEFA LIGA NACIJA
26.09.,15:30,Adrenalin,Moto Sport,"Italija, Trka 1",SUPERBIKE WORLD CHAMPIONSHIP
26.09.,16:00,Arena Premium 2,Fudbal,"Srbija - Rumunija, Turnir „Stevan Vilotić Ćele“",PRIJATELJSKE UTAKMICE
