"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"02.12.","01:45","Arena 3 Premium","Fudbal","Boca Juniors - GELP","ARGENTINSKA LIGA"
"02.12.","02:15","Arena 2 Premium","Američki fudbal","Buffalo Bills - San Francisco 49ers","NFL"
"02.12.","04:00","Arena 1 Premium","Košarka","LA Clippers - Denver","NBA"
"02.12.","06:00","Arena 1 Premium","Košarka","LA Clippers - Denver","NBA"
"02.12.","15:00","Arena Sport 3","Hokej","Ekaterinburg - Spartak Moskva","KHL"
"02.12.","17:00","Arena 3 Premium","Košarka","Budućnost VOLI - Cibona","ABA LIGA"
"02.12.","17:00","Arena Sport 2","Fudbal","Akhmat - Dinamo","RUSKA LIGA"
"02.12.","17:00","Arena Sport 4","Košarka","Darussafaka - Merkezefendi","TURSKA LIGA"
"02.12.","18:00","Arena Sport 1","Rukomet","Severna Makedonija - Mađarska","EVROPSKO PRVENSTVO Ž"
"02.12.","18:00","Arena Sport 3","Rukomet","Poljska - Španija","EVROPSKO PRVENSTVO Ž"
"02.12.","18:00","Arena Sport 5","Rukomet","Slovenija - Austrija","EVROPSKO PRVENSTVO Ž"
"02.12.","19:00","Arena 3 Premium","Košarka","Zadar - Mega Mis","ABA LIGA"
"02.12.","19:00","Arena Sport 2","Fudbal","Motor - Radomiak","POLJSKA LIGA"
"02.12.","19:00","Arena Sport 6","Košarka","Vojvodina - Proleter","KLS Ž"
"02.12.","20:30","Arena Sport 3","Fudbal","Eibar - Cartagena","ŠPANSKA 2. LIGA"
"02.12.","20:30","Arena Sport 4","Rukomet","Portugal - Francuska","EVROPSKO PRVENSTVO Ž"
"02.12.","20:30","Arena Sport 5","Rukomet","Slovačka - Norveška","EVROPSKO PRVENSTVO Ž"
"02.12.","20:45","Arena 2 Premium","Fudbal","Roma - Atalanta","ITALIJANSKA LIGA"
"02.12.","21:00","Arena 1 Premium","Fudbal","Sevilla - Osasuna","ŠPANSKA LIGA"
"02.12.","21:00","Arena 3 Premium","Košarka","U obruču",""
"02.12.","23:45","Arena 2 Premium","Fudbal","Talleres - Huracan","ARGENTINSKA LIGA"
"03.12.","01:30","Arena 1 Premium","Košarka","Boston - Miami","NBA"
"03.12.","02:15","Arena 2 Premium","Američki fudbal","Denver Broncos - Cleveland Browns","NFL"
"03.12.","16:00","Arena Sport 1","Fudbal","Panachaiki - Kifisia","GRČKI KUP"
"03.12.","17:00","Arena 3 Premium","Odbojka","Dynamo Krasnodar - Dynamo M.","RUSKA LIGA Ž"
"03.12.","18:00","Arena 2 Premium","Rukomet","Srbija - Rumunija","EVROPSKO PRVENSTVO Ž"
"03.12.","18:00","Arena Sport 4","Fudbal","Arminia - Freiburg","NEMAČKI KUP"
"03.12.","18:00","Arena Sport 5","Košarka","Joker - Podgorica","ABA 2. LIGA"
"03.12.","18:00","Arena Sport 6","Fudbal","Jahn Regensburg - Stuttgart","NEMAČKI KUP"
"03.12.","18:00","Arena Sport 7","Odbojka","Warszawa - Berlin","LIGA ŠAMPIONA"
"03.12.","18:00","Arena Sport 9","Rukomet","Ukrajina - Holandija","EVROPSKO PRVENSTVO Ž"
"03.12.","18:00","Arena Sport 10","Košarka","Borac - Ilirija","ABA 2. LIGA"
"03.12.","18:00","Arena Sport 1x2","Hokej","Salzburg - Farjestad","CHL"
"03.12.","18:15","Arena Sport 8","Vaterpolo","Sabadell - Primorac","LIGA ŠAMPIONA"
"03.12.","18:30","Arena Sport 1","Fudbal","Aris - AEK","GRČKI KUP"
"03.12.","18:30","Arena Sport 2","Košarka","Peristeri - FMP","LIGA ŠAMPIONA"
"03.12.","18:30","Arena Sport 3","Fudbal","Bologna - Monza","ITALIJANSKI KUP"
"03.12.","19:00","Arena 1 Premium","Fudbal","Mallorca - Barcelona","ŠPANSKA LIGA"
"03.12.","19:00","Arena 3 Premium","Fudbal","Švedska - Srbija","EURO 2024 KVALIFIKACIJE Ž"
"03.12.","20:00","Arena Sport 7","Vaterpolo","Jadran HN - Vasas","LIGA ŠAMPIONA"
"03.12.","20:00","Arena Sport 9","Košarka","Zlatibor - Šibenka","ABA 2. LIGA"
"03.12.","20:30","Arena 2 Premium","Fudbal","Ipswich - Crystal Palace","ENGLESKA LIGA"
"03.12.","20:30","Arena Sport 3","Košarka","Unicaja - Oostende","LIGA ŠAMPIONA"
"03.12.","20:30","Arena Sport 5","Rukomet","Češka - Crna Gora","EVROPSKO PRVENSTVO Ž"
"03.12.","20:30","Arena Sport 8","Rukomet","Hrvatska - Švajcarska","EVROPSKO PRVENSTVO Ž"
"03.12.","20:45","Arena Sport 1","Fudbal","Bayern - Bayer","NEMAČKI KUP"
"03.12.","20:45","Arena Sport 2","Fudbal","Werder - Darmstadt","NEMAČKI KUP"
"03.12.","20:45","Arena Sport 4","Fudbal","Maasmechelen - Club Brugge","BELGIJSKI KUP"
"03.12.","21:00","Arena 1 Premium","Fudbal","Milan - Sassuolo","ITALIJANSKI KUP"
"03.12.","21:00","Arena Sport 6","Fudbal","Huddersfield - Wigan","LEAGUE 1"
"03.12.","21:15","Arena 3 Premium","Fudbal","Leicester - West Ham","ENGLESKA LIGA"
"04.12.","04:00","Arena 1 Premium","Košarka","Denver - Golden State","NBA"
"04.12.","06:00","Arena 1 Premium","Košarka","Phoenix - LA Lakers","NBA"
"04.12.","14:30","Arena Sport 1","Fudbal","PAOK - Egaleo","GRČKI KUP"
"04.12.","16:00","Arena Sport 2","Odbojka","Halkbank - Perugia","LIGA ŠAMPIONA"
"04.12.","16:30","Arena Sport 1","Fudbal","Olympiacos - Kalithea","GRČKI KUP"
"04.12.","18:00","Arena 2 Premium","Fudbal","Wolfsburg - Hoffenheim","NEMAČKI KUP"
"04.12.","18:00","Arena Sport 3","Fudbal","Koln - Hertha","NEMAČKI KUP"
"04.12.","18:00","Arena Sport 5","Košarka","Široki - Pelister","ABA 2. LIGA"
"04.12.","18:00","Arena Sport 7","Košarka","Manisa - Murcia","LIGA ŠAMPIONA"
"04.12.","18:00","Arena Sport 10","Odbojka","Volley Ljubljana - Maaseik","LIGA ŠAMPIONA"
"04.12.","18:15","Arena Sport 4","Vaterpolo","Radnički - Dinamo Tbilisi","LIGA ŠAMPIONA"
"04.12.","18:30","Arena Sport 6","Fudbal","Volos - OFI","GRČKI KUP"
"04.12.","18:45","Arena Sport 1","Rukomet","Kielce - Kolstad","LIGA ŠAMPIONA"
"04.12.","19:00","Arena Sport 8","Odbojka","Karadjordje - Lube","CEV CHALLENGE CUP"
"04.12.","19:00","Arena Sport 9","Odbojka","TENT - Srem","KUP SRBIJE Ž"
"04.12.","20:00","Arena Sport 4","Vaterpolo","Hannover - Novi Beograd","LIGA ŠAMPIONA"
"04.12.","20:00","Arena Sport 10","Košarka","Nanterre - Igokea","LIGA ŠAMPIONA"
"04.12.","20:00","Arena Sport 1x2","Košarka","Bosna - Vojvodina","ABA 2. LIGA"
"04.12.","20:30","Arena 1 Premium","Fudbal","Multiprenos","ENGLESKA LIGA"
"04.12.","20:30","Arena 2 Premium","Fudbal","Newcastle - Liverpool","ENGLESKA LIGA"
"04.12.","20:30","Arena Sport 1","Fudbal","Man. City - Nottingham Forest","ENGLESKA LIGA"
"04.12.","20:30","Arena Sport 3","Fudbal","Southampton - Chelsea","ENGLESKA LIGA"
"04.12.","20:30","Arena Sport 6","Fudbal","Everton - Wolverhampton","ENGLESKA LIGA"
"04.12.","20:45","Arena Sport 5","Rukomet","Pelister - Wisla","LIGA ŠAMPIONA"
"04.12.","20:45","Arena Sport 7","Fudbal","Leipzig - Eintracht","NEMAČKI KUP"
