Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
07.08.,01:00,Arena Premium 5,Tenis,"Centralni teren, dan 4, popodnevna sesija",WTA 1000 - Toronto
07.08.,01:00,Arena Tenis,Tenis,"Centralni teren, dan 5, popodnevna sesija",ATP 1000 - Montreal
07.08.,02:00,Arena Premium 1,Američki fudbal,Arizona Cardinals - Carolina Panthers,NFL
07.08.,11:00,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 1,MOTO 3
07.08.,11:50,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 1,MOTO 2
07.08.,12:45,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 1,MOTO GP
07.08.,14:30,Arena Premium 2,Rukomet,Srbija - Poljska,EP U18
07.08.,15:15,Adrenalin,Moto Sport,Velika Britanija: Trening,MOTO 3
07.08.,16:05,Adrenalin,Moto Sport,Velika Britanija: Trening,MOTO 2
07.08.,17:00,Arena Premium 3,Rukomet,Polufinale 1,Evropsko prvenstvo U18 (M)
07.08.,17:00,Adrenalin,Moto Sport,Velika Britanija: Trening,MOTO GP
07.08.,18:30,Arena Premium 5,Tenis,"Centralni teren, dan 5, prepodnevna sesija",WTA 1000 - Toronto
07.08.,18:30,Arena Tenis,Tenis,"Centralni teren, dan 6, prepodnevna sesija",ATP 1000 - Montreal
07.08.,19:00,Arena Premium 1,Odbojka (ž),Srbija - Rusija,Prijateljska utakmica
07.08.,19:00,Arena 1X2,Fudbal,Sonderjyske - Viborg,DANSKA LIGA
07.08.,19:30,Arena Premium 3,Rukomet,Polufinale 2,Evropsko prvenstvo U18 (M)
07.08.,20:30,Arena Premium 2,Fudbal,Bochum - Hertha,NEMAČKA 2. LIGA
07.08.,20:30,Arena Premium 4,Fudbal,Wisla Krakow - Wisla Plock,POLJSKA LIGA
07.08.,21:00,Arena Premium 1,Fudbal,Middlesbrough - Wrexham,ENGLESKI LIGA KUP
08.08.,01:00,Arena Premium 5,Tenis,"Centralni teren, dan 5, popodnevna sesija",WTA 1000 - Toronto
08.08.,01:00,Arena Tenis,Tenis,"Centralni teren, dan 6, popodnevna sesija",ATP 1000 - Montreal
08.08.,10:40,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 2,MOTO 3
08.08.,11:25,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 2,MOTO 2
08.08.,12:10,Adrenalin,Moto Sport,Velika Britanija: Slobodan Trening 2,MOTO GP
08.08.,12:50,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 1,MOTO GP
08.08.,13:00,Arena Premium 2,Fudbal,Inter - Juventus,PRIJATELJSKE UTAKMICE
08.08.,13:00,Arena Premium 3,Fudbal,Karlsruhe - Armenia Bielefeld,NEMAČKA 2. LIGA
08.08.,13:00,Arena Premium 4,Fudbal,Darmstadt - Kiel,NEMAČKA 2. LIGA
08.08.,13:00,Arena Premium 5,Fudbal,Magdeburg - Braunschweig,NEMAČKA 2. LIGA
08.08.,13:15,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 2,MOTO GP
08.08.,14:00,Arena Premium 1,Fudbal,Chelsea - Milan,PRIJATELJSKE UTAKMICE
08.08.,14:45,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 1,MOTO 3
08.08.,15:10,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 2,MOTO 3
08.08.,15:30,Arena Premium 4,Fudbal,Bayer Leverkusen - Sevilla,PRIJATELJSKE UTAKMICE
08.08.,15:40,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 1,MOTO 2
08.08.,16:00,Arena Premium 1,Fudbal,West Ham - Portsmouth,ENGLESKI LIGA KUP
08.08.,16:00,Arena Premium 2,Fudbal,Brighton - Roma,PRIJATELJSKE UTAKMICE
08.08.,16:00,Arena Premium 5,Fudbal,Ipswich - Rayo Vallecano,PRIJATELJSKE UTAKMICE
08.08.,16:05,Adrenalin,Moto Sport,Velika Britanija: Kvalifikacije 2,MOTO 2
08.08.,17:00,Arena Premium 3,Fudbal,Lokomotiv - Akron,RUSKA LIGA
08.08.,17:00,Arena Sport 1,Fudbal,Stuttgart - Everton,PRIJATELJSKE UTAKMICE
08.08.,17:00,Arena Sport 2,Fudbal,Schalke - Atalanta,PRIJATELJSKE UTAKMICE
08.08.,17:00,Adrenalin,Moto Sport,Velika Britanija: Sprint,MOTO GP
08.08.,18:30,Arena Premium 4,Fudbal,Colchester United - Southampton,ENGLESKI LIGA KUP
08.08.,18:30,Arena Premium 5,Tenis,"Centralni teren, dan 6, prepodnevna sesija",WTA 1000 - Toronto
08.08.,18:30,Arena Tenis,Tenis,"Centralni teren, dan 7, prepodnevna sesija",ATP 1000 - Montreal
08.08.,19:00,Arena Sport 7,Basket 3x3,V Stop: SC Rakovica Beograd,BG U23 League
08.08.,19:30,Arena Sport 1,Fudbal,Rostov - CSKA,RUSKA LIGA
08.08.,19:30,Arena Sport 8,Fudbal,Hartberg - Sturm,AUSTRIJSKA LIGA
08.08.,20:00,Arena Premium 3,Fudbal,PSV - Fortuna,HOLANDSKA LIGA
08.08.,20:30,Arena Premium 4,Fudbal,Wolfsburg - Kaiserslautern,NEMAČKA 2. LIGA
08.08.,20:30,Arena Sport 3,Fudbal,Real Betis - Bournemouth,PRIJATELJSKE UTAKMICE
08.08.,20:45,Arena 1X2,Fudbal,Sochaux - Saint-Etienne,FRANCUSKA 2. LIGA
08.08.,21:00,Arena Sport 2,Fudbal,AZ Alkmaar - Den Haag,HOLANDSKA LIGA
08.08.,21:00,Arena Sport 4,Fudbal,Gremio - Sao Paulo,BRAZILSKA LIGA
08.08.,21:00,Arena Sport 6,Bejzbol,Atlanta Braves - New York Yankees,Major League Baseball
08.08.,22:00,Arena Premium 2,Fudbal,Tigre - River Plate,ARGENTINSKA LIGA
09.08.,00:00,Arena Tenis,Tenis,"Centralni teren, dan 7, popodnevna sesija",ATP 1000 - Montreal
09.08.,00:15,Arena Premium 2,Fudbal,Boca Juniors - Velez,ARGENTINSKA LIGA
09.08.,01:00,Arena Premium 5,Tenis,"Centralni teren, dan 6, popodnevna sesija",WTA 1000 - Toronto
09.08.,02:00,Arena Premium 1,Fudbal,Botafogo - Fluminense,BRAZILSKA LIGA
09.08.,04:00,Adrenalin,Boks,Cherneka Johnson vs Dina Thorslund,MVP 05
09.08.,12:15,Arena Premium 3,Fudbal,Sparta - Feyenoord,HOLANDSKA LIGA
09.08.,12:15,Adrenalin,Moto Sport,Velika Britanija: Trka,MOTO 2
09.08.,13:00,Arena Premium 1,Fudbal,Manchester City - Atletico Madrid,PRIJATELJSKE UTAKMICE
09.08.,13:30,Arena Premium 2,Fudbal,St. Pauli - Greuter Furth,NEMAČKA 2. LIGA
09.08.,13:30,Arena Premium 5,Fudbal,Cottbus - Hannover,NEMAČKA 2. LIGA
09.08.,13:30,Arena Sport 1,Fudbal,Nurnbeg - Dresden,NEMAČKA 2. LIGA
09.08.,14:00,Adrenalin,Moto Sport,Velika Britanija: Trka,MOTO GP
09.08.,14:00,Arena 1X2,Fudbal,Johor Tigers - Chelsea,PRIJATELJSKE UTAKMICE
09.08.,14:30,Arena Premium 3,Fudbal,Zwolle - Ajax,HOLANDSKA LIGA
09.08.,14:30,Arena Premium 4,Fudbal,Kilmarnock - Celtic,ŠKOTSKA LIGA
09.08.,15:00,Arena Premium 1,Fudbal,Arsenal - Borussia Dortmund,PRIJATELJSKE UTAKMICE
09.08.,15:30,Arena Premium 2,Fudbal,Liverpool - Monaco,PRIJATELJSKE UTAKMICE
09.08.,15:30,Adrenalin,Moto Sport,Velika Britanija: Trka,MOTO 3
09.08.,15:45,Arena Sport 9,Konjički sport,Sombor,KASAČKE TRKE
09.08.,16:00,Arena Sport 2,Fudbal,Zenit - Rodina,RUSKA LIGA
09.08.,16:30,Arena Premium 4,Fudbal,Basel - Thun,ŠVAJCARSKA LIGA
09.08.,16:30,Arena Premium 5,Fudbal,St. Gallen - Luzern,ŠVAJCARSKA LIGA
09.08.,17:00,Arena Premium 1,Fudbal,Mansfield - Sheffield United,ENGLESKI LIGA KUP
09.08.,17:00,Arena Premium 3,Fudbal,Rangers - Hibernian,ŠKOTSKA LIGA
09.08.,17:00,Arena Sport 1,Rukomet,Meč za treće mesto,Evropsko prvenstvo U18 (M)
09.08.,17:00,Arena 1X2,Fudbal,WAC - Salzburg,AUSTRIJSKA LIGA
09.08.,18:30,Arena Premium 5,Tenis,"Centralni teren, dan 7, prepodnevna sesija",WTA 1000 - Toronto
09.08.,18:30,Arena Tenis,Tenis,"Centralni teren, dan 8, prepodnevna sesija",ATP 1000 - Montreal
09.08.,19:00,Arena Premium 2,Fudbal,Austria Wien -  LASK,AUSTRIJSKA LIGA
09.08.,19:00,Arena Sport 7,Basket 3x3,II Stop: SC Rakovica Beograd,BG League
09.08.,19:30,Arena Sport 1,Rukomet,Finale,Evropsko prvenstvo U18 (M)
09.08.,19:30,Arena Sport 2,Fudbal,Spartak - Krasnodar,RUSKA LIGA
09.08.,19:30,Arena Sport 4,Fudbal,Rubin - Orenburg,RUSKA LIGA
09.08.,19:35,Arena Sport 3,Bejzbol,Toronto Blue Jays - Philadelphia Phillies,Major League Baseball
09.08.,21:00,Arena 1X2,Fudbal,Palmeiras - Internacional,BRAZILSKA LIGA
09.08.,21:30,Adrenalin,Moto Sport,Iowa,NASCAR CUP SERIES
09.08.,23:30,Arena Premium 1,Fudbal,Bragantino - Corinthians,BRAZILSKA LIGA
10.08.,00:00,Arena Tenis,Tenis,"Centralni teren, dan 8, popodnevna sesija",ATP 1000 - Montreal
10.08.,01:00,Arena Premium 5,Tenis,"Centralni teren, dan 7, popodnevna sesija",WTA 1000 - Toronto
10.08.,01:15,Arena Premium 4,Fudbal,Argentinos - Racing,ARGENTINSKA LIGA
10.08.,18:30,Arena Premium 2,Fudbal,Fakel - Akhmat,RUSKA LIGA
10.08.,19:00,Arena Premium 3,Fudbal,Silkeborg - Odense,DANSKA LIGA
10.08.,21:00,Arena Premium 1,Fudbal,Plymouth - Exeter City,ENGLESKI LIGA KUP
11.08.,00:00,Arena Tenis,Tenis,Četvrtfinale 1,ATP 1000 - Montreal
11.08.,01:00,Arena Premium 5,Tenis,Četvrtfinale 1,WTA 1000 - Toronto
11.08.,02:00,Arena Tenis,Tenis,Četvrtfinale 2,ATP 1000 - Montreal
11.08.,03:00,Arena Premium 5,Tenis,Četvrtfinale 2,WTA 1000 - Toronto
11.08.,12:00,Arena Premium 1,Fudbal,Palermo - Juventus,PRIJATELJSKE UTAKMICE
11.08.,18:00,Arena Premium 3,Fudbal,Bodø/Glimt - Union Saint-Gilloise,UEFA LIGA ŠAMPIONA - Kvalifikacije
11.08.,18:00,Arena Premium 4,Fudbal,Sabah - AGF,UEFA Liga Šampiona - Kvalifikacije
11.08.,19:00,Arena Premium 1,Fudbal,Arena sa terena,UEFA Liga Šampiona - Kvalifikacije
11.08.,19:00,Arena Premium 5,Fudbal,Apollon Limassol - Brann,UEFA Liga Konferencija - Kvalifikacije
11.08.,19:30,Arena Premium 2,Fudbal,NEC Nijmegen - Olympiacos,UEFA LIGA ŠAMPIONA - Kvalifikacije
11.08.,20:00,Arena Premium 1,Fudbal,Crvena zvezda - Hapoel Be'er Sheva,UEFA LIGA ŠAMPIONA - Kvalifikacije
11.08.,20:30,Arena Premium 4,Fudbal,Sturm - Fenerbahce,UEFA Liga Šampiona - Kvalifikacije
11.08.,21:00,Arena Premium 3,Fudbal,Lyon - Sparta,UEFA LIGA ŠAMPIONA - Kvalifikacije
11.08.,22:00,Arena Premium 1,Fudbal,Arena sa terena,UEFA Liga Šampiona - Kvalifikacije
12.08.,00:00,Arena Premium 1,Fudbal,Fluminense - Independiente Rivadavia,COPA LIBERTADORES
12.08.,00:00,Arena Premium 2,Fudbal,Boca Juniors - Recoleta,COPA SUDAMERICANA
12.08.,00:00,Arena Tenis,Tenis,Četvrfinale 3,ATP 1000 - Montreal
12.08.,01:00,Arena Premium 5,Tenis,Četvrtfinale 3,WTA 1000 - Toronto
12.08.,02:00,Arena Tenis,Tenis,Četvrtfinale 4,ATP 1000 - Montreal
12.08.,02:30,Arena Premium 1,Fudbal,Estudiantes - Universidad Catolica,COPA LIBERTADORES
12.08.,03:00,Arena Premium 5,Tenis,Četvrtfinale 4,WTA 1000 - Toronto
12.08.,18:00,Arena Premium 1,Fudbal,Everton - Newcastle,PRIJATELJSKE UTAKMICE
12.08.,18:00,Arena Premium 2,Fudbal,GKS Katowice - Hapoel Tel-Aviv,UEFA LIGA KONFERENCIJA - Kvalifikacije
12.08.,18:20,Arena Premium 4,Rukomet,Al Ahly - Sloga,DOBOJ 2026
12.08.,20:20,Arena Premium 4,Rukomet,Ceremonija otvaranja turnira,DOBOJ 2026
12.08.,20:30,Arena Premium 2,Fudbal,Manchester United - Leeds,PRIJATELJSKE UTAKMICE
12.08.,20:30,Arena Premium 3,Fudbal,Arsenal - Como,PRIJATELJSKE UTAKMICE
12.08.,21:00,Arena Premium 1,Fudbal,PSG - Aston Villa,UEFA Superkup
12.08.,21:00,Arena Premium 4,Rukomet,Qatar - RD Grosist Slovan,DOBOJ 2026
13.08.,00:00,Arena Premium 1,Fudbal,Palmeiras - Cerro Porteno,COPA LIBERTADORES
13.08.,00:00,Arena Tenis,Tenis,Polufinale 1,ATP 1000 - Montreal
13.08.,01:00,Arena Premium 4,Bejzbol,Seattle Mariners - New York Yankees,Major League Baseball
13.08.,01:00,Arena Premium 5,Tenis,Polufinale 1,WTA 1000 - Toronto
13.08.,02:00,Arena Tenis,Tenis,Polufinale 2,ATP 1000 - Montreal
13.08.,02:30,Arena Premium 1,Fudbal,Cruzeiro - Flamengo,COPA LIBERTADORES
13.08.,02:30,Arena Premium 2,Fudbal,Independiente Santa Fe - River Plate,COPA SUDAMERICANA
13.08.,03:00,Arena Premium 5,Tenis,Polufinale 2,WTA 1000 - Toronto
13.08.,17:00,Arena Premium 1,Fudbal,Tobol - Partizan,UEFA LIGA KONFERENCIJA - Kvalifikacije
13.08.,18:20,Arena Sport 7,Rukomet,Sporting - Qatar,DOBOJ 2026
13.08.,19:00,Arena Premium 2,Fudbal,Pafos - Salzburg,UEFA LIGA EVROPE - Kvalifikacije
13.08.,19:00,Arena Premium 4,Fudbal,Besiktas - Hradec Kralove / Gornik - Ferencvaros,UEFA Liga Evrope - Kvalifikacije
13.08.,19:00,Arena Sport 2,Fudbal,Dinamo Minsk - Braga,UEFA Liga Konferencija - Kvalifikacije
13.08.,19:30,Arena Premium 5,Fudbal,KI Klasvik - Lech,UEFA Liga Evrope - Kvalifikacije
13.08.,20:20,Arena Sport 7,Rukomet,Melsungen - Al Ahly,DOBOJ 2026
13.08.,20:30,Arena Premium 1,Fudbal,Anderlecht - PAOK,UEFA LIGA EVROPE - Kvalifikacije
13.08.,20:30,Arena Premium 3,Fudbal,Rangers - Jagiellonia,UEFA Liga Evrope - Kvalifikacije
