"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"30.12.","02:15","Arena 2 Premium","Američki fudbal","Washington Commanders - Atlanta Falcons","NFL"
"30.12.","12:00","Arena 2 Premium","Košarka","Igokea - Mornar","ABA LIGA"
"30.12.","12:00","Arena Sport 10","Košarka","Igokea - Mornar","ABA LIGA"
"30.12.","15:15","Arena Sport 1","Hokej","Polufinale 1","SPENGLER CUP"
"30.12.","16:00","Arena Sport 2","Košarka","Banja Luka","SVESRPSKI KUP"
"30.12.","17:00","Arena 1 Premium","Košarka","Manisa - Besiktas","TURSKA LIGA"
"30.12.","18:30","Arena 2 Premium","Fudbal","Como - Lecce","ITALIJANSKA LIGA"
"30.12.","19:00","Arena 1 Premium","Košarka","Partizan Mozzart Bet - Cedevita Olimpija","ABA LIGA"
"30.12.","19:00","Arena Sport 10","Košarka","Partizan Mozzart Bet - Cedevita Olimpija","ABA LIGA"
"30.12.","20:00","Arena Sport 4","Pikado","Round 4","SVETSKO PRVENSTVO"
"30.12.","20:15","Arena Sport 3","Hokej","Polufinale 2","SPENGLER CUP"
"30.12.","20:45","Arena 2 Premium","Fudbal","Ipswich - Chelsea","ENGLESKA LIGA"
"30.12.","20:45","Arena 3 Premium","Fudbal","Aston Villa - Brighton","ENGLESKA LIGA"
"30.12.","20:45","Arena Sport 2","Fudbal","Bologna - Verona","ITALIJANSKA LIGA"
"30.12.","21:00","Arena 1 Premium","Fudbal","Man. United - Newcastle","ENGLESKA LIGA"
"30.12.","21:00","Arena Sport 1","Fudbal","Wimbledon - Gillingham","LEAGUE 2"
"31.12.","02:15","Arena 2 Premium","Američki fudbal","San Francisco 49ers - Detroit Lions","NFL"
"31.12.","03:00","Arena 1 Premium","Košarka","Utah - Denver","NBA"
"31.12.","12:15","Arena Sport 1","Hokej","Finale","SPENGLER CUP"
"31.12.","21:00","Arena 1 Premium","Košarka","Indiana - Milwaukee","NBA"
"31.12.","23:00","Arena 3 Premium","Hokej","Chicago Blackhawks - St. Louis Blues","NHL"
"01.01.","02:00","Arena 1 Premium","Košarka","Oklahoma - Minnesota","NBA"
"01.01.","13:30","Arena 1 Premium","Fudbal","QPR - Watford","CHAMPIONSHIP"
"01.01.","13:30","Arena 3 Premium","Pikado","Četvrtfinala","SVETSKO PRVENSTVO"
"01.01.","16:00","Arena 1 Premium","Fudbal","Sheffield Wednesday - Derby County","CHAMPIONSHIP"
"01.01.","16:00","Arena Sport 1","Fudbal","Swindon - Colchester","LEAGUE 2"
"01.01.","18:30","Arena 1 Premium","Fudbal","Brentford - Arsenal","ENGLESKA LIGA"
"01.01.","18:30","Arena 2 Premium","Fudbal","Hull - Middlesbrough","CHAMPIONSHIP"
"01.01.","20:00","Arena 3 Premium","Pikado","Četvrtfinala","SVETSKO PRVENSTVO"
"01.01.","21:00","Arena 1 Premium","Fudbal","Sunderland - Sheffield United","CHAMPIONSHIP"
"02.01.","03:00","Arena 1 Premium","Košarka","Denver - Atlanta","NBA"
"02.01.","16:00","Arena 1 Premium","Fudbal","Rangers - Celtic","ŠKOTSKA LIGA"
"02.01.","18:30","Arena 3 Premium","Fudbal","Dundee - Dundee United","ŠKOTSKA LIGA"
"02.01.","20:00","Arena 1 Premium","Fudbal","Inter - Atalanta","ITALIJANSKI SUPERKUP"
"02.01.","20:30","Arena 3 Premium","Pikado","Polufinala","SVETSKO PRVENSTVO"
"03.01.","01:30","Arena 1 Premium","Košarka","Minnesota - Boston","NBA"
"03.01.","02:15","Arena 2 Premium","Američki fudbal","NFL","NFL"
"03.01.","15:00","Arena 2 Premium","Odbojka","Fenerbahce - THY","TURSKA LIGA Ž"
"03.01.","19:00","Arena 2 Premium","Fudbal","Granada - Getafe","ŠPANSKI KUP"
"03.01.","19:00","Arena 3 Premium","Košarka","Split - Zadar","ABA LIGA"
"03.01.","19:00","Arena Sport 10","Košarka","Split - Zadar","ABA LIGA"
"03.01.","20:00","Arena 1 Premium","Fudbal","Juventus - Milan","ITALIJANSKI SUPERKUP"
"03.01.","21:00","Arena 2 Premium","Fudbal","Valencia - Real Madrid","ŠPANSKA LIGA"
"03.01.","21:00","Arena 3 Premium","Pikado","Finale","SVETSKO PRVENSTVO"
"03.01.","21:00","Arena Sport 1","Fudbal","Nice - Rennes","FRANCUSKA LIGA"
"04.01.","01:30","Arena 1 Premium","Košarka","NBA 360","NBA"
"04.01.","04:30","Arena 1 Premium","Košarka","LA Lakers - Atlanta","NBA"
"04.01.","11:00","Arena 3 Premium","Košarka","Onvo - Petkimspor","TURSKA LIGA"
"04.01.","13:30","Arena 1 Premium","Fudbal","Tottenham - Newcastle","ENGLESKA LIGA"
"04.01.","13:30","Arena 2 Premium","Fudbal","Blackburn - Burnley","CHAMPIONSHIP"
"04.01.","13:30","Arena 3 Premium","Košarka","Galatasaray - Manisa","TURSKA LIGA"
"04.01.","14:00","Arena Sport 3","Fudbal","Metz - Pau","FRANCUSKA 2. LIGA"
"04.01.","15:00","Arena Sport 1","Fudbal","Venezia - Empoli","ITALIJANSKA LIGA"
"04.01.","16:00","Arena 1 Premium","Fudbal","Multiprenos","ENGLESKA LIGA"
"04.01.","16:00","Arena 2 Premium","Fudbal","Man. City - West Ham","ENGLESKA LIGA"
"04.01.","16:00","Arena 3 Premium","Fudbal","Crystal Palace - Chelsea","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 2","Fudbal","Aston Villa - Leicester","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 3","Fudbal","Bournemouth - Everton","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 4","Fudbal","Southampton - Brentford","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 8","Fudbal","Watford - Sheffield United","CHAMPIONSHIP"
"04.01.","16:00","Arena Sport 9","Košarka","Bursaspor - Mersinspor","TURSKA LIGA"
"04.01.","16:30","Arena Sport 7","Fudbal","Tenerife - Osasuna","ŠPANSKI KUP"
"04.01.","17:00","Arena Sport 1","Košarka","Borac Mozzart - SC Derby","ABA LIGA"
"04.01.","17:00","Arena Sport 5","Fudbal","Saint Etienne - Reims","FRANCUSKA LIGA"
"04.01.","17:00","Arena Sport 10","Košarka","Borac Mozzart - SC Derby","ABA LIGA"
"04.01.","17:30","Arena Sport 6","Fudbal","Almeria - Sevilla","ŠPANSKI KUP"
"04.01.","18:00","Arena 3 Premium","Fudbal","Fiorentina - Napoli","ITALIJANSKA LIGA"
"04.01.","18:00","Arena Sport 2","Hokej","Washington Capitals - New York Rangers","NHL"
"04.01.","18:30","Arena 1 Premium","Fudbal","Brighton - Arsenal","ENGLESKA LIGA"
"04.01.","19:00","Arena 2 Premium","Fudbal","Barbastro - Barcelona","ŠPANSKI KUP"
"04.01.","19:00","Arena Sport 1","Fudbal","Lille - Nantes","FRANCUSKA LIGA"
"04.01.","20:00","Arena Sport 3","Košarka","Treviso - Brescia","ITALIJANSKA LIGA"
"04.01.","20:00","Arena Sport 4","Fudbal","Laval - Lorient","FRANCUSKA 2. LIGA"
"04.01.","20:45","Arena 3 Premium","Fudbal","Verona - Udinese","ITALIJANSKA LIGA"
"04.01.","21:00","Arena 2 Premium","Fudbal","Lyon - Montpellier","FRANCUSKA LIGA"
"04.01.","21:30","Arena 1 Premium","Fudbal","Marbella - Atletico","ŠPANSKI KUP"
"04.01.","22:25","Arena Sport 1","Američki fudbal","NFL","NFL"
"05.01.","00:00","Arena 1 Premium","Košarka","Brooklyn - Philadelphia","NBA"
"05.01.","02:30","Arena 1 Premium","Košarka","Golden State - Memphis","NBA"
"05.01.","11:00","Arena 3 Premium","Košarka","Astana - CSKA Moskva","VTB LIGA"
"05.01.","12:00","Arena 2 Premium","Fudbal","Elche - Las Palmas","ŠPANSKI KUP"
"05.01.","12:30","Arena 1 Premium","Fudbal","Monza - Cagliari","ITALIJANSKA LIGA"
