"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"01.06.","02:00","Arena 1 Premium","Košarka","Indiana - New York, G6","NBA"
"01.06.","08:00","Arena 2 Premium","Moto Sport","Španija: Trka","FORMULA 3"
"01.06.","09:40","Arena 2 Premium","Moto Sport","Španija: Trka","FORMULA 2"
"01.06.","12:00","Arena 2 Premium","Moto Sport","Španija: Trka","Porsche Supercup"
"01.06.","13:00","Arena Sport 1","Moto Sport","Red Bull Erzbergrodeo","World Endurance Championship"
"01.06.","13:30","Arena 3 Premium","Košarka","CSKA - Zenit, finale G3","VTB LIGA"
"01.06.","14:00","Arena Sport 2","Fudbal","Malmo - Hacken","ŠVEDSKA LIGA"
"01.06.","14:00","Arena Sport 7","Padel","Padel Mozzart Serbian Padel Tour 500","Mozzart Serbian Padel Tour 500"
"01.06.","15:00","Arena 1 Premium","Moto Sport","Španija: Trka","FORMULA 1"
"01.06.","15:00","Arena 2 Premium","Rukomet","Esbjerg - Metz, Meč za 3.mesto","EHF LIGA ŠAMPIONA (Ž)"
"01.06.","16:30","Arena Sport 5","Košarka","Bayern - Heidelberg, G1","NEMAČKA LIGA"
"01.06.","16:30","Arena Sport 9","Rukomet","Flensburg - Burgdorf","BUNDESLIGA"
"01.06.","17:00","Arena 3 Premium","Fudbal","Rostov - CSKA, superfinale","RUSKI KUP"
"01.06.","17:00","Arena Sport 2","Košarka","Mersin - Efes G2","TURSKA LIGA"
"01.06.","17:00","Arena Sport 4","Fudbal","Rapid - LASK","AUSTRIJSKA LIGA"
"01.06.","18:00","Arena 2 Premium","Rukomet","Gyor - Odense, Finale","EHF LIGA ŠAMPIONA (Ž)"
"01.06.","18:00","Arena Sport 1","Košarka","Ulm - Wurzburg, G1","NEMAČKA LIGA"
"01.06.","18:00","Arena Sport 8","Basket 3x3","Novi Beograd - I stop","BG U23 League"
"01.06.","18:10","Arena Sport 6","Basket 3x3","3x3 Portonovi 2k25 Lite Quest","3x3 Montenegro Lob 2k25 Tour Powered by MTS"
"01.06.","18:30","Arena Sport 5","Fudbal","Deportivo - Elche","ŠPANSKA 2. LIGA"
"01.06.","18:30","Arena Sport 9","Fudbal","Oviedo - Cadiz","ŠPANSKA 2. LIGA"
"01.06.","19:00","Arena 1 Premium","Košarka","Partizan - Dubai, G3","ABA LIGA"
"01.06.","19:00","Arena Sport 4","Fudbal","Pyramids - Mamelodi, finale G2","CAF LIGA ŠAMPIONA"
"01.06.","19:00","Arena Sport 10","Košarka","Partizan - Dubai, G3","ABA LIGA"
"01.06.","19:15","Arena Sport 7","Fudbal","Molde - Viking","NORVEŠKA LIGA"
"01.06.","19:30","Arena 3 Premium","Vaterpolo","Barceloneta -  Marseille, Meč za 3. mesto","Liga šampiona"
"01.06.","19:30","Arena Sport 2","Košarka","Galatasaray - Besiktas G2","TURSKA LIGA"
"01.06.","20:00","Arena 2 Premium","Košarka","Olympiacos - Panathinaikos, G2","GRČKA LIGA"
"01.06.","20:45","Arena Sport 5","Košarka","Trapani - Brescia, G2","ITALIJANSKA LIGA"
"01.06.","21:00","Arena 1 Premium","Košarka","Budućnost - Crvena zvezda, G3","ABA LIGA"
"01.06.","21:00","Arena Sport 10","Košarka","Budućnost - Crvena zvezda, G3","ABA LIGA"
"01.06.","21:30","Arena 3 Premium","Vaterpolo","Novi Beograd - Ferencvaros, Finale","Liga šampiona"
"02.06.","10:00","Arena 1 Premium","Mali fudbal","Meč za 3. mesto","ARENINA LIGA ŠAMPIONA"
"02.06.","12:00","Arena 1 Premium","Mali fudbal","Finale","ARENINA LIGA ŠAMPIONA"
"02.06.","17:00","Arena 2 Premium","Košarka","Tofas - Bahcesehir, G3","TURSKA LIGA"
"02.06.","19:00","Arena 2 Premium","Košarka","Valencia - Gran Canaria, G1","ŠPANSKA LIGA"
"02.06.","19:30","Arena 3 Premium","Košarka","Fenerbahce - Turk Telekom, G3","TURSKA LIGA"
"02.06.","20:45","Arena 1 Premium","Košarka","Virtus - Armani, G2","ITALIJANSKA LIGA"
"02.06.","21:15","Arena 2 Premium","Košarka","Tenerife - Joventut, G1","ŠPANSKA LIGA"
"03.06.","18:00","Arena Sport 2","Košarka","Polufinale, G1","FRANCUSKA LIGA"
"03.06.","18:30","Arena 2 Premium","Košarka","CSKA - Zenit, finale G4","VTB LIGA"
"03.06.","19:00","Arena 1 Premium","Košarka","Real Madrid - Baskonia, G1","ŠPANSKA LIGA"
"03.06.","19:00","Arena Sport 1","Fudbal","Finska - Srbija","UEFA LIGA NACIJA Ž"
"03.06.","21:15","Arena 1 Premium","Košarka","Unicaja - Barcelona, G1","ŠPANSKA LIGA"
"04.06.","17:00","Arena 3 Premium","Odbojka","Holandija - Japan","Liga Nacija"
"04.06.","18:00","Arena 1 Premium","Košarka","Partizan Mozzart bet - FMP Soccerbet, G1","KLS"
