"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"04.01.","11:00","Arena Premium 5","Košarka","Efes - Mersin","TURSKA LIGA"
"04.01.","12:00","Arena Sport 1","Košarka","Aris - Olympiacos","GRČKA LIGA"
"04.01.","12:30","Arena Premium 1","Fudbal","Lazio - Napoli","ITALIJANSKA LIGA"
"04.01.","12:30","Arena Premium 3","Košarka","Real Madrid - Barcelona","ŠPANSKA LIGA"
"04.01.","13:00","Arena Premium 5","Fudbal","Birmingham - Coventry","CHAMPIONSHIP"
"04.01.","13:30","Arena Premium 2","Fudbal","Leeds - Manchester United","ENGLESKA LIGA"
"04.01.","14:00","Arena Premium 4","Fudbal","Sevilla - Levante","ŠPANSKA LIGA"
"04.01.","14:00","Arena Sport 1","Fudbal","Sporting - Malaga","ŠPANSKA 2. LIGA"
"04.01.","14:30","Arena Premium 1","Košarka","Lokomotiv - UNICS","VTB LIGA"
"04.01.","15:00","Arena Premium 5","Fudbal","Marseille - Nantes","FRANCUSKA LIGA"
"04.01.","15:00","Arena Sport 3","Fudbal","Fiorentina - Cremonese","ITALIJANSKA LIGA"
"04.01.","15:00","Arena Sport 4","Košarka","Panathinaikos - Karditsa","GRČKA LIGA"
"04.01.","16:00","Arena Premium 2","Fudbal","Fulham - Liverpool","ENGLESKA LIGA"
"04.01.","16:00","Arena Premium 3","Fudbal","Newcastle - Crystal Palace","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 1","Fudbal","Everton - Brentford","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 2","Fudbal","Tottenham - Sunderland","ENGLESKA LIGA"
"04.01.","16:00","Arena Sport 7","Fudbal","Norwich - Stoke","CHAMPIONSHIP"
"04.01.","16:00","Arena 1X2","Fudbal","Multiprenos","ENGLESKA LIGA"
"04.01.","16:15","Arena Premium 4","Fudbal","Real Madrid - Betis","ŠPANSKA LIGA"
"04.01.","16:30","Arena Premium 1","Košarka","Ilirija - Crvena zvezda","ABA LIGA"
"04.01.","17:00","Arena Premium 5","Košarka","Split - Dubai","ABA LIGA"
"04.01.","17:00","Arena Sport 3","Fudbal","Maroko - Tanzanija","KUP AFRIČKIH NACIJA"
"04.01.","17:00","Arena Sport 10","Košarka","Vojvodina - Hercegovac","KLS"
"04.01.","17:15","Arena Sport 4","Fudbal","Le Havre - Angers","FRANCUSKA LIGA"
"04.01.","17:15","Arena Sport 5","Fudbal","Lorient - Metz","FRANCUSKA LIGA"
"04.01.","17:15","Arena Sport 6","Fudbal","Brest - Auxerre","FRANCUSKA LIGA"
"04.01.","18:00","Arena Premium 3","Fudbal","Verona - Torino","ITALIJANSKA LIGA"
"04.01.","18:00","Arena Sport 1","Košarka","Milano - Udine","ITALIJANSKA LIGA"
"04.01.","18:15","Arena Sport 9","Vaterpolo","Francuska - Mađarska","Trebinje Cup 2026"
"04.01.","18:30","Arena Premium 1","Fudbal","Manchester City - Chelsea","ENGLESKA LIGA"
"04.01.","18:30","Arena Premium 2","Fudbal","Mallorca - Girona","ŠPANSKA LIGA"
"04.01.","18:30","Arena Premium 4","Košarka","Besiktas - Fenerbahce","TURSKA LIGA"
"04.01.","18:30","Arena Sport 2","Fudbal","Alaves - Oviedo","ŠPANSKA LIGA"
"04.01.","19:00","Arena Premium 5","Američki fudbal","Houston Texans - Indianapolis Colts","NFL"
"04.01.","19:00","Arena Sport 7","Fudbal","Santa Clara - Porto","PORTUGALSKA LIGA"
"04.01.","19:00","Arena 1X2","Američki fudbal","Redzone Week 18","NFL"
"04.01.","20:00","Arena Sport 1","Košarka","Virtus Bologna - Trapani","ITALIJANSKA LIGA"
"04.01.","20:00","Arena Sport 3","Fudbal","Južna Afrika - Kamerun","KUP AFRIČKIH NACIJA"
"04.01.","20:00","Arena Sport 4","Hokej","Dallas Stars - Montreal Canadiens","NHL"
"04.01.","20:30","Arena Premium 4","Vaterpolo","Srbija - Španija","Trebinje Cup 2026"
"04.01.","20:45","Arena Premium 3","Fudbal","Inter - Bologna","ITALIJANSKA LIGA"
"04.01.","20:45","Arena Sport 2","Fudbal","PSG - Paris","FRANCUSKA LIGA"
"04.01.","21:00","Arena Premium 2","Fudbal","Real Sociedad - Atletico","ŠPANSKA LIGA"
"04.01.","21:00","Arena Sport 5","Fudbal","Deportivo - Cadiz","ŠPANSKA 2. LIGA"
"04.01.","21:30","Arena Premium 1","Košarka","Brooklyn - Denver","NBA"
"04.01.","22:30","Arena Premium 5","Američki fudbal","Denver Broncos - LA Chargers","NFL"
"04.01.","23:00","Arena Premium 3","Fudbal","Plan igre",""
"05.01.","02:20","Arena Premium 1","Američki fudbal","Pittsburgh Steelers - Baltimore Ravens","NFL"
"05.01.","15:00","Arena Premium 1","Košarka","CSKA - Avtodor","VTB LIGA"
"05.01.","16:00","Arena Premium 2","Vaterpolo","Srbija - Francuska","Trebinje Cup 2026"
"05.01.","16:00","Arena Sport 1","Odbojka","Zenit - Dinamo","RUSKA LIGA"
"05.01.","17:00","Arena Premium 1","Fudbal","Egipat - Benin","KUP AFRIČKIH NACIJA"
"05.01.","17:00","Arena Premium 4","Košarka","Radnički - Dynamic","KLS"
"05.01.","17:00","Arena Sport 10","Košarka","Radnički - Dynamic","KLS"
"05.01.","18:15","Arena Premium 2","Vaterpolo","Španija - Grčka","Trebinje Cup 2026"
"05.01.","18:30","Arena Premium 3","Fudbal","Galatasaray - Trabzonspor","TURSKI SUPERKUP"
"05.01.","19:00","Arena Premium 4","Košarka","Mega - Vienna","ABA LIGA"
"05.01.","19:00","Arena Sport 10","Košarka","Mega - Vienna","ABA LIGA"
"05.01.","20:00","Arena Premium 1","Fudbal","Nigerija - Mozambik","KUP AFRIČKIH NACIJA"
"05.01.","20:00","Arena Premium 5","Košarka","Bonn - Bamberg","NEMAČKA LIGA"
"05.01.","20:30","Arena Premium 2","Vaterpolo","Finale: Italija - Mađarska","Trebinje Cup 2026"
"05.01.","21:00","Arena Premium 4","Fudbal","Leicester - WBA","CHAMPIONSHIP"
"06.01.","01:00","Arena Premium 1","Košarka","Detroit - New York","NBA"
"06.01.","06:30","Arena Tenis","Tenis","Muller - Kecmanović","ATP 250 - Hong Kong"
"06.01.","15:00","Arena Premium 1","Fudbal","Pisa - Como","ITALIJANSKA LIGA"
"06.01.","15:00","Arena Premium 2","Fudbal","Crvena zvezda - Mannheim","PRIJATELJSKE UTAKMICE"
"06.01.","15:00","Arena Sport 1","Hokej","AK Bars - Avangard","KHL"
"06.01.","17:00","Arena Premium 1","Fudbal","Alžir - DR Kongo","KUP AFRIČKIH NACIJA"
"06.01.","18:00","Arena Premium 4","Fudbal","Lecce - Roma","ITALIJANSKA LIGA"
"06.01.","18:00","Arena Sport 1","Košarka","Besiktas - Ulm","EVROKUP"
"06.01.","18:00","Arena Sport 3","Odbojka","Rzeszow - Luneburg","LIGA ŠAMPIONA"
"06.01.","18:00","Arena Sport 4","Odbojka","Budowlani - Fenerbahce","LIGA ŠAMPIONA Ž"
"06.01.","18:30","Arena Premium 5","Fudbal","Fenerbahce - Samsunspor","TURSKI SUPERKUP"
"06.01.","18:45","Arena Premium 3","Košarka","Fenerbahce - Olympiacos","EVROLIGA"
"06.01.","19:00","Arena Premium 1","Košarka","Evroliga: Studio","EVROLIGA"
"06.01.","19:00","Arena Sport 2","Košarka","Cedevita Olimpija - Bahcesehir","EVROKUP"
"06.01.","19:00","Arena Sport 7","Košarka","Manresa - Aris","EVROKUP"
"06.01.","19:30","Arena Premium 2","Košarka","Monaco - Partizan","EVROLIGA"
"06.01.","20:00","Arena Premium 1","Košarka","Crvena zvezda - Valencia","EVROLIGA"
"06.01.","20:00","Arena Premium 4","Košarka","Hapoel Tel Aviv - Dubai","EVROLIGA"
"06.01.","20:00","Arena Sport 1","Košarka","Spartak - Karditsa","FIBA LIGA ŠAMPIONA"
"06.01.","20:00","Arena Sport 5","Košarka","Asvel - Real Madrid","EVROLIGA"
"06.01.","20:00","Arena Sport 6","Fudbal","Obala Slonovače - Burkina Faso","KUP AFRIČKIH NACIJA"
"06.01.","20:00","Arena Sport 8","Odbojka","Tours - Trentino","LIGA ŠAMPIONA"
"06.01.","20:15","Arena Sport 3","Košarka","Panathinaikos - Milano","EVROLIGA"
"06.01.","20:30","Arena Premium 5","Košarka","Barcelona - Maccabi Tel Aviv","EVROLIGA"
"06.01.","20:30","Arena Sport 4","Košarka","Virtus Bologna - Zalgiris","EVROLIGA"
"06.01.","20:45","Arena Premium 3","Fudbal","Sassuolo - Juventus","ITALIJANSKA LIGA"
"06.01.","21:00","Arena Sport 2","Fudbal","West Ham - Nottingham Forest","ENGLESKA LIGA"
"06.01.","21:00","Arena 1X2","Fudbal","Rangers - Aberdeen","ŠKOTSKA LIGA"
"06.01.","22:00","Arena Premium 1","Košarka","Evroliga: Studio","EVROLIGA"
"07.01.","02:00","Arena Premium 1","Košarka","Minnesota - Miami","NBA"
"07.01.","17:00","Arena Sport 1","Košarka","Turk Telekom - Trento","EVROKUP"
"07.01.","17:30","Arena Sport 3","Odbojka","Eczacibasi - Milano","LIGA ŠAMPIONA Ž"
"07.01.","18:00","Arena Premium 2","Košarka","Lietkabelis - Bourg","EVROKUP"
"07.01.","18:00","Arena Sport 2","Odbojka","Halkbank - Galatasaray","LIGA ŠAMPIONA"
"07.01.","18:30","Arena Premium 1","Fudbal","Napoli - Verona","ITALIJANSKA LIGA"
"07.01.","18:30","Arena Premium 3","Košarka","Efes - Paris","EVROLIGA"
"07.01.","18:30","Arena Premium 4","Fudbal","Bologna - Atalanta","ITALIJANSKA LIGA"
"07.01.","18:30","Arena Premium 5","Košarka","Panionios - Budućnost","EVROKUP"
"07.01.","19:00","Arena Sport 1","Košarka","Slask - Hapoel Jerusalem","EVROKUP"
"07.01.","20:00","Arena Premium 2","Fudbal","Barcelona - Athletic","ŠPANSKI SUPERKUP"
"07.01.","20:00","Arena Sport 9","Košarka","Venezia - Cluj","EVROKUP"
"07.01.","20:30","Arena Premium 1","Fudbal","Manchester City - Brighton","ENGLESKA LIGA"
"07.01.","20:30","Arena Premium 3","Košarka","Bayern - Baskonia","EVROLIGA"
"07.01.","20:30","Arena Premium 4","Fudbal","Fulham - Chelsea","ENGLESKA LIGA"
"07.01.","20:30","Arena Premium 5","Fudbal","Everton - Wolverhampton","ENGLESKA LIGA"
"07.01.","20:30","Arena Sport 3","Fudbal","Bournemouth - Tottenham","ENGLESKA LIGA"
"07.01.","20:30","Arena Sport 4","Fudbal","Crystal Palace - Aston Villa","ENGLESKA LIGA"
"07.01.","20:30","Arena Sport 5","Fudbal","Brentford - Sunderland","ENGLESKA LIGA"
"07.01.","20:30","Arena 1X2","Fudbal","Multiprenos","ENGLESKA LIGA"
"07.01.","20:45","Arena Sport 6","Fudbal","Parma - Inter","ITALIJANSKA LIGA"
"07.01.","20:45","Arena Sport 7","Fudbal","Lazio - Fiorentina","ITALIJANSKA LIGA"
"07.01.","20:45","Arena Sport 8","Fudbal","Torino - Udinese","ITALIJANSKA LIGA"
"07.01.","21:15","Arena Sport 1","Fudbal","Burnley - Manchester United","ENGLESKA LIGA"
"07.01.","21:15","Arena Sport 2","Fudbal","Newcastle - Leeds","ENGLESKA LIGA"
"08.01.","01:00","Arena Premium 3","Hokej","Washington Capitals - Dallas Stars","NHL"
"08.01.","03:30","Arena Premium 1","Košarka","San Antonio - LA Lakers","NBA"
"08.01.","12:30","Arena Sport 1","Hokej","Metallurg Mg - Avangard","KHL"
"08.01.","17:00","Arena Premium 1","Košarka","Dubai - Fenerbahce","EVROLIGA"
