"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"16.11.","02:00","Arena Premium 1","Košarka","Minnesota - Denver","NBA"
"16.11.","07:30","Arena Sport 8","Golf","DP WORLD TOUR CHAMPIONSHIP, DUBAI - Dan 4","DP WORLD TOUR 2025"
"16.11.","11:00","Arena Premium 2","Košarka","Efes - Bahcesehir","TURSKA LIGA"
"16.11.","11:00","Adrenalin","Moto Sport","Valensija: Trka","MOTO 3"
"16.11.","12:15","Adrenalin","Moto Sport","Valensija: Trka","MOTO 2"
"16.11.","12:30","Arena Premium 1","Košarka","Valencia - Tenerife","ŠPANSKA LIGA"
"16.11.","13:30","Arena Premium 4","Košarka","Trabzonspor - Besiktas","TURSKA LIGA"
"16.11.","13:30","Adrenalin","Moto Sport","STUDIO","MOTO GP"
"16.11.","14:00","Arena Sport 3","Rukomet","Budućnost - Esbjerg","EHF LIGA ŠAMPIONA (Ž)"
"16.11.","14:00","Adrenalin","Moto Sport","Valensija: Trka","MOTO GP"
"16.11.","15:00","Arena Premium 1","Fudbal","Mađarska - Irska","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","15:00","Arena Premium 2","Fudbal","Portugal - Jermenija","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","15:00","Arena Premium 3","Košarka","Promitheas - Olympiacos","GRČKA LIGA"
"16.11.","15:00","Arena Tenis","Tenis","Turin - Afternoon Session, doubles final","ATP Finals - Turin"
"16.11.","15:00","Arena Sport 2","Rukomet","Erlangen - Lemgo","BUNDESLIGA"
"16.11.","15:30","Arena Premium 5","Američki fudbal","Miami Dolphins - Washington Commanders","NFL"
"16.11.","15:30","Adrenalin","Moto Sport","STUDIO","MOTO GP"
"16.11.","16:00","Arena Premium 4","Košarka","Merkezefendi - Tofas","TURSKA LIGA"
"16.11.","16:00","Arena Sport 3","Rukomet","FTC - Brest","EHF LIGA ŠAMPIONA (Ž)"
"16.11.","16:00","Arena Sport 4","Rukomet","Odense - Krim Ljubljana","EHF LIGA ŠAMPIONA (Ž)"
"16.11.","16:00","Arena Sport 5","Odbojka","Belogorie - Zenit Kazan","RUSKA LIGA"
"16.11.","16:30","Arena Sport 1","Košarka","Limoges - ASVEL","FRANCUSKA LIGA"
"16.11.","17:15","Arena Sport 6","Košarka","Panathinaikos - Aris","GRČKA LIGA"
"16.11.","18:00","Arena Premium 1","Fudbal","Srbija - Letonija","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","18:00","Arena Premium 2","Fudbal","Azerbejdžan - Francuska","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","18:00","Arena Premium 3","Fudbal","Albanija - Engleska","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","18:00","Arena Tenis","Tenis","Turin - Afternoon Session, singles final","ATP Finals - Turin"
"16.11.","18:00","Arena Sport 2","Fudbal","Ukrajina - Island","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","18:00","Arena Sport 4","Košarka","Milano - Trapani","ITALIJANSKA LIGA"
"16.11.","18:00","Arena Sport 7","Basket 3x3","3x3 BG U23 League - Novi Beograd","BG U23 League"
"16.11.","18:30","Arena Premium 4","Košarka","Erokspor - Fenerbahce","TURSKA LIGA"
"16.11.","19:00","Arena Premium 5","Američki fudbal","Buffalo Bills - Tampa Bay Buccaneers","NFL"
"16.11.","19:00","Arena Sport 1","Košarka","Barcelona - Baskonia","ŠPANSKA LIGA"
"16.11.","19:00","Arena Sport 3","Košarka","Le Mans - Monaco","FRANCUSKA LIGA"
"16.11.","19:00","Arena 1X2","Američki fudbal","Redzone Week 11","NFL"
"16.11.","20:00","Arena Sport 2","Fudbal","Nigerija/Gabon - Kamerun/Kongo","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","20:15","Arena Sport 6","Klizanje","Grand Prix Skate America: Plesni parovi - Slobodan ples","ISU GRAND PRIX"
"16.11.","20:45","Arena Premium 1","Fudbal","Italija - Norveška","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"16.11.","21:00","Arena Sport 1","Fudbal","Zaragoza - Huesca","ŠPANSKA 2. LIGA"
"16.11.","21:30","Arena Premium 2","Košarka","Boston - LA Clippers","NBA"
"16.11.","22:00","Arena Sport 6","Klizanje","Grand Prix Skate America: Žene - Slobodni program","ISU GRAND PRIX"
"16.11.","22:25","Arena Premium 5","Američki fudbal","Denver Broncos - Kansas City Chiefs","NFL"
"17.11.","00:15","Arena Premium 2","Fudbal","Boca Juniors - Tigre","ARGENTINSKA LIGA"
"17.11.","02:20","Arena Premium 1","Američki fudbal","Philadelphia Eagles - Detroit Lions","NFL"
"17.11.","15:00","Arena Premium 1","Košarka","FMP - Dubai","ABA LIGA"
"17.11.","16:00","Arena Premium 2","Fudbal","Turska - Srbija","UEFA U17"
"17.11.","17:00","Arena Premium 1","Košarka","Cedevita Olimpija - Crvena zvezda","ABA LIGA"
"17.11.","18:00","Arena Premium 4","Košarka","Zlatibor - SPD Radnički","KLS"
"17.11.","20:00","Arena Premium 3","Košarka","Treviso - Virtus Bologna","ITALIJANSKA LIGA"
"17.11.","20:00","Arena Premium 4","Košarka","OKK Beograd - Sloboda","KLS"
"17.11.","20:30","Arena 1X2","Fudbal","Cultural Leonesa - Malaga","ŠPANSKA 2. LIGA"
"17.11.","20:45","Arena Premium 1","Fudbal","Nemačka - Slovačka","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"17.11.","20:45","Arena Premium 2","Fudbal","Holandija - Litvanija","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"17.11.","20:45","Arena Premium 5","Fudbal","Crna Gora - Hrvatska","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"18.11.","01:00","Arena Premium 1","Košarka","Cleveland - Milwaukee","NBA"
