"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"18.04.","01:00","Arena Sport 1","Hokej","Pittsburgh Penguins - Washington Capitals","NHL"
"18.04.","11:00","Arena 3 Premium","Tenis","Barcelona, Četvrtfinala","ATP 500 - Barcelona"
"18.04.","11:00","Arena Sport 1","Tenis","Minhen, Četvrtfinala","ATP 500 - Munich"
"18.04.","13:30","Arena 2 Premium","Tenis","Uchijama - Danilović","WTA 250 - Rouen"
"18.04.","13:30","Arena Sport 3","Fudbal","Derby - Luton","CHAMPIONSHIP"
"18.04.","15:30","Arena 1 Premium","Moto Sport","Saudijska Arabija: Trening 1","FORMULA 1"
"18.04.","16:00","Arena Sport 2","Fudbal","Watford - Burnley","CHAMPIONSHIP"
"18.04.","16:00","Arena Sport 4","Fudbal","Rotherham - Mansfield","LEAGUE ONE"
"18.04.","17:00","Arena 2 Premium","Košarka","Efes - Merkezefendi","TURSKA LIGA"
"18.04.","18:30","Arena Sport 2","Fudbal","Sheffield Utd - Cardiff","CHAMPIONSHIP"
"18.04.","19:00","Arena 1 Premium","Moto Sport","Saudijska Arabija: Trening 2","FORMULA 1"
"18.04.","19:00","Arena Sport 1","Fudbal","Porto - Famalicao","PORTUGALSKA LIGA"
"18.04.","19:00","Arena Sport 6","Fudbal","Galatasaray - Bodrumspor","TURSKA LIGA"
"18.04.","19:00","Arena Sport 8","Fudbal","Sporting - Mirandes","ŠPANSKA 2. LIGA"
"18.04.","19:30","Arena Sport 3","Košarka","Fenerbahce - Bahcesehir","TURSKA LIGA"
"18.04.","20:00","Arena Sport 4","Fudbal","Al Qadsiah - Al Nassr","SAUDIJSKA LIGA"
"18.04.","20:20","Arena Sport 1x2","Bejzbol","Chicago Cubs - Arizona Diamondbacks","Major League Baseball"
"18.04.","20:30","Arena Sport 5","Košarka","Armani - Cremona","ITALIJANSKA LIGA"
"18.04.","20:45","Arena 1 Premium","Košarka","Real Madrid - Bayern","EVROLIGA"
"18.04.","20:45","Arena 3 Premium","Fudbal","Rennes - Nantes","FRANCUSKA LIGA"
"18.04.","21:00","Arena 2 Premium","Fudbal","Espanyol - Getafe","ŠPANSKA LIGA"
"18.04.","21:00","Arena Sport 1","Fudbal","Oxford Utd - Leeds Utd","CHAMPIONSHIP"
"18.04.","21:30","Arena Sport 2","Fudbal","Sporting - Moreirense","PORTUGALSKA LIGA"
"18.04.","22:00","Arena Sport 4","Fudbal","Gimnasia - River Plate","ARGENTINSKA LIGA"
"19.04.","01:00","Arena 1 Premium","Košarka","Atlanta - Miami","NBA"
"19.04.","03:30","Arena 1 Premium","Košarka","Memphis - Dallas","NBA"
"19.04.","11:00","Arena 3 Premium","Fudbal","Orenburg - Dinamo Makhachkala","RUSKA LIGA"
"19.04.","12:00","Arena 2 Premium","Košarka","FMP - Igokea","ABA LIGA"
"19.04.","13:00","Arena Sport 4","Hokej","Salavat Yulaev - Spartak, G5","KHL"
"19.04.","13:30","Arena Sport 2","Tenis","Cerundolo - Shelton, polufinale","ATP 500 - Munich"
"19.04.","13:30","Arena Sport 3","Fudbal","Akron - Spartak","RUSKA LIGA"
"19.04.","13:30","Arena Sport 5","Tenis","Khachanov - Rune, polufinale","ATP 500 - Barcelona"
"19.04.","14:00","Arena 2 Premium","Fudbal","Rayo Vallecano - Valencia","ŠPANSKA LIGA"
"19.04.","15:00","Arena Sport 6","Fudbal","Mamelodi - Al Ahly","CAF LIGA ŠAMPIONA"
"19.04.","15:30","Arena 3 Premium","Moto Sport","Saudijska Arabija: Trening 3","FORMULA 1"
"19.04.","15:30","Arena Sport 3","Fudbal","Heidenheim - Bayern","NEMAČKA LIGA"
"19.04.","15:30","Arena Sport 9","Fudbal","Leipzig - Kiel","NEMAČKA LIGA"
"19.04.","16:00","Arena Sport 2","Fudbal","Everton - Manchester City","ENGLESKA LIGA"
"19.04.","16:00","Arena Sport 4","Fudbal","Brentford - Brighton","ENGLESKA LIGA"
"19.04.","16:00","Arena Sport 5","Tenis","Alcaraz - Fils, polufinale","ATP 500 - Barcelona"
"19.04.","16:00","Arena Sport 8","Odbojka","Milano - Conegliano, finale G2","ITALIJANSKA LIGA Ž"
"19.04.","16:00","Arena Sport 10","Odbojka","Zenit - Zenit Kazan, finale G3","RUSKA LIGA"
"19.04.","16:00","Arena Sport 1x2","Fudbal","Crystal Palace - Bournemouth","ENGLESKA LIGA"
"19.04.","16:15","Arena 2 Premium","Fudbal","Barcelona - Celta","ŠPANSKA LIGA"
"19.04.","17:00","Arena 3 Premium","Fudbal","PSG - Le Havre","FRANCUSKA LIGA"
"19.04.","17:00","Arena Sport 6","Košarka","Krka - Buducnost","ABA LIGA"
"19.04.","17:30","Arena Sport 9","Odbojka","Ub - Železničar, finale G2","SUPERLIGA (Ž)"
"19.04.","18:00","Arena Sport 1","Fudbal","Monza - Napoli","ITALIJANSKA LIGA"
"19.04.","18:00","Arena Sport 3","Fudbal","Orlando Pirates - Pyramids","CAF LIGA ŠAMPIONA"
"19.04.","18:00","Arena Sport 4","Košarka","Unicaja - Bilbao","ŠPANSKA LIGA"
"19.04.","18:00","Arena Sport 8","Rukomet","Brest - Metz","EHF LIGA ŠAMPIONA (Ž)"
"19.04.","18:30","Arena 1 Premium","Fudbal","Aston Villa - Newcastle","ENGLESKA LIGA"
"19.04.","18:30","Arena 2 Premium","Fudbal","Union - Stuttgart","NEMAČKA LIGA"
"19.04.","18:30","Arena Sport 2","Fudbal","Mallorca - Leganes","ŠPANSKA LIGA"
"19.04.","18:30","Arena Sport 10","Fudbal","Krasnodar - Akhmat","RUSKA LIGA"
"19.04.","19:00","Arena 3 Premium","Moto Sport","Saudijska Arabija: Kvalifikacije","FORMULA 1"
"19.04.","19:00","Arena Sport 5","Fudbal","Monaco - Strasbourg","FRANCUSKA LIGA"
"19.04.","19:30","Arena Sport 7","Košarka","Pistoia - Virtus","ITALIJANSKA LIGA"
"19.04.","20:00","Arena Sport 8","Rukomet","Magdeburg - RNL","BUNDESLIGA"
"19.04.","20:15","Arena Sport 9","Fudbal","Pogon - Rakow","POLJSKA LIGA"
"19.04.","20:30","Arena Sport 4","Fudbal","Schalke - Hamburger SV","NEMAČKA 2. LIGA"
"19.04.","20:45","Arena 3 Premium","Fudbal","Roma - Verona","ITALIJANSKA LIGA"
