Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
18.02.,00:00,Arena Tenis,Tenis,Kecmanović - Bellucci,ATP 250 - Delray Beach
18.02.,10:00,Arena Sport 1,Tenis,Dan 4 prepodnevna sesija,WTA 1000 - Dubai
18.02.,11:30,Arena Tenis,Tenis,Dan 3 prepodnevna sesija,ATP 500 - Doha
18.02.,16:00,Arena Premium 4,Košarka,Iraklis - Mykonos,GRČKI KUP
18.02.,16:00,Arena Sport 1,Tenis,Dan 4 popodnevna sesija,WTA 1000 - Dubai
18.02.,17:00,Arena Premium 2,Košarka,Spartak - Zlatibor,KUP RADIVOJA KORAĆA
18.02.,17:00,Arena Premium 3,Košarka,MBA - CSKA,VTB LIGA
18.02.,17:00,Arena Sport 10,Košarka,Spartak - Zlatibor,KUP RADIVOJA KORAĆA
18.02.,17:30,Arena Tenis,Tenis,Dan 3 popodnevna sesija,ATP 500 - Doha
18.02.,18:00,Arena Premium 5,Košarka,Brescia - Udine,ITALIJANSKI KUP
18.02.,18:00,Arena Sport 5,Odbojka,Novara - Scandicci,LIGA ŠAMPIONA Ž
18.02.,18:45,Arena Premium 1,Fudbal,Qarabag - Newcastle,UEFA LIGA ŠAMPIONA
18.02.,18:45,Arena Sport 3,Rukomet,Zagreb - PSG,EHF LIGA ŠAMPIONA
18.02.,19:00,Arena Premium 4,Košarka,Panathinaikos - PAOK,GRČKI KUP
18.02.,19:30,Arena Sport 6,Odbojka,BR Volleys - Perugia,LIGA ŠAMPIONA
18.02.,20:00,Arena Premium 2,Košarka,Crvena zvezda - Borac,KUP RADIVOJA KORAĆA
18.02.,20:00,Arena Sport 4,Fudbal,Levante - Villarreal,ŠPANSKA LIGA
18.02.,20:00,Arena Sport 10,Košarka,Crvena zvezda - Borac,KUP RADIVOJA KORAĆA
18.02.,20:30,Arena Sport 5,Odbojka,Trentino - Ziraat,LIGA ŠAMPIONA
18.02.,20:45,Arena Premium 5,Košarka,Milano - Trieste,ITALIJANSKI KUP
18.02.,20:45,Arena Sport 2,Fudbal,Milan - Como,ITALIJANSKA LIGA
18.02.,20:45,Arena Sport 3,Rukomet,Magdeburg - GOG,EHF LIGA ŠAMPIONA
18.02.,21:00,Arena Premium 1,Fudbal,Club Brugge - Atletico,UEFA LIGA ŠAMPIONA
18.02.,21:00,Arena Premium 3,Fudbal,Bodo/Glimt - Inter,UEFA LIGA ŠAMPIONA
18.02.,21:00,Arena Premium 4,Fudbal,Olympiacos - Bayer Leverkusen,UEFA LIGA ŠAMPIONA
18.02.,21:00,Arena Sport 1,Fudbal,Wolverhampton - Arsenal,ENGLESKA LIGA
19.02.,11:00,Arena Sport 1,Tenis,Cetvrtfinale 1,WTA 1000 - Dubai
19.02.,11:30,Arena Tenis,Tenis,Cetvrtfinale 1,ATP 500 - Doha
19.02.,13:00,Arena Sport 1,Tenis,Cetvrtfinale 2,WTA 1000 - Dubai
19.02.,13:30,Arena Tenis,Tenis,Cetvrtfinale 2,ATP 500 - Doha
19.02.,16:00,Arena Premium 1,Košarka,"Maroussi - Olympiacos, polufinale 1",GRČKI KUP
19.02.,16:00,Arena Sport 1,Tenis,Cetvrtfinale 3,WTA 1000 - Dubai
19.02.,17:00,Arena Premium 2,Košarka,Mega - OKK Beograd,KUP RADIVOJA KORAĆA
19.02.,17:00,Arena Sport 10,Košarka,Mega - OKK Beograd,KUP RADIVOJA KORAĆA
19.02.,17:30,Arena Tenis,Tenis,Cetvrtfinale 3,ATP 500 - Doha
19.02.,18:00,Arena Premium 1,Košarka,Valencia - Joventut,ŠPANSKI KUP
19.02.,18:00,Arena Premium 5,Košarka,Venezia - Tortona,ITALIJANSKI KUP
19.02.,18:00,Arena Sport 1,Tenis,Cetvrtfinale 4,WTA 1000 - Dubai
19.02.,18:45,Arena Premium 3,Fudbal,Fenerbahce - Nottingham Forest,UEFA LIGA EVROPE
19.02.,18:45,Arena Premium 4,Fudbal,PAOK - Celta,UEFA LIGA EVROPE
19.02.,18:45,Arena Sport 2,Fudbal,Brann - Bologna,UEFA LIGA EVROPE
