"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"07.11.","01:30","Arena 3 Premium","Fudbal","Palmeiras - Santos","BRAZILSKA LIGA"
"07.11.","02:15","Arena 1 Premium","Američki fudbal","Denver Broncos - Las Vegas Riders","NFL"
"07.11.","08:00","Arena Sport 8","Golf","ABU DHABI HSBC CHAMPIONSHIP - Dan 2","DP WORLD TOUR 2025"
"07.11.","10:00","Adrenalin","Moto Sport","Portugal: Slobodan Trening 1","MOTO 3"
"07.11.","10:50","Adrenalin","Moto Sport","Portugal: Slobodan Trening 1","MOTO 2"
"07.11.","11:45","Adrenalin","Moto Sport","Portugal: Slobodan Trening 1","MOTO GP"
"07.11.","13:30","Arena 5 Premium","Tenis","WTA Finals Riyadh - SF Doubles","WTA Finals"
"07.11.","14:15","Adrenalin","Moto Sport","Portugal: Trening","MOTO 3"
"07.11.","15:05","Adrenalin","Moto Sport","Portugal: Trening","MOTO 2"
"07.11.","15:30","Arena 4 Premium","Moto Sport","Brazil: Trening 1","FORMULA 1"
"07.11.","15:30","Arena Sport 2","Hokej","Barys - Avtomobilist","KHL"
"07.11.","16:00","Arena 5 Premium","Tenis","WTA Finals Riyadh - SF Singles","WTA Finals"
"07.11.","16:00","Arena Tenis","Tenis","Athens - Polufinale 1","ATP 250 - Athens"
"07.11.","16:00","Arena Sport 10","Košarka","Dynamic - Borac Zemun","KLS"
"07.11.","16:00","Adrenalin","Moto Sport","Portugal: Trening","MOTO GP"
"07.11.","17:00","Arena Sport 4","Odbojka","Dinamo-LO - Lokomotiv","RUSKA LIGA"
"07.11.","18:00","Arena Tenis","Tenis","Athens - Polufinale 2","ATP 250 - Athens"
"07.11.","18:30","Arena 2 Premium","Košarka","Efes - Milano","EVROLIGA"
"07.11.","18:30","Arena 3 Premium","Fudbal","Dresden - Nurnberg","NEMAČKA 2. LIGA"
"07.11.","18:30","Arena Sport 1","Košarka","Igokea - Split","ABA LIGA"
"07.11.","18:30","Arena Sport 2","Rukomet","RUKOMETNA ARENA",""
