Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
22.02.,02:00,Arena Premium 1,Košarka,Chicago - Detroit,NBA
22.02.,07:00,Arena Sport 8,Golf,"Magical Kenya Open, dan 4",DP WORLD TOUR
22.02.,11:00,Arena Premium 1,Košarka,Lokomotiv - CSKA,VTB LIGA
22.02.,11:30,Adrenalin,Moto Sport,"Australija, Superpole Race",SUPERBIKE WORLD CHAMPIONSHIP
22.02.,12:00,Adrenalin,Moto Sport,"Australija, Trka 2",SUPERBIKE WORLD CHAMPIONSHIP
22.02.,12:30,Arena Premium 2,Fudbal,Genoa - Torino,ITALIJANSKA LIGA
22.02.,13:00,Arena Premium 4,Fudbal,Sheffield Utd - Sheffield Wed,CHAMPIONSHIP
22.02.,13:30,Arena Premium 3,Fudbal,Paderborn - Hertha,NEMAČKA 2. LIGA
22.02.,13:30,Arena Premium 5,Fudbal,Hannover - Dresden,NEMAČKA 2. LIGA
22.02.,14:00,Arena Premium 1,Fudbal,Getafe - Sevilla,ŠPANSKA LIGA
22.02.,14:00,Arena Sport 2,Fudbal,Sion - Young Boys,ŠVAJCARSKA LIGA
22.02.,14:00,Arena Sport 4,Odbojka,Zenit Kazan - Zenit St Petersburg,RUSKA LIGA
22.02.,14:00,Arena Sport 5,Rukomet,Debrecin - Budućnost,EHF LIGA ŠAMPIONA (Ž)
22.02.,15:00,Arena Premium 2,Fudbal,Nottingham Forest - Liverpool,ENGLESKA LIGA
22.02.,15:00,Arena Premium 4,Fudbal,Atalanta - Napoli,ITALIJANSKA LIGA
22.02.,15:00,Arena Sport 1,Fudbal,Crystal Palace - Wolverhampton,ENGLESKA LIGA
22.02.,15:00,Arena Sport 6,Rukomet,Magdeburg - Minden,BUNDESLIGA
22.02.,15:00,Arena Sport 7,Fudbal,Sunderland - Fulham,ENGLESKA LIGA
22.02.,15:00,Arena Sport 8,Fudbal,Auxerre - Rennes,FRANCUSKA LIGA
22.02.,15:30,Arena Sport 3,Fudbal,Freiburg - B. Monchengladbach,NEMAČKA LIGA
22.02.,16:00,Arena Sport 2,Fudbal,Livingston - Rangers,ŠKOTSKA LIGA
22.02.,16:00,Arena Sport 5,Rukomet,Metz - Esbjerg,EHF LIGA ŠAMPIONA (Ž)
22.02.,16:15,Arena Premium 3,Fudbal,Barcelona - Levante,ŠPANSKA LIGA
22.02.,16:30,Arena Premium 5,Košarka,FINALE,NEMAČKI KUP
22.02.,16:45,Arena Sport 6,Fudbal,AZ Alkmaar - Sparta,HOLANDSKA LIGA
22.02.,17:00,Arena Premium 4,Košarka,FINALE,ITALIJANSKI KUP
22.02.,17:00,Arena Sport 7,Fudbal,LASK - Salzburg,AUSTRIJSKA LIGA
22.02.,17:00,Arena Sport 8,Atletika,ORLEN Copernicus Cup,World Athletics Indoor Tour
22.02.,17:00,Adrenalin,Boks,Niš,OPEN BALKAN
22.02.,17:15,Arena Sport 1,Fudbal,Angers - Lille,FRANCUSKA LIGA
22.02.,17:15,Arena 1X2,Fudbal,Nice - Lorient,FRANCUSKA LIGA
22.02.,17:30,Arena Premium 2,Fudbal,Tottenham - Arsenal,ENGLESKA LIGA
22.02.,17:30,Arena Sport 3,Fudbal,St. Pauli - Werder Bremen,NEMAČKA LIGA
