Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
18.07.,01:00,Arena Premium 1,Fudbal,Fluminense - Bragantino,BRAZILSKA LIGA
18.07.,03:00,Arena Premium 1,Odbojka,Brazil - Poljska,Liga Nacija
18.07.,10:00,Adrenalin,Moto Sport,Belgija: Sprint,FORMULA 3
18.07.,11:00,Arena Tenis,Tenis,Polufinale 1,ATP 250 - Gstaad
18.07.,12:20,Arena Premium 2,Odbojka,Argentina - Italija,Liga Nacija
18.07.,12:30,Adrenalin,Moto Sport,Belgija: Trening 3,FORMULA 1
18.07.,12:55,Arena Sport 8,Moto Sport,Paul Ricard - Trka 1,FORMULA REGIONAL
18.07.,13:00,Arena Sport 1,Tenis,Polufinale 1,ATP 250 - Bastad
18.07.,13:30,Arena Tenis,Tenis,Polufinale 2,ATP 250 - Gstaad
18.07.,14:00,Arena Premium 4,Basket 3x3,Grupna faza,3x3 Challenger Novi Sad 2026
18.07.,14:15,Adrenalin,Moto Sport,Belgija: Sprint,FORMULA 2
18.07.,14:30,Arena Premium 5,Odbojka na pesku,"Polufinale 1, žene",Nations Cup
18.07.,15:00,Arena Premium 2,Atletika,London,DIJAMANTSKA LIGA
18.07.,15:00,Arena Sport 1,Tenis,Polufinale 2,ATP 250 - Bastad
18.07.,16:00,Arena Sport 6,Moto Sport,Monaco,E1
18.07.,16:00,Arena Sport 7,Moto Sport,Estonija - Live Stage 2,WRC
18.07.,16:00,Arena Sport 8,Golf,THE 154TH OPEN - Dan 3,MAJORS
18.07.,16:00,Adrenalin,Moto Sport,Belgija: Kvalifikacije,FORMULA 1
18.07.,16:45,Arena Premium 5,Odbojka na pesku,"Polufinale 2, žene",Nations Cup
18.07.,17:45,Arena Sport 1,Košarka,Polufinale 1: Australija - Španija,Svetsko Prvenstvo za kadetkinje (U17) (Ž)
18.07.,18:00,Adrenalin,Moto Sport,Estonija - Live Stage 3,WRC
18.07.,18:30,Arena Tenis,Tenis,Polufinale 1,WTA 250 - Athens
18.07.,19:00,Arena Sport 2,Tenis,Finale,ATP 250 - Umag
18.07.,20:00,Arena Premium 2,Odbojka,Srbija - Nemačka,Liga Nacija
18.07.,20:00,Arena Sport 5,Pikado,Runda 1,World Matchplay
18.07.,20:30,Arena Tenis,Tenis,Polufinale 2,WTA 250 - Athens
18.07.,20:45,Arena Sport 1,Košarka,Polufinale 2: SAD - Kanada,Svetsko Prvenstvo za kadetkinje (U17) (Ž)
18.07.,21:00,Arena Premium 5,Košarka,Polufinale: Španija - Srbija,FIBA U20 Evropsko prvenstvo
18.07.,21:00,Arena Sport 3,Basket 3x3,Tuzi Open 2K26,Montenegro 3x3 2k26
18.07.,23:00,Arena Premium 1,Fudbal,Utakmica za 3.mesto: Francuska - Engleska,FIFA SVETSKO PRVENSTVO
18.07.,23:00,Arena Premium 2,Odbojka,Francuska - Poljska,Liga Nacija
19.07.,08:30,Arena Premium 2,Odbojka,Kuba - Italija,Liga Nacija
19.07.,08:30,Adrenalin,Moto Sport,Belgija: Trka,FORMULA 3
19.07.,10:00,Arena Premium 5,Odbojka na pesku,"Polufinale 1, muškarci",Nations Cup
19.07.,10:00,Arena Sport 8,Moto Sport,Estonija - Live Stage 4,WRC
19.07.,10:00,Adrenalin,Moto Sport,Belgija: Trka,FORMULA 2
19.07.,11:30,Arena Tenis,Tenis,Finale,ATP 250 - Gstaad
19.07.,11:45,Adrenalin,Moto Sport,Belgija: Trka,Porsche Supercup
19.07.,12:00,Arena Premium 5,Odbojka na pesku,"Polufinale 2, muškarci",Nations Cup
19.07.,12:00,Arena Sport 8,Moto Sport,Estonija - Live Stage 5,WRC
19.07.,12:20,Arena Premium 2,Odbojka,Japan - Argentina,Liga Nacija
