"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"19.08.","02:00","Arena 1 Premium","Američki fudbal","Washington Commanders - Cincinnati Bengals","NFL"
"19.08.","21:00","Arena 1 Premium","Fudbal","Crvena zvezda - Pafos","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"19.08.","21:00","Arena 2 Premium","Fudbal","Real Madrid - Osasuna","ŠPANSKA LIGA"
"19.08.","21:00","Arena 3 Premium","Fudbal","Rangers - Club Brugge","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"19.08.","21:00","Arena 4 Premium","Fudbal","Ferencvaros - Qarabag","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"19.08.","21:00","Arena 5 Premium","Fudbal","Walsall - Grimsby","LEAGUE TWO"
"20.08.","00:00","Arena 1 Premium","Fudbal","Velez - Fortaleza","COPA LIBERTADORES"
"20.08.","00:00","Arena 2 Premium","Fudbal","Huracan - Once Caldas","COPA SUDAMERICANA"
"20.08.","02:30","Arena 1 Premium","Fudbal","Sao Paulo - Atletico Nacional","COPA LIBERTADORES"
"20.08.","02:30","Arena 2 Premium","Fudbal","Fluminense - Améeica de Cali","COPA SUDAMERICANA"
"20.08.","19:10","Arena 5 Premium","Bejzbol","Detroit Tigers -  Houston Astros","Major League Baseball"
"20.08.","20:00","Arena Sport 2","Atletika","Lozana","DIJAMANTSKA LIGA"
"20.08.","21:00","Arena 1 Premium","Fudbal","Fenerbahce - Benfica","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"20.08.","21:00","Arena 2 Premium","Fudbal","Basel - Copenhagen","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"20.08.","21:00","Arena 3 Premium","Fudbal","Celtic - Kairat","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"20.08.","21:00","Arena 4 Premium","Fudbal","Bodo/Glimt - Sturm","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"20.08.","21:00","Arena Sport 1","Fudbal","Bolton - Reading","LEAGUE ONE"
"20.08.","23:00","Arena Tenis","Tenis","Monterrey - Dan 1","WTA 500 - Monterrey"
"21.08.","00:00","Arena 1 Premium","Fudbal","Estudiantes - Cerro Porteno","COPA LIBERTADORES"
"21.08.","00:00","Arena 2 Premium","Fudbal","Cienciano - Bolívar","COPA SUDAMERICANA"
"21.08.","02:30","Arena 1 Premium","Fudbal","Internacional - Flamengo","COPA LIBERTADORES"
"21.08.","02:30","Arena 2 Premium","Fudbal","Independiente - Universidad de Chile","COPA SUDAMERICANA"
"21.08.","03:30","Arena Tenis","Tenis","Monterrey - Dan 1, drugi deo","WTA 500 - Monterrey"
"21.08.","19:00","Arena 2 Premium","Košarka","Letonija - Italija","Prijateljska - Akropolis kup"
"21.08.","19:10","Arena 5 Premium","Bejzbol","Minnesota Twins - Athletics","Major League Baseball"
"21.08.","23:00","Arena Tenis","Tenis","Četvrtfinale 1","WTA 500 - Monterrey"
"22.08.","00:00","Arena 1 Premium","Fudbal","Quito - Botafogo","COPA LIBERTADORES"
"22.08.","00:00","Arena 3 Premium","Fudbal","Godoy Cruz - Atletico Mineiro","COPA SUDAMERICANA"
"22.08.","01:00","Arena Tenis","Tenis","Četvrtfinale 2","WTA 500 - Monterrey"
"22.08.","02:00","Arena 1 Premium","Američki fudbal","New York Giants - New England Patriots","NFL"
"22.08.","02:30","Arena 2 Premium","Fudbal","Palmeiras - Universitario","COPA LIBERTADORES"
"22.08.","02:30","Arena 3 Premium","Fudbal","Lanus - Central Cordoba","COPA SUDAMERICANA"
"22.08.","03:30","Arena Tenis","Tenis","Četvrtfinale 3","WTA 500 - Monterrey"
"22.08.","05:30","Arena Tenis","Tenis","Četvrtfinale 4","WTA 500 - Monterrey"
