"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"31.08.","02:00","Arena 4 Premium","Fudbal","Cruzeiro - Sao Paulo","BRAZILSKA LIGA"
"31.08.","08:00","Arena Sport 10","Konjički Sport","Kovilovo Show Jump - dan 3",""
"31.08.","11:55","Adrenalin","Moto Sport","Holandija: Trka","Porsche Supercup"
"31.08.","12:00","Arena 2 Premium","Odbojka","Kina - Francuska","Svetsko prvenstvo (Ž)"
"31.08.","12:30","Arena Sport 8","Golf","Omega European Masters","DP WORLD TOUR 2025"
"31.08.","13:00","Arena 1 Premium","Fudbal","Rangers - Celtic","ŠKOTSKA LIGA"
"31.08.","13:30","Arena 3 Premium","Fudbal","Kaiserslautern - Darmstadt","NEMAČKA 2. LIGA"
"31.08.","13:30","Arena 5 Premium","Fudbal","Dresden - Schalke","NEMAČKA 2. LIGA"
"31.08.","14:00","Arena 4 Premium","Moto Sport","Studio","FORMULA 1"
"31.08.","14:00","Arena Sport 1","Košarka","Gruzija - Grčka","EUROBASKET"
"31.08.","14:00","Arena Sport 3","Košarka","Slovenija - Belgija","EUROBASKET"
"31.08.","14:00","Adrenalin","Moto Sport","Studio","FORMULA 1"
"31.08.","14:30","Arena Sport 2","Fudbal","Sparta - Feyenoord","HOLANDSKA LIGA"
"31.08.","14:45","Arena Sport 6","Fudbal","Lokomotiv - Krylya Sovetov","RUSKA LIGA"
"31.08.","14:45","Arena Sport 9","Triatlon","French Riviera, WTCS Men",""
"31.08.","15:00","Arena 1 Premium","Fudbal","Brighton - Manchester City","ENGLESKA LIGA"
"31.08.","15:00","Arena 2 Premium","Fudbal","Nottingham Forest - West Ham","ENGLESKA LIGA"
"31.08.","15:00","Arena 4 Premium","Moto Sport","Holandija: Trka","FORMULA 1"
"31.08.","15:00","Arena Sport 4","Rukomet","Fuchse Berlin - BHC","BUNDESLIGA"
"31.08.","15:00","Arena Sport 5","Fudbal","Angers - Rennes","FRANCUSKA LIGA"
"31.08.","15:00","Arena Sport 7","Moto Sport","Paragvaj - Live Stage 3","WRC"
"31.08.","15:00","Adrenalin","Moto Sport","Holandija: Trka","FORMULA 1"
"31.08.","15:00","Arena Sport 1x2","Fudbal","Dundee - Dundee United","ŠKOTSKA LIGA"
"31.08.","15:30","Arena 3 Premium","Fudbal","Wolfsburg - Mainz","NEMAČKA LIGA"
"31.08.","15:30","Arena 5 Premium","Odbojka","Brazil - Dominikanska Republika","Svetsko prvenstvo (Ž)"
"31.08.","16:00","Arena Tenis","Stoni tenis","Novi Sad - Rzeszow","EUROPEAN CHAMPIONS LEAGUE WOMEN"
"31.08.","16:30","Arena Sport 7","Fudbal","Young Boys - Lugano","ŠVAJCARSKA LIGA"
"31.08.","16:30","Arena Sport 9","Triatlon","French Riviera, WTCS Women",""
"31.08.","16:45","Arena Sport 3","Fudbal","Breda - AZ Alkmaar","HOLANDSKA LIGA"
"31.08.","17:00","Arena Sport 1","Fudbal","Celta - Villarreal","ŠPANSKA LIGA"
"31.08.","17:00","Arena Sport 2","Košarka","Izrael - Francuska","EUROBASKET"
"31.08.","17:00","Arena Sport 6","Fudbal","CSKA - Krasnodar","RUSKA LIGA"
"31.08.","17:15","Arena 4 Premium","Košarka","Španija - Kipar","EUROBASKET"
"31.08.","17:15","Arena Sport 4","Fudbal","Monaco - Strasbourg","FRANCUSKA LIGA"
"31.08.","17:15","Arena Sport 1x2","Fudbal","Le Havre - Nice","FRANCUSKA LIGA"
"31.08.","17:30","Arena 1 Premium","Fudbal","Liverpool - Arsenal","ENGLESKA LIGA"
"31.08.","17:30","Arena 3 Premium","Fudbal","Dortmund - Union Berlin","NEMAČKA LIGA"
"31.08.","17:30","Arena Sport 5","Basket 3x3","Debrecen, četvrtfinala, polufinala i finale","FIBA 3x3 World Tour"
"31.08.","18:00","Arena Sport 8","Fudbal","Randers - Copenhagen","DANSKA LIGA"
"31.08.","18:00","Arena Sport 9","Fudbal","Genclerbirligi - Fenerbahce","TURSKA LIGA"
"31.08.","18:00","Adrenalin","Moto Sport","Paragvaj - Live Stage 4","WRC"
"31.08.","18:30","Arena 2 Premium","Fudbal","Genoa - Juventus","ITALIJANSKA LIGA"
"31.08.","18:30","Arena 5 Premium","Fudbal","Torino - Fiorentina","ITALIJANSKA LIGA"
"31.08.","19:00","Arena Sport 2","Fudbal","Betis - Athletic","ŠPANSKA LIGA"
"31.08.","19:00","Arena Sport 6","Fudbal","Alverca - Benfica","PORTUGALSKA LIGA"
"31.08.","19:00","Arena Sport 7","Fudbal","AEK - Asteras","GRČKA LIGA"
"31.08.","19:30","Arena 1 Premium","Fudbal","Novi Pazar - Crvena zvezda","MOZZARTBET SUPERLIGA"
"31.08.","19:30","Arena 3 Premium","Fudbal","Koln - Freiburg","NEMAČKA LIGA"
"31.08.","19:30","Arena Sport 1","Fudbal","Espanyol - Osasuna","ŠPANSKA LIGA"
