"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"16.06.","11:30","Arena Sport 1","Tenis","Halle - Dan 1","ATP 500 - Halle"
"16.06.","12:00","Arena 3 Premium","Tenis","Yastremska - Danilović","WTA 250 - Nottingham"
"16.06.","13:00","Arena Sport 2","Tenis","London - Dan 1","ATP 500 - London"
"16.06.","14:50","Arena 3 Premium","Biciklizam","Druga Etapa","Tour De Suisse"
"16.06.","16:00","Arena Sport 3","Tenis","Berlin - Dan 1","WTA 500"
"16.06.","19:00","Arena 1 Premium","Košarka","Spartak Office Shoes - Crvena zvezda Meridianbet G2","KLS"
"16.06.","19:00","Arena Sport 10","Košarka","Spartak Office Shoes - Crvena zvezda Meridianbet G2","KLS"
"17.06.","02:30","Arena 1 Premium","Košarka","Finale: Oklahoma - Indiana, G5","NBA"
"17.06.","11:30","Arena Sport 1","Tenis","Halle - Dan 2","ATP 500 - Halle"
"17.06.","11:30","Arena Sport 3","Tenis","Berlin - Dan 2","WTA 500"
"17.06.","13:00","Arena Sport 2","Tenis","London - Dan 2","ATP 500 - London"
"17.06.","14:50","Arena 3 Premium","Biciklizam","Treća Etapa","Tour De Suisse"
"17.06.","17:50","Arena 2 Premium","Košarka","Žalgiris - Rytas, finale G3","LITVANSKA LIGA"
"17.06.","18:00","Arena 3 Premium","Atletika","Paavo Nurmi Games","World Athletics Continental Tour"
"17.06.","19:00","Arena 1 Premium","Košarka","FMP Soccerbet - Partizan Mozzart bet G2","KLS"
"17.06.","19:00","Arena Sport 10","Košarka","FMP Soccerbet - Partizan Mozzart bet G2","KLS"
"17.06.","20:30","Arena 2 Premium","Košarka","Brescia - Virtus, finale G3","ITALIJANSKA LIGA"
"17.06.","20:30","Arena 3 Premium","Košarka","Paris - Monaco, finale G2","FRANCUSKA LIGA"
"17.06.","21:15","Arena 1 Premium","Košarka","Unicaja - Real Madrid, polufinale G4","ŠPANSKA LIGA"
"18.06.","02:00","Arena 1 Premium","Hokej","Florida Panthers - Edmonton Oilers, finale G6","NHL"
"18.06.","11:00","Arena 3 Premium","Odbojka","Tajland - Japan","Liga Nacija (Ž)"
"18.06.","11:30","Arena Sport 1","Tenis","Halle - Dan 3","ATP 500 - Halle"
"18.06.","11:30","Arena Sport 5","Tenis","Berlin - Dan 3","WTA 500"
"18.06.","13:00","Arena 1 Premium","Odbojka","Francuska - Nemačka","Liga Nacija (Ž)"
"18.06.","13:00","Arena Sport 2","Tenis","London - Dan 3","ATP 500 - London"
"18.06.","14:30","Arena 3 Premium","Odbojka","Češka - Kina","Liga Nacija (Ž)"
"18.06.","14:50","Arena Sport 3","Biciklizam","Četvrta Etapa","Tour De Suisse"
"18.06.","16:30","Arena 1 Premium","Odbojka","Holandija - Poljska","Liga Nacija (Ž)"
"18.06.","16:30","Arena 2 Premium","Košarka","Turska - Francuska","EUROBASKET (Ž)"
"18.06.","17:30","Arena 3 Premium","Košarka","Slovenija - Litvanija","EUROBASKET (Ž)"
