"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"11.01.","01:00","Arena Premium 1","Košarka","Indiana - Miami","NBA"
"11.01.","02:00","Arena Premium 5","Američki fudbal","Chicago Bears - Green Bay Packers","NFL"
"11.01.","05:00","Arena Sport 1","Tenis","Finale","WTA 250 - Auckland"
"11.01.","07:00","Arena Tenis","Tenis","Finale","WTA 500 - Brisbane"
"11.01.","08:30","Arena Sport 1","Tenis","Finale","ATP 250 - Hong Kong"
"11.01.","09:30","Arena Tenis","Tenis","Finale","ATP 250 - Brisbane"
"11.01.","11:00","Arena Premium 2","Košarka","Mersin - Trabzonspor","TURSKA LIGA"
"11.01.","12:00","Arena Sport 2","Odbojka","Besiktas - Vakifbank","TURSKA LIGA Ž"
"11.01.","12:15","Arena Premium 4","Fudbal","Heerenveen - Feynoord","HOLANDSKA LIGA"
"11.01.","12:30","Arena Premium 1","Fudbal","Lecce - Parma","ITALIJANSKA LIGA"
"11.01.","13:00","Arena Premium 2","Fudbal","Derby County - Leeds","FA CUP"
"11.01.","13:00","Arena Premium 5","Košarka","Avtodor - Zenit","VTB LIGA"
"11.01.","13:00","Arena Sport 10","Fudbal","Železničar - Aluminij","PRIJATELJSKE UTAKMICE"
"11.01.","14:00","Arena Sport 2","Fudbal","Rayo Vallecano - Mallorca","ŠPANSKA LIGA"
"11.01.","14:00","Arena Sport 3","Fudbal","Leganes - Valladolid","ŠPANSKA 2. LIGA"
"11.01.","14:00","Arena Sport 6","Rukomet","Podravka - Brest","EHF LIGA ŠAMPIONA (Ž)"
"11.01.","14:00","Arena Sport 7","Rukomet","Krim Ljubljana - Sola","EHF LIGA ŠAMPIONA (Ž)"
"11.01.","14:30","Arena Premium 4","Fudbal","Telstar - Ajax","HOLANDSKA LIGA"
"11.01.","14:30","Arena Sport 5","Odbojka","Tulitsa - Dinamo Kazan","RUSKA LIGA (Ž)"
"11.01.","15:00","Arena Premium 1","Fudbal","Portsmouth - Arsenal","FA CUP"
"11.01.","15:00","Arena Premium 3","Fudbal","Fiorentina - Milan","ITALIJANSKA LIGA"
"11.01.","15:00","Arena Premium 5","Fudbal","Crvena zvezda - Debrecen","PRIJATELJSKE UTAKMICE"
"11.01.","15:00","Arena 1X2","Fudbal","Dundee - Hearts","ŠKOTSKA LIGA"
"11.01.","15:30","Arena Premium 2","Fudbal","West Ham - QPR","FA CUP"
"11.01.","15:30","Arena Sport 1","Fudbal","B. Monchengladbach  - Augsburg","NEMAČKA LIGA"
"11.01.","15:30","Arena Sport 4","Fudbal","Hull - Blackburn","FA CUP"
"11.01.","16:00","Arena Sport 3","Košarka","Fenerbahce - Bahcesehir","TURSKA LIGA"
"11.01.","16:00","Arena Sport 6","Rukomet","Odense - CSM Bucuresti","EHF LIGA ŠAMPIONA (Ž)"
"11.01.","16:15","Arena Sport 2","Fudbal","Levante - Espanyol","ŠPANSKA LIGA"
"11.01.","16:30","Arena Premium 4","Košarka","Spartak - Ilirija","ABA LIGA"
"11.01.","17:00","Arena Premium 5","Odbojka","Fenerbahce - Ziraat","TURSKA LIGA"
"11.01.","17:00","Arena Sport 7","Odbojka","Trentino - Verona","ITALIJANSKA LIGA"
"11.01.","17:30","Arena Premium 1","Fudbal","Manchester Utd - Brighton","FA CUP"
"11.01.","17:30","Arena Premium 3","Fudbal","Bayern - Wolfsburg","NEMAČKA LIGA"
"11.01.","17:30","Arena Sport 4","Fudbal","Aberdeen - Rangers","ŠKOTSKA LIGA"
"11.01.","17:30","Arena Sport 9","Košarka","Zadar - Budućnost","ABA LIGA"
"11.01.","18:00","Arena Premium 2","Fudbal","Verona - Lazio","ITALIJANSKA LIGA"
"11.01.","18:00","Arena Sport 1","Košarka","Bayern - Bonn","NEMAČKA LIGA"
"11.01.","18:00","Arena Sport 3","Košarka","Andorra - Real Madrid","ŠPANSKA LIGA"
"11.01.","18:30","Arena Premium 4","Fudbal","Aris - AEK","GRČKA LIGA"
"11.01.","18:30","Arena Sport 5","Košarka","Venezia - Virtus Bologna","ITALIJANSKA LIGA"
"11.01.","18:30","Arena Sport 6","Košarka","Petkim Spor - Tofas","TURSKA LIGA"
"11.01.","19:00","Arena Premium 5","Američki fudbal","Jacksonville Jaguars - Buffalo Bills","NFL"
"11.01.","19:00","Arena Sport 2","Košarka","ASVEL - Paris","FRANCUSKA LIGA"
"11.01.","20:00","Arena Premium 1","Fudbal","Barcelona - Real Madrid FINALE","ŠPANSKI SUPERKUP"
"11.01.","20:00","Arena Sport 1","Hokej","Winnipeg Jets - New Jersey Devils","NHL"
"11.01.","20:00","Arena Sport 4","Fudbal","Panathinaikos - Panserraikos","GRČKA LIGA"
"11.01.","20:30","Arena Premium 3","Košarka","SC Derby - Partizan","ABA LIGA"
