Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
25.07.,00:00,Arena Premium 1,Fudbal,Racing - Gimnasia LP,ARGENTINSKA LIGA
25.07.,10:00,Arena Premium 2,Odbojka,Polufinale 1: Brazil - Italija,Liga Nacija (Ž)
25.07.,10:05,Adrenalin,Moto Sport,Mađarska: Sprint,FORMULA 3
25.07.,12:30,Adrenalin,Moto Sport,Mađarska: Trening 3,FORMULA 1
25.07.,13:00,Arena Premium 1,Fudbal,Dinamo - Krylya Sovetov,RUSKA LIGA
25.07.,13:00,Arena Tenis,Tenis,Finale,ATP 250 - Kitzbuhel
25.07.,13:30,Arena Premium 2,Odbojka,Polufinale 2: Kina - Turska,Liga Nacija (Ž)
25.07.,13:30,Arena Premium 5,Tenis,Polufinale 1,WTA 250 - Prague
25.07.,13:30,Arena Sport 8,Moto Sport,Oschersleben: Trka 1,DTM
25.07.,14:15,Adrenalin,Moto Sport,Mađarska: Sprint,FORMULA 2
25.07.,14:45,Arena 1X2,Fudbal,Jagiellonia - Korona,POLJSKA LIGA
25.07.,15:00,Arena Premium 3,Fudbal,AZ Alkmaar - Olympiakos,PRIJATELJSKE UTAKMICE
25.07.,15:15,Arena Premium 1,Fudbal,Akron - Zenit,RUSKA LIGA
25.07.,15:30,Arena Premium 5,Tenis,Polufinale 2,WTA 250 - Prague
25.07.,16:00,Adrenalin,Moto Sport,Mađarska: Kvalifikacije,FORMULA 1
25.07.,16:30,Arena Premium 4,Moto Sport,Riga - Round 5,DRIFT MASTERS
25.07.,17:00,Arena Sport 10,Atletika,"Atletika: Prvenstvo Srbije za seniore na otvorenom, dan 1",SAS (Srpski Atletski Savez)
25.07.,17:30,Arena Premium 1,Fudbal,Fakel - Dinamo Makhachkala,RUSKA LIGA
25.07.,17:30,Arena Sport 3,Jedrenje,"Portsmut, dan 1",SailGP
25.07.,17:30,Arena 1X2,Fudbal,Gornik - Slask,POLJSKA LIGA
